security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ACNT,Industrial Products,Manufacturing - General Industrial ,0.55,,,,1,0__2,0,3,2.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0
AGCO,Industrial Products,Manufacturing - Farm Equipment,0.55,58800.0,1. p999999_trade_value,1.0,26,15__0,15,3,0.0,18750.0,29745.0,51765.0,58096.5,58729.65,58792.97,58799.3
ALTG,Industrial Products,Manufacturing - General Industrial ,0.55,10325.0,1. p999999_trade_value,1.0,2,5__0,5,3,0.0,9889.5,10107.25,10281.45,10320.64,10324.56,10324.96,10325.0
AZZ,Industrial Products,Manufacturing - Electronics,0.55,,,,35,15__0,15,3,0.0,8000.0,9029.1,11894.2,12772.42,12860.24,12869.02,12869.9
CMCO,Industrial Products,Manufacturing - Material Handling,0.55,,,,1,0__2,0,3,2.0,5360.0,5360.0,5360.0,5360.0,5360.0,5360.0,5360.0
CNH,Industrial Products,Manufacturing - Farm Equipment,0.55,,,,6,10__0,10,3,0.0,15615.0,21007.5,25321.5,26292.15,26389.22,26398.92,26399.89
DNOW,Industrial Products,Manufacturing - General Industrial ,0.55,,,,2,5__0,5,3,0.0,4497.0,4498.5,4499.7,4499.97,4500.0,4500.0,4500.0
DXPE,Industrial Products,Manufacturing - General Industrial ,0.55,17200.0,7. p90_trade_value,7.0,23,15__0,15,3,0.0,17200.0,17515.0,47385.0,54958.5,55715.85,55791.59,55799.16
ENS,Industrial Products,Manufacturing - Electronics,0.55,,,,4,5__0,5,3,0.0,8817.2,9848.6,10673.72,10859.37,10877.94,10879.79,10879.98
ESE,Industrial Products,Manufacturing - Electronics,0.55,,,,1,0__2,0,3,2.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0
FLS,Industrial Products,Manufacturing - General Industrial ,0.55,60600.0,1. p999999_trade_value,1.0,42,15__0,15,3,0.0,15422.2,28190.7,48841.2,59424.12,60482.41,60588.24,60598.82
GGG,Industrial Products,Manufacturing - General Industrial ,0.55,17577.0,8. p75_trade_value,2.0,6,10__0,10,3,0.0,29536.0,35515.5,40299.1,41375.41,41483.04,41493.8,41494.88
GTES,Industrial Products,Manufacturing - General Industrial ,0.55,97500.0,1. p999999_trade_value,1.0,41,15__0,15,3,0.0,60000.0,75000.0,94500.0,97200.0,97470.0,97497.0,97499.7
IEX,Industrial Products,Manufacturing - General Industrial ,0.55,,,,9,10__0,10,3,0.0,9000.0,10000.0,10800.0,10980.0,10998.0,10999.8,10999.98
KAI,Industrial Products,Manufacturing - General Industrial ,0.55,,,,8,10__0,10,3,0.0,55000.0,72500.0,86500.0,89650.0,89965.0,89996.5,89999.65
KMT,Industrial Products,Manufacturing - Tools & Related Products,0.55,6960.000000000001,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,6960.0,6960.0,6960.0,6960.0,6960.0,6960.0,6960.0
LASE,Industrial Products,Manufacturing - General Industrial ,0.55,7125.0,8. p75_trade_value,9.0,34,15__0,15,3,0.0,7758.5,9327.0,13677.15,14908.21,15031.32,15043.63,15044.86
LECO,Industrial Products,Manufacturing - Tools & Related Products,0.55,8350.0,8. p75_trade_value,3.0,10,10__0,10,3,0.0,11756.7,14878.35,17375.67,17937.57,17993.76,17999.38,17999.94
LNN,Industrial Products,Manufacturing - Farm Equipment,0.55,11200.0,6. p95_trade_value,2.0,25,15__0,15,3,0.0,4884.0,9950.0,12720.0,13152.0,13195.2,13199.52,13199.95
MTW,Industrial Products,Manufacturing - Construction and Mining,0.55,6480.0,8. p75_trade_value,2.0,6,10__0,10,3,0.0,8880.0,10080.0,11040.0,11256.0,11277.6,11279.76,11279.98
NDSN,Industrial Products,Manufacturing - General Industrial ,0.55,154030.0,1. p999999_trade_value,1.0,44,15__0,15,3,0.0,8811.0,16299.5,128356.85,151462.69,153773.27,154004.33,154027.43
PPSI,Industrial Products,Manufacturing - Electronics,0.55,5000.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
RBC,Industrial Products,Manufacturing - General Industrial ,0.55,7840.000000000001,7. p90_trade_value,2.0,13,10__0,10,3,0.0,7832.0,8180.0,8588.0,8679.8,8688.98,8689.9,8689.99
SXI,Industrial Products,Manufacturing - General Industrial ,0.55,,,,3,5__0,5,3,0.0,11100.0,11550.0,11910.0,11991.0,11999.1,11999.91,11999.99
TEX,Industrial Products,Manufacturing - Construction and Mining,0.55,,,,27,15__0,15,3,0.0,40755.8,58347.0,152188.0,181718.8,184671.88,184967.19,184996.72
TWI,Industrial Products,Manufacturing - Farm Equipment,0.55,3390.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,3390.0,3390.0,3390.0,3390.0,3390.0,3390.0,3390.0
