security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
STRL,Construction,Engineering - R and D Services,25__0,25,2,0.0,1. p999999_trade_value,70250.0,70250.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
STRL,Construction,Engineering - R and D Services,25__0,25,2,0.0,5. p99_trade_value,70000.0,69300.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,2.0,4.0,0.5
STRL,Construction,Engineering - R and D Services,25__0,25,2,0.0,6. p95_trade_value,54000.0,31800.0,5.0,8.0,0.625,0.55,2. BELOW BASELINE,7.0,12.0,0.5833333333333334
STRL,Construction,Engineering - R and D Services,25__0,25,2,0.0,7. p90_trade_value,26500.0,15000.0,8.0,12.0,0.6666666666666666,0.55,2. BELOW BASELINE,15.0,24.0,0.625
STRL,Construction,Engineering - R and D Services,25__0,25,2,0.0,8. p75_trade_value,14850.0,7800.0,27.0,36.0,0.75,0.55,2. BELOW BASELINE,42.0,60.0,0.7
TSSI,Construction,Engineering - R and D Services,20__0,20,2,0.0,1. p999999_trade_value,26946.000000000004,26946.000000000004,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
TSSI,Construction,Engineering - R and D Services,20__0,20,2,0.0,5. p99_trade_value,26039.999999999996,26039.999999999996,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
TSSI,Construction,Engineering - R and D Services,20__0,20,2,0.0,6. p95_trade_value,25870.0,18000.0,4.0,7.0,0.5714285714285714,0.55,2. BELOW BASELINE,5.0,9.0,0.5555555555555556
TSSI,Construction,Engineering - R and D Services,20__0,20,2,0.0,7. p90_trade_value,17160.000000000004,12000.0,7.0,10.0,0.7,0.55,2. BELOW BASELINE,12.0,19.0,0.631578947368421
TSSI,Construction,Engineering - R and D Services,20__0,20,2,0.0,8. p75_trade_value,11520.0,8000.0,7.0,24.0,0.2916666666666667,0.55,2. BELOW BASELINE,19.0,43.0,0.4418604651162791
VSEC,Construction,Engineering - R and D Services,5__0,5,3,0.0,1. p999999_trade_value,5320.0,5320.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
VSEC,Construction,Engineering - R and D Services,5__0,5,3,0.0,8. p75_trade_value,4800.0,4800.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
