data_date,security,option_ticker,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-02-25,BANC,O:BANC250321C00015000,2025-03-21,C,15.0,307,9,9,174.7615,9
2025-02-24,BANC,O:BANC250321C00015000,2025-03-21,C,15.0,304,18,9,174.7615,10
2025-04-16,BANC,O:BANC250417C00012500,2025-04-17,C,12.5,200,1,9,174.7615,1
2025-04-07,BANC,O:BANC250417C00012500,2025-04-17,C,12.5,1111,31,9,174.7615,8
2025-04-04,BANC,O:BANC250417C00012500,2025-04-17,C,12.5,303,7,9,174.7615,9
2025-03-31,BANC,O:BANC250417C00012500,2025-04-17,C,12.5,500,3,9,174.7615,13
2025-03-28,BANC,O:BANC250417C00012500,2025-04-17,C,12.5,1500,58,9,174.7615,14
2025-03-24,BANC,O:BANC250417C00012500,2025-04-17,C,12.5,200,5,9,174.7615,18
2025-03-18,BANC,O:BANC250417C00012500,2025-04-17,C,12.5,688,19,9,174.7615,22
2025-03-17,BANC,O:BANC250417C00012500,2025-04-17,C,12.5,414,11,9,174.7615,23
2025-03-14,BANC,O:BANC250417C00012500,2025-04-17,C,12.5,800,16,9,174.7615,24
2025-01-23,BANC,O:BANC250221C00017500,2025-02-21,C,17.5,274,12,9,174.7615,19
2025-01-22,BANC,O:BANC250221C00017500,2025-02-21,C,17.5,298,62,9,174.7615,20
2025-01-14,BANC,O:BANC250221C00017500,2025-02-21,C,17.5,248,14,9,174.7615,25
2025-04-03,BANC,O:BANC250417P00015000,2025-04-17,P,15.0,2704,208,9,174.7615,5
2025-04-02,BANC,O:BANC250417P00015000,2025-04-17,P,15.0,2703,41,9,174.7615,6
2025-04-03,BANC,O:BANC250417C00015000,2025-04-17,C,15.0,304,5,9,174.7615,7
2025-03-24,BANC,O:BANC250417C00015000,2025-04-17,C,15.0,477,27,9,174.7615,15
2025-03-19,BANC,O:BANC250417C00015000,2025-04-17,C,15.0,260,7,9,174.7615,18
2025-02-20,BANC,O:BANC250221C00015000,2025-02-21,C,15.0,1502,25,9,174.7615,1
2025-02-19,BANC,O:BANC250221C00015000,2025-02-21,C,15.0,1354,30,9,174.7615,2
2025-02-14,BANC,O:BANC250221C00015000,2025-02-21,C,15.0,650,19,9,174.7615,4
2025-02-13,BANC,O:BANC250221C00015000,2025-02-21,C,15.0,200,4,9,174.7615,5
2025-02-12,BANC,O:BANC250221C00015000,2025-02-21,C,15.0,1066,12,9,174.7615,6
2025-01-27,BANC,O:BANC250221C00015000,2025-02-21,C,15.0,246,8,9,174.7615,18
2025-01-24,BANC,O:BANC250221C00015000,2025-02-21,C,15.0,3765,28,9,174.7615,19
2025-01-22,BANC,O:BANC250221C00015000,2025-02-21,C,15.0,4052,37,9,174.7615,21
2025-01-17,BANC,O:BANC250221C00015000,2025-02-21,C,15.0,190,6,9,174.7615,23
2025-01-16,BANC,O:BANC250117C00015000,2025-01-17,C,15.0,650,10,9,174.7615,1
2025-01-15,BANC,O:BANC250117C00015000,2025-01-17,C,15.0,211,10,9,174.7615,2
2025-01-14,BANC,O:BANC250117C00015000,2025-01-17,C,15.0,733,22,9,174.7615,3
2025-05-12,BANC,O:BANC250516C00015000,2025-05-16,C,15.0,214,15,9,174.7615,3
2025-04-23,BANC,O:BANC250516C00015000,2025-05-16,C,15.0,1029,38,9,174.7615,16
2025-01-23,BANC,O:BANC250221C00012500,2025-02-21,C,12.5,190,4,9,174.7615,1
2025-01-17,BANC,O:BANC250221P00015000,2025-02-21,P,15.0,210,11,9,174.7615,21
2025-04-16,BANC,O:BANC250516C00010000,2025-05-16,C,10.0,700,25,9,174.7615,3
2025-04-07,BANC,O:BANC250516C00010000,2025-05-16,C,10.0,700,13,9,174.7615,10
2025-05-19,BANC,O:BANC250620C00015000,2025-06-20,C,15.0,504,7,9,174.7615,14
