data_date,option_ticker,size,price,trade_value,trade_value_bracket,sip_timestamp,conditions,correction,exchange,id,name,type,data_types,security,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-01-29,O:CRBG250718C00030000,34,5.29,17986.0,<$0.1M,1738178666904000000,232,0,322,232,Multi Leg auto-electronic trade,sale_condition,trade,CRBG,2025-07-18,C,30.0,2912,205,21,61.078,90
2025-01-29,O:CRBG250718C00030000,34,5.29,17986.0,<$0.1M,1738178667513000000,232,0,322,232,Multi Leg auto-electronic trade,sale_condition,trade,CRBG,2025-07-18,C,30.0,2912,205,21,61.078,90
2025-01-29,O:CRBG250718C00030000,42,5.25,22050.0,<$0.1M,1738178606847000000,232,0,313,232,Multi Leg auto-electronic trade,sale_condition,trade,CRBG,2025-07-18,C,30.0,2912,205,21,61.078,90
2025-01-29,O:CRBG250718C00030000,30,5.25,15750.0,<$0.1M,1738178606848000000,232,0,300,232,Multi Leg auto-electronic trade,sale_condition,trade,CRBG,2025-07-18,C,30.0,2912,205,21,61.078,90
2025-01-29,O:CRBG250718C00030000,36,5.4,19440.0,<$0.1M,1738178645079000000,232,0,301,232,Multi Leg auto-electronic trade,sale_condition,trade,CRBG,2025-07-18,C,30.0,2912,205,21,61.078,90
2025-01-29,O:CRBG250718C00030000,32,5.29,16928.0,<$0.1M,1738178665689000000,232,0,322,232,Multi Leg auto-electronic trade,sale_condition,trade,CRBG,2025-07-18,C,30.0,2912,205,21,61.078,90
2025-01-29,O:CRBG250718C00033000,51,3.4,17340.0,<$0.1M,1738178666501000000,232,0,322,232,Multi Leg auto-electronic trade,sale_condition,trade,CRBG,2025-07-18,C,33.0,4868,201,21,61.078,90
2025-01-29,O:CRBG250718C00033000,51,3.4,17340.0,<$0.1M,1738178658664000000,232,0,322,232,Multi Leg auto-electronic trade,sale_condition,trade,CRBG,2025-07-18,C,33.0,4868,201,21,61.078,90
2025-01-29,O:CRBG250718C00033000,51,3.4,17340.0,<$0.1M,1738178656381000000,232,0,322,232,Multi Leg auto-electronic trade,sale_condition,trade,CRBG,2025-07-18,C,33.0,4868,201,21,61.078,90
2025-01-29,O:CRBG250718C00033000,107,3.5,37450.0,<$0.1M,1738178814228000000,209,0,309,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,33.0,4868,201,21,61.078,90
2025-01-29,O:CRBG250718C00033000,51,3.35,17085.0,<$0.1M,1738178654145000000,232,0,322,232,Multi Leg auto-electronic trade,sale_condition,trade,CRBG,2025-07-18,C,33.0,4868,201,21,61.078,90
2025-01-29,O:CRBG250718C00033000,51,3.4,17340.0,<$0.1M,1738178663675000000,232,0,322,232,Multi Leg auto-electronic trade,sale_condition,trade,CRBG,2025-07-18,C,33.0,4868,201,21,61.078,90
2025-01-29,O:CRBG250718C00033000,51,3.4,17340.0,<$0.1M,1738178669202000000,232,0,322,232,Multi Leg auto-electronic trade,sale_condition,trade,CRBG,2025-07-18,C,33.0,4868,201,21,61.078,90
2025-01-29,O:CRBG250718C00033000,51,3.4,17340.0,<$0.1M,1738178669002000000,232,0,322,232,Multi Leg auto-electronic trade,sale_condition,trade,CRBG,2025-07-18,C,33.0,4868,201,21,61.078,90
2025-01-29,O:CRBG250718C00033000,64,3.5,22400.0,<$0.1M,1738178814237000000,209,0,323,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,33.0,4868,201,21,61.078,90
