security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
NYT,Consumer Staples,Publishing - Newspapers,0.55,,,,20,15__0,15,0.0,21030.0,27360.0,119472.0,140197.2,142269.72,142476.97,142497.7
SCHL,Consumer Staples,Publishing - Books,0.55,3960.0,1. p999999_trade_value,1.0,2,5__0,5,0.0,3901.5,3930.75,3954.15,3959.42,3959.94,3959.99,3960.0
WLY,Consumer Staples,Publishing - Books,0.55,,,,11,10__1,10,1.0,960000.0,980000.0,996000.0,999600.0,999960.0,999996.0,999999.6
