security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
CRNC,Computer and Technology,Computers - IT Services,25__0,25,2,0.0,6. p95_trade_value,32000.0,19100.0,6.0,17.0,0.35294117647058826,0.55,2. BELOW BASELINE,9.0,22.0,0.4090909090909091
CRNC,Computer and Technology,Computers - IT Services,25__0,25,2,0.0,7. p90_trade_value,18900.0,13440.0,8.0,21.0,0.38095238095238093,0.55,2. BELOW BASELINE,17.0,43.0,0.3953488372093023
CRNC,Computer and Technology,Computers - IT Services,25__0,25,2,0.0,8. p75_trade_value,13250.0,7800.0,28.0,65.0,0.4307692307692308,0.55,2. BELOW BASELINE,45.0,108.0,0.4166666666666667
CSGP,Computer and Technology,Computers - IT Services,25__0,25,2,0.0,1. p999999_trade_value,386880.0,386880.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CSGP,Computer and Technology,Computers - IT Services,25__0,25,2,0.0,5. p99_trade_value,148800.0,63690.0,2.0,4.0,0.5,0.55,2. BELOW BASELINE,3.0,5.0,0.6
CSGP,Computer and Technology,Computers - IT Services,25__0,25,2,0.0,6. p95_trade_value,48600.00000000001,18750.0,10.0,16.0,0.625,0.55,2. BELOW BASELINE,13.0,21.0,0.6190476190476191
CSGP,Computer and Technology,Computers - IT Services,25__0,25,2,0.0,7. p90_trade_value,18445.0,13125.0,9.0,21.0,0.42857142857142855,0.55,2. BELOW BASELINE,22.0,42.0,0.5238095238095238
CSGP,Computer and Technology,Computers - IT Services,25__0,25,2,0.0,8. p75_trade_value,13050.0,7589.999999999999,28.0,62.0,0.45161290322580644,0.55,2. BELOW BASELINE,50.0,104.0,0.4807692307692308
CTSH,Computer and Technology,Computers - IT Services,25__0,25,2,0.0,1. p999999_trade_value,238000.0,238000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CTSH,Computer and Technology,Computers - IT Services,25__0,25,2,0.0,5. p99_trade_value,204000.0,146745.0,2.0,3.0,0.6666666666666666,0.55,1. ABOVE BASELINE,3.0,4.0,0.75
CTSH,Computer and Technology,Computers - IT Services,25__0,25,2,0.0,6. p95_trade_value,130000.0,29700.0,9.0,16.0,0.5625,0.55,1. ABOVE BASELINE,12.0,20.0,0.6
CTSH,Computer and Technology,Computers - IT Services,25__0,25,2,0.0,7. p90_trade_value,29610.000000000004,21250.0,14.0,20.0,0.7,0.55,1. ABOVE BASELINE,26.0,40.0,0.65
