security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
TPB,Consumer Staples,Tobacco,15__0,15,3,0.0,1. p999999_trade_value,91575.0,91575.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
TPB,Consumer Staples,Tobacco,15__0,15,3,0.0,6. p95_trade_value,52540.0,52540.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
TPB,Consumer Staples,Tobacco,15__0,15,3,0.0,7. p90_trade_value,37500.0,32500.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,4.0,4.0,1.0
TPB,Consumer Staples,Tobacco,15__0,15,3,0.0,8. p75_trade_value,29700.0,19610.000000000004,5.0,5.0,1.0,0.55,1. ABOVE BASELINE,9.0,9.0,1.0
UVV,Consumer Staples,Tobacco,10__0,10,3,0.0,1. p999999_trade_value,11160.0,11160.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
UVV,Consumer Staples,Tobacco,10__0,10,3,0.0,7. p90_trade_value,9945.0,9945.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
UVV,Consumer Staples,Tobacco,10__0,10,3,0.0,8. p75_trade_value,9600.0,9600.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,3.0,0.0
XXII,Consumer Staples,Tobacco,0__2,0,3,2.0,1. p999999_trade_value,3500.0,3500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
