security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,6. p95_trade_value,18125.0,28400.0,O:GTLS250321C00200000,GTLS,C,200.0,2025-03-21,209,0,316,6.25,1740170996892000000,29,18125.0,2025-02-21,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,194.93,194.93,179.08,181.87,27,4.2582780152430315,1,0,0,0,1
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,6. p95_trade_value,18125.0,28400.0,O:GTLS250321C00210000,GTLS,C,210.0,2025-03-21,209,0,308,4.3,1740671313743000000,49,21070.0,2025-02-27,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,187.57,191.06,180.145,182.25,18,4.3236645356081,1,0,0,0,1
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,6. p95_trade_value,18125.0,28400.0,O:GTLS250321C00210000,GTLS,C,210.0,2025-03-21,209,0,308,4.5,1740671331552000000,60,27000.0,2025-02-27,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,187.57,191.06,180.145,182.25,12,4.431363764158987,1,0,0,0,1
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,6. p95_trade_value,18125.0,28400.0,O:GTLS250321P00180000,GTLS,P,180.0,2025-03-21,209,0,316,9.75,1740679017349000000,28,27300.0,2025-02-27,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,187.57,191.06,180.145,182.25,10,4.4361626470407565,1,1,1,1,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,6. p95_trade_value,18125.0,28400.0,O:GTLS250321C00155000,GTLS,C,155.0,2025-03-21,209,0,313,4.7,1741787297113000000,39,18330.0,2025-03-12,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,152.1,153.3,145.3,146.07,26,4.263162464962217,1,1,1,1,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,6. p95_trade_value,18125.0,28400.0,O:GTLS250417C00160000,GTLS,C,160.0,2025-04-17,209,0,325,7.1,1742408381640000000,34,24139.999999999996,2025-03-19,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,151.01,158.36,150.03,154.85,13,4.38273726576133,1,1,0,0,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,6. p95_trade_value,18125.0,28400.0,O:GTLS250417C00160000,GTLS,C,160.0,2025-04-17,209,0,325,7.1,1742408381634000000,40,28400.0,2025-03-19,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,151.01,158.36,150.03,154.85,8,4.453318340047038,1,1,0,0,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,5. p99_trade_value,29500.0,244000.0,O:GTLS250417C00160000,GTLS,C,160.0,2025-04-17,235,0,301,6.1,1742585540369000000,400,244000.0,2025-03-21,Multi Leg floor trade,Industrial Products,Manufacturing - General Industrial ,152.58,156.64,151.4,155.18,2,5.38738982633873,1,1,0,0,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,6. p95_trade_value,18125.0,28400.0,O:GTLS250620P00145000,GTLS,P,145.0,2025-06-20,219,0,308,2.15,1749231722013000000,100,21500.0,2025-06-06,Intermarket Sweep Order,Industrial Products,Manufacturing - General Industrial ,149.22,152.81,145.78,152.48,17,4.332438459915605,1,1,0,0,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,6. p95_trade_value,18125.0,28400.0,O:GTLS250620P00145000,GTLS,P,145.0,2025-06-20,209,0,308,2.0,1749230371348000000,95,19000.0,2025-06-06,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,149.22,152.81,145.78,152.48,25,4.278753600952829,1,1,0,0,0
