security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
T,Computer and Technology,Wireless National,35__0,35,0.0,8. p75_trade_value,8500.0,16320.000000000002,O:T250516C00027500,T,C,27.5,2025-05-16,236,0,313,0.1,1747064108020000000,961,9610.0,2025-05-12,Multi Leg auto-electronic trade against single leg(s),Computer and Technology,Wireless National,27.09,27.3,26.67,27.01,461,3.9827233876685453,5,1,1,1,0
T,Computer and Technology,Wireless National,35__0,35,0.0,8. p75_trade_value,8500.0,16320.000000000002,O:T250516C00027500,T,C,27.5,2025-05-16,236,0,313,0.1,1747064108145000000,960,9600.0,2025-05-12,Multi Leg auto-electronic trade against single leg(s),Computer and Technology,Wireless National,27.09,27.3,26.67,27.01,465,3.9822712330395684,5,1,1,1,0
T,Computer and Technology,Wireless National,35__0,35,0.0,7. p90_trade_value,16330.000000000002,25470.0,O:T250516C00027500,T,C,27.5,2025-05-16,236,0,322,0.1,1747064108176000000,1633,16330.000000000002,2025-05-12,Multi Leg auto-electronic trade against single leg(s),Computer and Technology,Wireless National,27.09,27.3,26.67,27.01,220,4.2129861847366685,2,1,1,1,0
T,Computer and Technology,Wireless National,35__0,35,0.0,7. p90_trade_value,16330.000000000002,25470.0,O:T250516C00027500,T,C,27.5,2025-05-16,232,0,300,0.11,1747064108292000000,2248,24728.0,2025-05-12,Multi Leg auto-electronic trade,Computer and Technology,Wireless National,27.09,27.3,26.67,27.01,114,4.393188992055249,2,1,1,1,0
T,Computer and Technology,Wireless National,35__0,35,0.0,7. p90_trade_value,16330.000000000002,25470.0,O:T250516C00027500,T,C,27.5,2025-05-16,236,0,313,0.1,1747064108278000000,2041,20410.000000000004,2025-05-12,Multi Leg auto-electronic trade against single leg(s),Computer and Technology,Wireless National,27.09,27.3,26.67,27.01,160,4.309843004716071,2,1,1,1,0
T,Computer and Technology,Wireless National,35__0,35,0.0,7. p90_trade_value,16330.000000000002,25470.0,O:T250516C00027500,T,C,27.5,2025-05-16,236,0,313,0.1,1747064108020000000,2007,20070.0,2025-05-12,Multi Leg auto-electronic trade against single leg(s),Computer and Technology,Wireless National,27.09,27.3,26.67,27.01,163,4.302547372487486,2,1,1,1,0
T,Computer and Technology,Wireless National,35__0,35,0.0,8. p75_trade_value,8500.0,16320.000000000002,O:T250516C00027500,T,C,27.5,2025-05-16,236,0,322,0.1,1747064108045000000,1447,14470.000000000002,2025-05-12,Multi Leg auto-electronic trade against single leg(s),Computer and Technology,Wireless National,27.09,27.3,26.67,27.01,258,4.1604685311190375,3,1,1,1,0
T,Computer and Technology,Wireless National,35__0,35,0.0,6. p95_trade_value,25669.0,73460.0,O:T250516P00026000,T,P,26.0,2025-05-16,232,0,322,0.13,1747166281726000000,2393,31109.000000000004,2025-05-13,Multi Leg auto-electronic trade,Computer and Technology,Wireless National,27.05,27.13,26.31,26.45,87,4.492886050920275,1,0,0,0,1
T,Computer and Technology,Wireless National,35__0,35,0.0,7. p90_trade_value,16330.000000000002,25470.0,O:T250523P00026000,T,P,26.0,2025-05-23,235,0,300,0.24,1747145832049000000,1000,24000.0,2025-05-13,Multi Leg floor trade,Computer and Technology,Wireless National,27.05,27.13,26.31,26.45,122,4.380211241711606,2,0,0,0,1
T,Computer and Technology,Wireless National,35__0,35,0.0,7. p90_trade_value,16330.000000000002,25470.0,O:T250523P00025500,T,P,25.5,2025-05-23,209,0,313,0.18,1747247567771000000,1015,18270.0,2025-05-14,Automatic Execution,Computer and Technology,Wireless National,26.43,26.59,26.3,26.44,188,4.261738547352538,2,0,0,0,1
T,Computer and Technology,Wireless National,35__0,35,0.0,8. p75_trade_value,8500.0,16320.000000000002,O:T250523C00028000,T,C,28.0,2025-05-23,227,0,323,0.23,1747416651997000000,435,10005.000000000002,2025-05-16,Single Leg Auction Non ISO,Computer and Technology,Wireless National,27.37,27.7686,27.12,27.72,426,4.00021709297223,4,1,0,0,0
