security,sector,industry,min_dte,max_dte,qualifying_trades,qualifying_trades_bin,p0_trade_value,p25_trade_value,p75_trade_value,iqr,trad_iqr_trade_value,n_range,pn_trade_value,custom_k,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AESI,Oils-Energy,Oil and Gas - Integrated - United States,15,30,16,13,3500.0,3889.5,6580.0,2690.5,10615.75,0.9,7450.0,0.32,7450.0,8125.0,9625.0,9962.5,9996.25,9999.63,9999.96
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,8,30,33,11,3040.0,3640.0,12300.0,8660.0,25290.0,0.9,19484.4,0.83,19484.4,56300.0,68304.8,69704.48,69844.45,69858.44,69859.84
AEYE,Computer and Technology,Internet - Software,7,29,24,12,3034.0,3862.5,6630.0,2767.5,10781.25,0.9,11501.5,1.76,11501.5,15408.15,51262.32,60746.23,61694.62,61789.46,61798.95
AFG,Finance,Insurance - Property and Casualty,7,7,1,19,3750.0,3750.0,3750.0,0.0,3750.0,0.9,3750.0,nan,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0
AFL,Finance,Insurance - Accident and Health,1,30,208,6,3050.0,3600.0,7775.0,4175.0,14037.5,0.9,14316.0,1.57,14316.0,28629.65,132603.75,175395.83,181362.08,181958.71,182018.37
AFRM,Computer and Technology,Internet - Software,1,30,20984,1,3002.0,3808.75,8757.25,4948.5,16180.0,0.9,16250.0,1.51,16250.0,25590.3,67594.96,490661.5,4274091.0,4545000.0,4545000.0
AFYA,Consumer Discretionary,Schools,11,11,1,20,3700.0,3700.0,3700.0,0.0,3700.0,0.9,3700.0,nan,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0
AG,Basic Materials,Mining - Silver,1,30,294,6,3014.0,3714.75,7000.0,3285.25,11927.875,0.9,12126.0,1.56,12126.0,15070.0,33305.86,47294.9,47479.49,47497.95,47499.79
AGCO,Industrial Products,Manufacturing - Farm Equipment,7,30,26,12,3100.0,4271.25,7350.0,3078.75,11968.125,0.9,18750.0,3.7,18750.0,29745.0,51765.0,58096.5,58729.65,58792.97,58799.3
AGEN,Medical,Medical - Biomedical and Genetics,3,30,45,10,3021.0,3500.0,5880.0,2380.0,9450.0,0.9,7735.2,0.78,7735.2,10144.0,13952.0,14625.2,14692.52,14699.25,14699.93
AGI,Basic Materials,Mining - Gold,3,30,150,7,3024.0,3762.5,6817.5,3055.0,11400.0,0.9,12312.5,1.8,12312.5,14490.0,24775.0,35267.39,36727.74,36873.77,36888.38
AGIO,Medical,Medical - Biomedical and Genetics,4,30,28,12,3400.0,4350.0,9350.0,5000.0,16850.0,0.9,40000.0,6.13,40000.0,52350.0,88930.0,98893.0,99889.3,99988.93,99998.89
AGL,Medical,Medical Services,4,30,11,14,3400.0,3857.5,11432.5,7575.0,22795.0,0.9,17990.0,0.87,17990.0,38995.0,55799.0,59579.9,59957.99,59995.8,59999.58
AGM,Finance,Financial - Mortgage & Related Services,8,28,2,18,3200.0,6150.0,12050.0,5900.0,20900.0,0.9,13820.0,0.3,13820.0,14410.0,14882.0,14988.2,14998.82,14999.88,14999.99
AGNC,Finance,REIT and Equity Trust,1,30,379,5,3011.9999999999995,3703.0,8429.0,4726.0,15518.0,0.9,16343.6,1.67,16343.6,34993.0,92200.0,116220.0,119622.0,119962.2,119996.22
AGO,Finance,Insurance - Multi line,7,30,42,11,3250.0,3300.0,4012.5,712.5,5081.25,0.9,5036.0,1.44,5036.0,9019.0,155722.1,240293.21,248750.32,249596.03,249680.6
AGRO,Consumer Staples,Agriculture - Operations,24,24,7,15,3160.0,3340.0,4510.0,1170.0,6265.0,0.9,11880.0,6.3,11880.0,17400.0,21816.0,22809.6,22908.96,22918.9,22919.89
AGX,Construction,Building Products - Miscellaneous,2,30,459,5,3006.0,3900.0,7785.0,3885.0,13612.5,0.9,13865.6,1.57,13865.6,22506.0,42420.0,159773.0,213977.3,219397.73,219939.77
AGYS,Computer and Technology,Computer - Integrated Systems,7,30,16,13,3120.0000000000005,3575.0,4795.0,1220.0,6625.0,0.9,9000.0,3.45,9000.0,17350.0,29230.0,31903.0,32170.3,32197.03,32199.7
AHCO,Medical,Medical - Products,11,23,5,16,3500.0,4305.0,11900.0,7595.0,23292.5,0.9,13076.0,0.15,13076.0,13468.0,13781.6,13852.16,13859.22,13859.92,13859.99
AHR,Finance,REIT and Equity Trust - Other,29,30,2,18,4850.0,6293.75,9181.25,2887.5,13512.5,0.9,10047.5,0.3,10047.5,10336.25,10567.25,10619.23,10624.42,10624.94,10624.99
AHT,Finance,REIT and Equity Trust - Other,24,24,1,19,3700.0,3700.0,3700.0,0.0,3700.0,0.9,3700.0,nan,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0
AI,Computer and Technology,Computers - IT Services,1,30,7874,1,3002.0000000000005,3706.0,8593.25,4887.25,15924.125,0.9,18400.0,2.01,18400.0,38791.2,325000.0,1244864.46,2362155.29,2453950.53,2463130.05
AIG,Finance,Insurance - Multi line,1,30,758,4,3008.0,3800.0,8335.0,4535.0,15137.5,0.9,13786.0,1.2,13786.0,21462.75,38466.75,143611.77,201106.68,206856.17,207431.12
AIOT,Transportation,Transportation - Services,2,29,22,12,4000.0,7818.0,45500.0,37682.0,102023.0,0.9,79818.0,0.91,79818.0,89526.0,107775.0,112027.5,112452.75,112495.28,112499.53
AIP,Computer and Technology,Internet - Software,9,17,9,15,3025.0000000000005,4160.0,8640.0,4480.0,15360.0,0.9,10792.0,0.48,10792.0,11376.0,11843.2,11948.32,11958.83,11959.88,11959.99
AIR,Aerospace,Aerospace - Defense Equipment,9,29,37,11,3060.0,3440.0,5850.0,2410.0,9465.0,0.9,7231.6,0.57,7231.6,9140.0,11371.2,12369.12,12468.91,12478.89,12479.89
AIRG,Computer and Technology,Communication - Components,16,16,1,20,8680.000000000002,8680.0,8680.0,0.0,8680.0,0.9,8680.0,nan,8680.0,8680.0,8680.0,8680.0,8680.0,8680.0,8680.0
AIRS,Business Services,Technology Services,21,21,1,20,10500.0,10500.0,10500.0,0.0,10500.0,0.9,10500.0,nan,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0
AISP,Business Services,Technology Services,1,30,92,9,3015.0,3500.0,5556.0,2056.0,8640.0,0.9,8777.5,1.57,8777.5,11496.75,19439.7,21347.97,21538.8,21557.88,21559.79
AIT,Industrial Products,Manufacturing - General Industrial ,3,30,58,10,3097.0,4160.0,6442.5,2282.5,9866.25,0.9,12348.0,2.59,12348.0,13117.5,21763.0,23866.3,24076.63,24097.66,24099.77
AIZ,Finance,Insurance - Multi line,10,28,4,16,3601.0,3825.25,6975.0,3149.75,11699.625,0.9,12078.0,1.62,12078.0,13779.0,15139.8,15445.98,15476.6,15479.66,15479.97
AJG,Finance,Insurance - Brokerage,2,30,640,4,3008.0,3684.75,6840.0,3155.25,11572.875,0.9,10038.9,1.01,10038.9,14874.6,39357.45,101284.25,103728.43,103972.84,103997.28
AKAM,Computer and Technology,Internet - Services,1,30,1416,3,3010.0,3800.0,8427.5,4627.5,15368.75,0.9,17067.5,1.87,17067.5,25425.0,124251.0,884902.5,1170342.0,1202434.2,1205643.42
AKBA,Medical,Medical - Drugs,30,30,1,19,3500.0,3500.0,3500.0,0.0,3500.0,0.9,3500.0,nan,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
AKR,Finance,REIT and Equity Trust - Retail,18,18,1,19,5824.0,5824.0,5824.0,0.0,5824.0,0.9,5824.0,nan,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0
AKRO,Medical,Medical - Biomedical and Genetics,2,30,394,5,3035.0,3780.0,7965.0,4185.0,14242.5,0.9,17129.2,2.19,17129.2,20500.0,46448.4,463566.33,661533.63,681330.36,683310.04
AL,Transportation,Transportation - Equipment and Leasing,8,30,26,12,3180.0,4250.0,6525.0,2275.0,9937.5,0.9,9495.0,1.31,9495.0,11062.5,14875.0,15887.5,15988.75,15998.88,15999.89
ALAB,Computer and Technology,Internet - Software,1,30,10290,1,3003.0,3850.0,9000.0,5150.0,16725.0,0.9,17127.5,1.58,17127.5,27033.0,105061.85,699197.33,1697866.69,3404509.0,3580450.9
ALB,Basic Materials,Chemical - Diversified ,1,30,3027,2,3002.0,3640.0,7842.0,4202.0,14145.0,0.9,14575.0,1.6,14575.0,24397.9,67669.1,333910.33,532569.44,580433.74,585220.17
ALC,Medical,Medical - Instruments,1,30,252,6,3045.0,3630.0,9615.0,5985.0,18592.5,0.9,42860.5,5.55,42860.5,87300.0,221115.0,337051.3,342405.13,342940.51,342994.05
ALDX,Medical,Medical - Drugs,4,30,37,11,3040.0,3485.0,6720.0,3235.0,11572.5,0.9,14820.0,2.5,14820.0,16005.0,39623.08,50152.11,51205.01,51310.3,51320.83
ALEC,Medical,Medical - Biomedical and Genetics,1,30,24,12,3055.0,3536.25,6000.0,2463.75,9695.625,0.9,7550.0,0.63,7550.0,9568.25,48464.35,58846.44,59884.64,59988.46,59998.85
ALEX,Finance,REIT and Equity Trust - Other,22,22,1,19,9280.000000000002,9280.0,9280.0,0.0,9280.0,0.9,9280.0,nan,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0
ALGM,Computer and Technology,Electronics - Semiconductors,1,30,318,5,3060.0,4046.25,9000.0,4953.75,16430.625,0.9,15399.5,1.29,15399.5,22602.0,80877.6,660735.0,673573.5,674857.35,674985.74
ALGN,Medical,Medical - Dental Supplies,1,30,1824,3,3003.0,3750.0,8332.5,4582.5,15206.25,0.9,15500.0,1.56,15500.0,23868.0,64518.78,266607.24,603268.6,667826.86,674282.69
ALGS,Medical,Medical - Biomedical and Genetics,14,14,1,20,3400.0,3400.0,3400.0,0.0,3400.0,0.9,3400.0,nan,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0
ALGT,Transportation,Transportation - Airline,11,30,63,10,3100.0,3840.0,9068.5,5228.5,16911.25,0.9,21861.0,2.45,21861.0,25956.0,35995.6,37457.56,37603.76,37618.38,37619.84
ALHC,Medical,Medical Services,1,30,70,9,3045.0,3750.0,19875.0,16125.0,44062.5,0.9,136085.6,7.21,136085.6,157247.3,266164.6,434244.46,451052.45,452733.24,452901.32
ALIT,Computer and Technology,Internet - Software,2,30,76,9,3120.0,3500.0,7492.5,3992.5,13481.25,0.9,14875.0,1.85,14875.0,26246.25,59375.0,118437.5,124343.75,124934.38,124993.44
ALK,Transportation,Transportation - Airline,2,30,707,4,3015.0,3780.0,8540.0,4760.0,15680.0,0.9,18576.0,2.11,18576.0,38505.5,384199.2,1161902.0,1691190.2,1744119.02,1749411.9
ALKS,Medical,Medical - Biomedical and Genetics,2,30,49,10,3015.0,4590.0,22500.0,17910.0,49365.0,0.9,40414.4,1.0,40414.4,90896.0,129584.0,137446.4,138232.64,138311.26,138319.13
ALKT,Computer and Technology,Internet - Software,6,28,53,10,3060.0,3510.0,6565.0,3055.0,11147.5,0.9,9990.0,1.12,9990.0,15078.0,48408.0,75715.8,78446.58,78719.66,78746.97
ALL,Finance,Insurance - Property and Casualty,2,30,533,4,3003.0,3800.0,8500.0,4700.0,15550.0,0.9,18992.2,2.23,18992.2,27750.0,77755.0,253760.0,287276.0,290627.6,290962.76
ALLE,Industrial Products,Security and Safety Services,2,30,6,16,3450.0,3587.5,4300.0,712.5,5368.75,0.9,6220.0,2.69,6220.0,7130.0,7858.0,8021.8,8038.18,8039.82,8039.98
ALLO,Medical,Medical - Biomedical and Genetics,3,30,10,14,3010.0,3562.5,13076.25,9513.75,27346.875,0.9,16963.8,0.41,16963.8,19941.9,22324.38,22860.44,22914.04,22919.4,22919.94
ALLT,Business Services,Technology Services,10,29,19,13,3165.0,3600.0,9000.0,5400.0,17100.0,0.9,10849.2,0.34,10849.2,11321.4,13304.28,13750.43,13795.04,13799.5,13799.95
ALLY,Finance,Financial - Consumer Loans,1,30,768,4,3008.0,3767.5,8600.0,4832.5,15848.75,0.9,18549.0,2.06,18549.0,33742.4,132526.24,279144.0,395114.4,406711.44,407871.14
ALNY,Medical,Medical - Biomedical and Genetics,1,30,1103,3,3003.0,3490.0,8020.0,4530.0,14815.0,0.9,17468.8,2.09,17468.8,30420.4,92872.32,513910.0,1093451.5,1154695.15,1160819.52
ALRM,Industrial Products,Security and Safety Services,1,29,14,14,3100.0,3523.75,6080.0,2556.25,9914.375,0.9,31440.0,9.92,31440.0,43225.0,45045.0,45454.5,45495.45,45499.55,45499.95
ALSN,Auto-Tires-Trucks,Automotive - Original Equipment,7,30,26,12,3060.0,3877.5,14282.5,10405.0,29890.0,0.9,22750.0,0.81,22750.0,38625.0,55500.0,59550.0,59955.0,59995.5,59999.55
ALT,Medical,Medical - Drugs,1,30,518,4,3030.0,3651.0,7775.0,4124.0,13961.0,0.9,12036.0,1.03,12036.0,17313.25,44290.0,298118.7,460461.87,476696.19,478319.62
ALTG,Industrial Products,Manufacturing - General Industrial ,8,30,2,18,5970.0,7058.75,9236.25,2177.5,12502.5,0.9,9889.5,0.3,9889.5,10107.25,10281.45,10320.64,10324.56,10324.96,10325.0
ALTO,Consumer Discretionary,Consumer Products - Discretionary,15,29,2,18,3339.0,4368.0,6426.0,2058.0,9513.0,0.9,7043.4,0.3,7043.4,7249.2,7413.84,7450.88,7454.59,7454.96,7455.0
ALTS,Finance,Financial - Miscellaneous Services,8,30,17,13,3127.0000000000005,4000.0,6000.0,2000.0,9000.0,0.9,8120.0,1.06,8120.0,9840.0,9968.0,9996.8,9999.68,9999.97,10000.0
ALUR,Medical,Medical - Products,25,28,2,18,4500.0,4575.0,4725.0,150.0,4950.0,0.9,4770.0,0.3,4770.0,4785.0,4797.0,4799.7,4799.97,4800.0,4800.0
ALV,Auto-Tires-Trucks,Automotive - Original Equipment,1,30,14,14,3025.0,3645.0,5315.0,1670.0,7820.0,0.9,7237.5,1.15,7237.5,9157.5,11731.5,12310.65,12368.56,12374.36,12374.94
ALXO,Medical,Medical - Biomedical and Genetics,10,30,4,17,3770.0000000000005,4362.5,4975.0,612.5,5893.75,0.9,4975.0,0.0,4975.0,4975.0,4975.0,4975.0,4975.0,4975.0,4975.0
AM,Oils-Energy,Oil and Gas - Integrated - United States,9,29,8,15,3015.0,3920.0,4706.25,786.25,5885.625,0.9,6001.5,1.65,6001.5,7000.75,7800.15,7980.02,7998.0,7999.8,7999.98
AMAT,Computer and Technology,Electronics - Semiconductors,1,30,14927,1,3002.0000000000005,3795.0,8479.0,4684.0,15505.0,0.9,16050.0,1.62,16050.0,24600.0,74466.2,201954.09,704448.39,992663.66,1003766.37
AMBA,Computer and Technology,Electronics - Semiconductors,1,30,558,4,3010.0,3651.25,7570.0,3918.75,13448.125,0.9,12000.0,1.13,12000.0,18582.95,30362.5,300977.4,482347.74,500484.77,502298.48
AMBC,Finance,Insurance - Property and Casualty,4,30,45,10,3325.0,4500.0,15500.0,11000.0,32000.0,0.9,47988.0,2.95,47988.0,90024.0,197470.0,199747.0,199974.7,199997.47,199999.75
AMBR,Business Services,Technology Services,8,8,1,19,20475.0,20475.0,20475.0,0.0,20475.0,0.9,20475.0,nan,20475.0,20475.0,20475.0,20475.0,20475.0,20475.0,20475.0
