security,sector,industry,min_dte,max_dte,qualifying_trades,qualifying_trades_bin,p0_trade_value,p25_trade_value,p75_trade_value,iqr,trad_iqr_trade_value,n_range,pn_trade_value,custom_k,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
A,Medical,Medical - Products,2,30,587,4,3010.0,3695.0,8607.5,4912.5,15976.25,0.9,17663.2,1.84,17663.2,31398.5,143565.12,305864.44,352699.14,357382.61,357850.96
AA,Industrial Products,Metal Products - Distribution,1,30,1630,3,3002.0000000000005,3705.0,8458.25,4753.25,15588.125,0.9,17417.2,1.88,17417.2,30631.05,107970.0,840000.0,840000.0,840000.0,840000.0
AAL,Transportation,Transportation - Airline,1,30,4084,2,3002.0,3800.0,8217.25,4417.25,14843.125,0.9,14806.4,1.49,14806.4,23795.0,87630.62,817008.0,1012610.4,1127261.04,1138726.1
AAOI,Computer and Technology,Electronics - Semiconductors,1,30,1819,3,3010.0,3840.0,9202.5,5362.5,17246.25,0.9,18000.0,1.64,18000.0,26878.5,51822.0,276409.48,365400.57,382846.56,384591.16
AAON,Construction,Building Products - Air Conditioner and Heating,8,29,59,10,3050.0,5640.0,20500.0,14860.0,42790.0,0.9,35697.6,1.02,35697.6,49727.5,61050.0,62355.0,62485.5,62498.55,62499.85
AAP,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,1,30,1680,3,3002.0000000000005,3750.0,7983.75,4233.75,14334.375,0.9,14147.3,1.46,14147.3,24076.8,67288.86,238774.55,308714.74,321121.47,322362.15
AAPL,Computer and Technology,Computer - Micro Computers,1,30,437502,1,3002.0,3850.0,8938.0,5088.0,16570.0,0.9,16600.0,1.51,16600.0,25380.0,64500.0,245129.06,776766.91,1644399.4,2375305.03
AB,Finance,Financial - Investment Management,16,30,11,14,3079.9999999999995,4165.0,13012.5,8847.5,26283.75,0.9,16000.0,0.34,16000.0,19250.0,21850.0,22435.0,22493.5,22499.35,22499.94
ABAT,Computer and Technology,Electronics - Miscellaneous Products,11,25,21,13,3075.0,4050.0,5215.0,1165.0,6962.5,0.9,6895.0,1.44,6895.0,7000.0,7800.0,7980.0,7998.0,7999.8,7999.98
ABBV,Medical,Large Cap Pharmaceuticals,1,30,7169,1,3002.9999999999995,3744.0,8400.0,4656.0,15384.0,0.9,15498.4,1.52,15498.4,24439.8,72422.4,323578.4,1247097.6,1258709.76,1259870.98
ABCL,Medical,Medical - Biomedical and Genetics,9,30,3,17,3140.0,3290.0,5095.0,1805.0,7802.5,0.9,6088.0,0.55,6088.0,6419.0,6683.8,6743.38,6749.34,6749.93,6749.99
ABEO,Medical,Medical - Biomedical and Genetics,11,30,42,11,3240.0,3862.5,7175.0,3312.5,12143.75,0.9,11870.0,1.42,11870.0,14520.0,24242.72,27271.47,27574.35,27604.63,27607.66
ABG,Retail-Wholesale,Automotive - Retail and Whole Sales,9,30,25,12,3105.0,4000.0,8800.0,4800.0,16000.0,0.9,31500.0,4.73,31500.0,46620.0,56936.0,58793.6,58979.36,58997.94,58999.79
ABL,Finance,Insurance - Life Insurance,11,11,1,20,3060.0,3060.0,3060.0,0.0,3060.0,0.9,3060.0,nan,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0
ABM,Business Services,Business - Services,4,29,17,13,3100.0,3630.0,7500.0,3870.0,13305.0,0.9,14300.0,1.76,14300.0,44000.0,120800.0,138080.0,139808.0,139980.8,139998.08
ABNB,Consumer Discretionary,Leisure and Recreation Services,1,30,9326,1,3002.0,3800.0,8609.25,4809.25,15823.125,0.9,16800.0,1.7,16800.0,27437.5,118503.75,359965.1,792375.87,1251487.59,1297398.76
ABR,Finance,REIT and Equity Trust,1,30,260,6,3007.0,4006.0,9577.5,5571.5,17934.75,0.9,29160.6,3.51,29160.6,72484.25,170492.25,290395.0,312539.5,314753.95,314975.39
ABSI,Medical,Medical - Biomedical and Genetics,2,30,44,11,3020.0000000000005,3468.0,6335.0,2867.0,10635.5,0.9,7428.0,0.38,7428.0,7908.0,13820.52,16736.95,17028.6,17057.76,17060.68
ABT,Medical,Medical - Products,1,30,2254,2,3002.9999999999995,3710.5,7254.0,3543.5,12569.25,0.9,13997.6,1.9,13997.6,21400.0,70854.93,397778.04,451691.6,457369.16,457936.92
ABUS,Medical,Medical - Biomedical and Genetics,1,10,3,17,3330.0000000000005,3855.0,5355.0,1500.0,7605.0,0.9,5940.0,0.39,5940.0,6135.0,6291.0,6326.1,6329.61,6329.96,6330.0
ACA,Construction,Building Products - Miscellaneous,7,24,11,14,3400.0,6962.5,23500.0,16537.5,48306.25,0.9,46575.0,1.4,46575.0,60637.5,71887.5,74418.75,74671.88,74697.19,74699.72
ACAD,Medical,Medical - Biomedical and Genetics,2,30,93,9,3115.0,3705.0,5950.0,2245.0,9317.5,0.9,10728.0,2.13,10728.0,27958.0,141940.0,151669.0,152641.9,152739.19,152748.92
ACB,Medical,Medical - Products,2,30,45,10,3068.0,3500.0,5544.0,2044.0,8610.0,0.9,12704.2,3.5,12704.2,19196.0,21784.72,22957.67,23074.97,23086.7,23087.87
ACDC,Oils-Energy,Oil and Gas - Field Services,3,29,21,13,3240.0,3600.0,5000.0,1400.0,7100.0,0.9,7440.0,1.74,7440.0,11025.0,11949.0,12156.9,12177.69,12179.77,12179.98
ACGL,Finance,Insurance - Property and Casualty,4,30,127,8,3024.0,3700.0,5750.0,2050.0,8825.0,0.9,8505.0,1.34,8505.0,13828.5,30421.3,50601.15,53093.12,53342.31,53367.23
ACHC,Medical,Medical - Hospital,2,30,178,7,3025.0,3842.5,10275.0,6432.5,19923.75,0.9,16824.4,1.02,16824.4,34262.0,101304.4,193904.16,198670.42,199147.04,199194.7
ACHR,Aerospace,Aerospace - Defense,1,30,4714,2,3008.0,3700.0,7200.0,3500.0,12450.0,0.9,11479.1,1.22,11479.1,16205.9,34787.52,86750.09,120726.65,137762.16,139465.72
ACI,Consumer Staples,Consumer Products - Staples,1,30,434,5,3010.0,3800.0,8313.75,4513.75,15084.375,0.9,19758.5,2.54,19758.5,37584.0,100000.0,310000.0,310000.0,310000.0,310000.0
ACIC,Finance,Insurance - Property and Casualty,2,29,17,13,3025.0000000000005,3430.0,4990.0,1560.0,7330.0,0.9,6300.0,0.84,6300.0,7230.0,7326.0,7347.6,7349.76,7349.98,7350.0
ACIW,Computer and Technology,Computer - Software,21,24,2,18,3500.0,3929.0,4787.0,858.0,6074.0,0.9,5044.4,0.3,5044.4,5130.2,5198.84,5214.28,5215.83,5215.98,5216.0
ACLS,Computer and Technology,Electronics - Manufacturing Machinery,3,30,329,5,3010.0,3780.0,9380.0,5600.0,17780.0,0.9,19848.0,1.87,19848.0,38619.0,113942.6,233964.15,247496.42,248849.64,248984.96
ACLX,Medical,Medical - Biomedical and Genetics,1,30,223,6,3040.0,3834.0,9525.0,5691.0,18061.5,0.9,42860.0,5.86,42860.0,168000.0,240000.0,448940.0,494894.0,499489.4,499948.94
ACM,Construction,Engineering - R and D Services,7,30,37,11,3120.0000000000005,3750.0,7000.0,3250.0,11875.0,0.9,8729.0,0.53,8729.0,9721.0,24837.0,32183.7,32918.37,32991.84,32999.18
ACMR,Computer and Technology,Semiconductor Equipment - Material Services,1,30,490,5,3020.0000000000005,4000.0,8466.25,4466.25,15165.625,0.9,17838.0,2.1,17838.0,23416.5,48036.96,67034.2,72403.42,72940.34,72994.03
ACN,Computer and Technology,Computers - IT Services,1,30,3942,2,3003.0,3746.25,8000.0,4253.75,14380.625,0.9,13982.4,1.41,13982.4,19745.0,52534.32,243862.49,672118.0,679211.8,679921.18
ACNT,Industrial Products,Manufacturing - General Industrial ,7,7,1,20,6500.0,6500.0,6500.0,0.0,6500.0,0.9,6500.0,nan,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0
ACRS,Medical,Medical - Drugs,29,29,4,16,3250.0,3437.5,4100.0,662.5,5093.75,0.9,4640.0,0.82,4640.0,4820.0,4964.0,4996.4,4999.64,4999.96,5000.0
ACVA,Retail-Wholesale,Internet - Commerce,2,25,58,10,3020.0000000000005,3100.0,6401.25,3301.25,11353.125,0.9,8392.5,0.6,8392.5,16925.0,104370.55,121497.05,123209.71,123380.97,123398.1
ADBE,Computer and Technology,Computer - Software,1,30,46976,1,3002.0,3850.0,8640.0,4790.0,15825.0,0.9,16260.0,1.59,16260.0,25725.0,71242.5,252693.98,944166.25,1652632.37,1694768.24
ADC,Finance,REIT and Equity Trust - Retail,1,25,4,17,3750.0,4320.0,6055.0,1735.0,8657.5,0.9,6622.0,0.33,6622.0,6811.0,6962.2,6996.22,6999.62,6999.96,7000.0
ADCT,Medical,Medical - Biomedical and Genetics,9,9,1,19,4500.0,4500.0,4500.0,0.0,4500.0,0.9,4500.0,nan,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0
ADI,Computer and Technology,Semiconductor - Analog and Mixed,1,30,2582,2,3004.9999999999995,3825.0,9000.0,5175.0,16762.5,0.9,20294.0,2.18,20294.0,34000.0,90213.75,367829.09,451861.32,460986.13,461898.61
ADM,Consumer Staples,Agriculture - Operations,1,30,324,5,3015.0,3795.0,6792.5,2997.5,11288.75,0.9,10993.5,1.4,10993.5,16550.55,80090.66,363794.51,425179.45,431317.95,431931.79
ADMA,Medical,Medical - Biomedical and Genetics,3,30,313,6,3036.0000000000005,4158.0,10098.0,5940.0,19008.0,0.9,21000.0,1.84,21000.0,50000.0,388766.4,660559.58,668574.46,669375.95,669456.09
ADNT,Auto-Tires-Trucks,Automotive - Original Equipment,24,27,12,14,3680.0000000000005,4780.0,11038.5,6258.5,20426.25,0.9,12575.7,0.25,12575.7,12745.15,12757.03,12759.7,12759.97,12760.0,12760.0
ADP,Computer and Technology,Internet - Software,1,30,509,5,3010.0,3570.0,8000.0,4430.0,14645.0,0.9,14278.2,1.42,14278.2,20199.0,60245.28,155500.66,166750.07,167875.01,167987.5
ADSK,Computer and Technology,Internet - Software,1,30,4229,2,3003.0,3702.0,8210.0,4508.0,14972.0,0.9,13456.0,1.16,13456.0,21045.0,51127.04,184401.73,343149.1,413259.91,420270.99
ADT,Industrial Products,Security and Safety Services,8,27,13,14,3120.0,3757.0,6990.0,3233.0,11839.5,0.9,16620.0,2.98,16620.0,17840.0,17840.0,17840.0,17840.0,17840.0,17840.0
ADTN,Business Services,Technology Services,4,30,14,14,3100.0,3262.5,5382.5,2120.0,8562.5,0.9,11319.0,2.8,11319.0,13126.75,13909.35,14085.44,14103.04,14104.8,14104.98
ADUS,Medical,Medical - Outpatient and Home Healthcare,10,30,39,11,3150.0,3847.5,6580.0,2732.5,10678.75,0.9,8896.0,0.85,8896.0,11463.0,19650.0,22215.0,22471.5,22497.15,22499.71
AEE,Utilities,Utility - Electric Power,8,30,43,11,3125.0,4147.5,8775.0,4627.5,15716.25,0.9,12000.0,0.7,12000.0,16011.9,19227.6,19783.26,19838.83,19844.38,19844.94
AEHR,Computer and Technology,Electronics - Measuring Instruments,4,30,176,7,3029.9999999999995,3565.0,6750.0,3185.0,11527.5,0.9,10000.0,1.02,10000.0,11251.25,18351.25,25357.75,25998.78,26062.88,26069.29
AEIS,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,3,28,136,8,3010.0,4700.0,13665.0,8965.0,27112.5,0.9,19180.0,0.62,19180.0,36675.0,243124.5,456358.05,484493.81,487307.38,487588.74
AEM,Basic Materials,Mining - Gold,1,30,1855,3,3002.0,3761.0,7962.5,4201.5,14264.75,0.9,13500.0,1.32,13500.0,21315.0,82156.8,321154.0,1680127.55,1949923.66,1976903.27
AEO,Retail-Wholesale,Retail - Apparel and Shoes,1,30,362,5,3009.0,4029.75,8787.5,4757.75,15924.125,0.9,14994.6,1.3,14994.6,26627.9,184750.0,230631.1,246205.51,247762.95,247918.7
AEP,Utilities,Utility - Electric Power,1,30,250,6,3010.0,3757.5,7047.5,3290.0,11982.5,0.9,13750.0,2.04,13750.0,24026.35,125299.41,153366.48,154818.65,154963.86,154978.39
AER,Transportation,Transportation - Equipment and Leasing,7,30,240,6,3056.0,3718.0,7562.5,3844.5,13329.25,0.9,14818.2,1.89,14818.2,31887.75,209609.82,302452.5,313745.25,314874.53,314987.45
AES,Utilities,Utility - Electric Power,1,30,527,4,3010.0,3745.0,8385.0,4640.0,15345.0,0.9,18503.0,2.18,18503.0,31432.5,92500.0,167834.05,196783.4,199678.34,199967.83
