security,num_trades,p900000_trade_value,p950000_trade_value,p990000_trade_value,p999000_trade_value,p999900_trade_value,p999990_trade_value,p999999_trade_value,trade_volume_bin,cluster,final_cluster,trade_volume_bin_rank,sector,industry
A,587,17663.19999999999,31398.49999999995,143565.11999999918,305864.4419999989,352699.14420000394,357382.6144200014,357850.9614420001,30,0.0,30__0,8,Medical,Medical - Products
AA,1630,17417.20000000001,30631.049999999967,107970.00000000026,840000.0,840000.0,840000.0,840000.0,30,2.0,30__2,8,Industrial Products,Metal Products - Distribution
AAL,4084,14806.400000000001,23794.99999999998,87630.62000000005,817007.999999998,1012610.3999999831,1127261.0400000266,1138726.1039999176,35,4.0,35__4,7,Transportation,Transportation - Airline
AAOI,1819,18000.0,26878.499999999993,51822.0,276409.48000000004,365400.57499999285,382846.5574999968,384591.15575000446,35,3.0,35__3,7,Computer and Technology,Electronics - Semiconductors
AAON,59,35697.600000000006,49727.499999999985,61050.00000000001,62355.0,62485.5,62498.55,62499.854999999996,20,0.0,20__0,10,Construction,Building Products - Air Conditioner and Heating
AAP,1680,14147.30000000001,24076.799999999996,67288.86000000007,238774.54799999978,308714.7384000067,321121.47384000814,322362.1473840027,30,0.0,30__0,8,Retail-Wholesale,Automotive - Retail and Wholesale - Parts
AAPL,437502,16600.0,25380.0,64500.0,245129.06000001007,776766.9089999719,1644399.3952024356,2375305.032132865,55,0.0,55__0,3,Computer and Technology,Computer - Micro Computers
AB,11,16000.0,19250.0,21850.000000000004,22435.0,22493.500000000004,22499.350000000002,22499.935,10,0.0,10__0,12,Finance,Financial - Investment Management
ABAT,21,6894.999999999999,7000.0,7800.000000000001,7980.0,7998.000000000001,7999.8,7999.9800000000005,15,0.0,15__0,11,Computer and Technology,Electronics - Miscellaneous Products
ABBV,7169,15498.399999999998,24439.79999999998,72422.39999999962,323578.4000000143,1247097.599999997,1258709.7599999998,1259870.9759999984,40,1.0,40__1,6,Medical,Large Cap Pharmaceuticals
ABCL,3,6088.0,6419.0,6683.8,6743.38,6749.338,6749.933800000001,6749.99338,5,0.0,5__0,13,Medical,Medical - Biomedical and Genetics
ABEO,42,11869.999999999998,14519.999999999993,24242.71999999997,27271.472000000027,27574.34719999999,27604.63472000004,27607.663471999975,15,0.0,15__0,11,Medical,Medical - Biomedical and Genetics
ABG,25,31500.0,46619.99999999994,56935.99999999998,58793.59999999999,58979.359999999986,58997.936000000016,58999.793600000005,15,0.0,15__0,11,Retail-Wholesale,Automotive - Retail and Whole Sales
ABL,1,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,0,0.0,0__0,14,Finance,Insurance - Life Insurance
ABM,17,14300.000000000004,43999.99999999991,120799.99999999999,138080.0,139808.00000000003,139980.80000000008,139998.07999999996,10,2.0,10__2,12,Business Services,Business - Services
ABNB,9326,16800.0,27437.5,118503.75,359965.09999999864,792375.8749995622,1251487.5875000558,1297398.758749508,40,0.0,40__0,6,Consumer Discretionary,Leisure and Recreation Services
ABR,260,29160.599999999995,72484.24999999996,170492.25000000038,290394.9999999986,312539.50000000204,314753.9500000002,314975.39499999734,25,0.0,25__0,9,Finance,REIT and Equity Trust
ABSI,44,7428.000000000001,7908.000000000002,13820.520000000002,16736.952000000005,17028.595199999996,17057.75951999999,17060.675952000016,15,0.0,15__0,11,Medical,Medical - Biomedical and Genetics
ABT,2254,13997.6,21400.0,70854.92999999993,397778.04499999876,451691.5999999983,457369.1600000075,457936.91599999694,35,0.0,35__0,7,Medical,Medical - Products
ABUS,3,5940.0,6135.0,6291.0,6326.1,6329.61,6329.961,6329.9961,5,0.0,5__0,13,Medical,Medical - Biomedical and Genetics
ACA,11,46575.0,60637.5,71887.50000000001,74418.75,74671.87500000001,74697.1875,74699.71875000001,10,0.0,10__0,12,Construction,Building Products - Miscellaneous
ACAD,93,10727.999999999995,27957.999999999924,141939.99999999997,151669.00000000003,152641.90000000008,152739.1900000001,152748.91899999988,20,0.0,20__0,10,Medical,Medical - Biomedical and Genetics
ACB,45,12704.200000000006,19195.99999999999,21784.72000000001,22957.67200000001,23074.96720000001,23086.696720000007,23087.869671999993,15,0.0,15__0,11,Medical,Medical - Products
ACDC,21,7440.000000000001,11025.0,11949.0,12156.9,12177.69,12179.769,12179.976900000001,15,0.0,15__0,11,Oils-Energy,Oil and Gas - Field Services
ACGL,127,8505.000000000004,13828.499999999978,30421.29999999998,50601.1499999999,53093.11500000019,53342.31150000027,53367.23114999982,20,0.0,20__0,10,Finance,Insurance - Property and Casualty
ACHC,178,16824.400000000012,34262.00000000001,101304.3999999991,193904.16000000024,198670.4160000003,199147.0416000002,199194.70415999976,25,1.0,25__1,9,Medical,Medical - Hospital
ACHR,4714,11479.1,16205.899999999938,34787.51999999999,86750.09000000003,120726.64939999375,137762.16494000301,139465.71649398934,35,0.0,35__0,7,Aerospace,Aerospace - Defense
ACI,434,19758.49999999999,37583.99999999999,100000.0,310000.0,310000.0,310000.0,310000.0,25,1.0,25__1,9,Consumer Staples,Consumer Products - Staples
ACIC,17,6300.000000000001,7230.0,7326.0,7347.6,7349.76,7349.976,7349.9976,10,0.0,10__0,12,Finance,Insurance - Property and Casualty
ACIW,2,5044.4,5130.2,5198.84,5214.284,5215.8284,5215.98284,5215.998284,5,0.0,5__0,13,Computer and Technology,Computer - Software
ACLS,329,19847.99999999999,38618.99999999996,113942.59999999873,233964.15200000117,247496.41519999958,248849.64152000178,248984.96415199887,25,1.0,25__1,9,Computer and Technology,Electronics - Manufacturing Machinery
ACLX,223,42860.000000000124,167999.9999999984,240000.0,448939.9999999981,494894.00000000047,499489.40000000136,499948.9399999982,25,0.0,25__0,9,Medical,Medical - Biomedical and Genetics
ACM,37,8729.0,9720.999999999995,24837.000000000015,32183.699999999968,32918.37000000003,32991.836999999985,32999.183699999965,15,0.0,15__0,11,Construction,Engineering - R and D Services
ACMR,490,17838.000000000004,23416.5,48036.96000000001,67034.20000000029,72403.41999999995,72940.34200000014,72994.0341999998,25,1.0,25__1,9,Computer and Technology,Semiconductor Equipment - Material Services
ACN,3942,13982.400000000001,19744.99999999998,52534.320000000094,243862.49400000303,672118.0000000003,679211.8000000027,679921.1800000012,35,0.0,35__0,7,Computer and Technology,Computers - IT Services
ACNT,1,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,0,0.0,0__0,14,Industrial Products,Manufacturing - General Industrial 
ACRS,4,4640.0,4820.0,4964.0,4996.4,4999.639999999999,4999.964,4999.9964,5,0.0,5__0,13,Medical,Medical - Drugs
ACVA,58,8392.500000000002,16924.999999999956,104370.54999999999,121497.05499999993,123209.70550000008,123380.97055000013,123398.09705500006,20,0.0,20__0,10,Retail-Wholesale,Internet - Commerce
ADBE,46976,16260.0,25725.0,71242.5,252693.97500000984,944166.2499998237,1652632.3662503422,1694768.2366245266,45,2.0,45__2,5,Computer and Technology,Computer - Software
