security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
EBAY,Retail-Wholesale,Internet - Commerce,30__0,30,2,0.0,7. p90_trade_value,25449.0,14616.0,47.0,69.0,0.6811594202898551,0.55,2. BELOW BASELINE,88.0,138.0,0.6376811594202898
EBAY,Retail-Wholesale,Internet - Commerce,30__0,30,2,0.0,8. p75_trade_value,14375.0,7900.0,149.0,206.0,0.7233009708737864,0.55,2. BELOW BASELINE,237.0,344.0,0.688953488372093
ETSY,Retail-Wholesale,Internet - Commerce,35__1,35,2,1.0,1. p999999_trade_value,885500.0,885500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ETSY,Retail-Wholesale,Internet - Commerce,35__1,35,2,1.0,4. p999_trade_value,720000.0,577200.0000000001,2.0,3.0,0.6666666666666666,0.55,1. ABOVE BASELINE,3.0,4.0,0.75
ETSY,Retail-Wholesale,Internet - Commerce,35__1,35,2,1.0,5. p99_trade_value,560000.0,145000.0,22.0,34.0,0.6470588235294118,0.55,1. ABOVE BASELINE,25.0,38.0,0.6578947368421053
ETSY,Retail-Wholesale,Internet - Commerce,35__1,35,2,1.0,6. p95_trade_value,131805.0,30000.0,82.0,151.0,0.543046357615894,0.55,2. BELOW BASELINE,107.0,189.0,0.5661375661375662
ETSY,Retail-Wholesale,Internet - Commerce,35__1,35,2,1.0,7. p90_trade_value,29830.0,17800.0,114.0,189.0,0.6031746031746031,0.55,2. BELOW BASELINE,221.0,378.0,0.5846560846560847
ETSY,Retail-Wholesale,Internet - Commerce,35__1,35,2,1.0,8. p75_trade_value,17745.0,8640.0,332.0,566.0,0.5865724381625441,0.55,2. BELOW BASELINE,553.0,944.0,0.5858050847457628
EXPE,Retail-Wholesale,Internet - Commerce,35__0,35,2,0.0,1. p999999_trade_value,835919.9999999999,835919.9999999999,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
EXPE,Retail-Wholesale,Internet - Commerce,35__0,35,2,0.0,4. p999_trade_value,726000.0,498000.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
EXPE,Retail-Wholesale,Internet - Commerce,35__0,35,2,0.0,5. p99_trade_value,400000.0,63500.0,11.0,27.0,0.4074074074074074,0.55,2. BELOW BASELINE,14.0,30.0,0.4666666666666667
EXPE,Retail-Wholesale,Internet - Commerce,35__0,35,2,0.0,6. p95_trade_value,61200.0,22800.0,61.0,116.0,0.5258620689655172,0.55,2. BELOW BASELINE,75.0,146.0,0.5136986301369864
EXPE,Retail-Wholesale,Internet - Commerce,35__0,35,2,0.0,7. p90_trade_value,22799.999999999996,15330.000000000002,105.0,148.0,0.7094594594594594,0.55,2. BELOW BASELINE,180.0,294.0,0.6122448979591837
EXPE,Retail-Wholesale,Internet - Commerce,35__0,35,2,0.0,8. p75_trade_value,15329.999999999998,8510.0,237.0,434.0,0.5460829493087558,0.55,2. BELOW BASELINE,417.0,728.0,0.5728021978021978
FVRR,Retail-Wholesale,Internet - Commerce,25__0,25,2,0.0,1. p999999_trade_value,136640.0,136640.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
FVRR,Retail-Wholesale,Internet - Commerce,25__0,25,2,0.0,5. p99_trade_value,40754.99999999999,39600.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
FVRR,Retail-Wholesale,Internet - Commerce,25__0,25,2,0.0,6. p95_trade_value,38800.0,17000.0,6.0,11.0,0.5454545454545454,0.55,2. BELOW BASELINE,8.0,14.0,0.5714285714285714
FVRR,Retail-Wholesale,Internet - Commerce,25__0,25,2,0.0,7. p90_trade_value,16905.0,13280.000000000002,12.0,13.0,0.9230769230769231,0.55,2. BELOW BASELINE,20.0,27.0,0.7407407407407407
FVRR,Retail-Wholesale,Internet - Commerce,25__0,25,2,0.0,8. p75_trade_value,12240.0,6360.0,24.0,40.0,0.6,0.55,2. BELOW BASELINE,44.0,67.0,0.6567164179104478
GLBE,Retail-Wholesale,Internet - Commerce,25__0,25,2,0.0,1. p999999_trade_value,434025.0,434025.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
GLBE,Retail-Wholesale,Internet - Commerce,25__0,25,2,0.0,5. p99_trade_value,40320.0,40320.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
GLBE,Retail-Wholesale,Internet - Commerce,25__0,25,2,0.0,6. p95_trade_value,30810.000000000004,18000.0,1.0,8.0,0.125,0.55,2. BELOW BASELINE,2.0,10.0,0.2
GLBE,Retail-Wholesale,Internet - Commerce,25__0,25,2,0.0,7. p90_trade_value,14000.0,12360.0,3.0,11.0,0.2727272727272727,0.55,2. BELOW BASELINE,5.0,21.0,0.23809523809523808
GLBE,Retail-Wholesale,Internet - Commerce,25__0,25,2,0.0,8. p75_trade_value,12000.0,9000.0,13.0,30.0,0.43333333333333335,0.55,2. BELOW BASELINE,18.0,51.0,0.35294117647058826
GRPN,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,1. p999999_trade_value,223500.0,223500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
GRPN,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,5. p99_trade_value,200000.0,150000.0,3.0,7.0,0.42857142857142855,0.55,2. BELOW BASELINE,4.0,8.0,0.5
GRPN,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,6. p95_trade_value,139275.0,39600.0,17.0,32.0,0.53125,0.55,2. BELOW BASELINE,21.0,40.0,0.525
GRPN,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,7. p90_trade_value,37540.0,19250.000000000004,26.0,37.0,0.7027027027027027,0.55,2. BELOW BASELINE,47.0,77.0,0.6103896103896104
GRPN,Retail-Wholesale,Internet - Commerce,30__2,30,2,2.0,8. p75_trade_value,19220.0,8550.0,72.0,115.0,0.6260869565217392,0.55,2. BELOW BASELINE,119.0,192.0,0.6197916666666666
JD,Retail-Wholesale,Internet - Commerce,40__0,40,2,0.0,1. p999999_trade_value,898600.0,898600.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
JD,Retail-Wholesale,Internet - Commerce,40__0,40,2,0.0,3. p9999_trade_value,728500.0,728500.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
JD,Retail-Wholesale,Internet - Commerce,40__0,40,2,0.0,4. p999_trade_value,694999.9999999999,287664.0,11.0,16.0,0.6875,0.55,2. BELOW BASELINE,12.0,18.0,0.6666666666666666
JD,Retail-Wholesale,Internet - Commerce,40__0,40,2,0.0,5. p99_trade_value,287500.0,67950.0,79.0,155.0,0.5096774193548387,0.55,2. BELOW BASELINE,91.0,173.0,0.5260115606936416
JD,Retail-Wholesale,Internet - Commerce,40__0,40,2,0.0,6. p95_trade_value,67800.0,24650.0,356.0,682.0,0.5219941348973607,0.55,2. BELOW BASELINE,447.0,855.0,0.5228070175438596
JD,Retail-Wholesale,Internet - Commerce,40__0,40,2,0.0,7. p90_trade_value,24600.0,16150.0,405.0,855.0,0.47368421052631576,0.55,2. BELOW BASELINE,852.0,1710.0,0.4982456140350877
JD,Retail-Wholesale,Internet - Commerce,40__0,40,2,0.0,8. p75_trade_value,16131.0,8910.0,1278.0,2564.0,0.4984399375975039,0.55,2. BELOW BASELINE,2130.0,4274.0,0.4983621899859616
JMIA,Retail-Wholesale,Internet - Commerce,20__0,20,2,0.0,1. p999999_trade_value,76500.0,76500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
JMIA,Retail-Wholesale,Internet - Commerce,20__0,20,2,0.0,6. p95_trade_value,24947.0,10275.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,1.0,4.0,0.25
JMIA,Retail-Wholesale,Internet - Commerce,20__0,20,2,0.0,7. p90_trade_value,10260.0,9640.0,3.0,4.0,0.75,0.55,2. BELOW BASELINE,4.0,8.0,0.5
JMIA,Retail-Wholesale,Internet - Commerce,20__0,20,2,0.0,8. p75_trade_value,8890.0,6000.0,5.0,10.0,0.5,0.55,2. BELOW BASELINE,9.0,18.0,0.5
PSQH,Retail-Wholesale,Internet - Commerce,20__0,20,2,0.0,1. p999999_trade_value,13850.0,13850.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
PSQH,Retail-Wholesale,Internet - Commerce,20__0,20,2,0.0,6. p95_trade_value,12500.0,9765.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,2.0,4.0,0.5
PSQH,Retail-Wholesale,Internet - Commerce,20__0,20,2,0.0,7. p90_trade_value,9180.0,8550.0,2.0,3.0,0.6666666666666666,0.55,2. BELOW BASELINE,4.0,7.0,0.5714285714285714
