security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
SSL,Oils-Energy,Oil and Gas - Integrated - International,0.55,4490.000000000001,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,4490.0,4490.0,4490.0,4490.0,4490.0,4490.0,4490.0
STR,Oils-Energy,Oil and Gas - Royalty Trust - United States,0.55,3075.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,3075.0,3075.0,3075.0,3075.0,3075.0,3075.0,3075.0
SUN,Oils-Energy,Oil and Gas - Refining and Marketing - Master Limited Partnerships,0.55,,,,14,10__0,10,3,0.0,19667.0,32030.0,45446.0,48464.6,48766.46,48796.65,48799.66
TALO,Oils-Energy,Oil and Gas - Exploration and Production - United States,0.55,5595.0,1. p999999_trade_value,1.0,3,5__0,5,3,0.0,5129.4,5362.2,5548.44,5590.34,5594.53,5594.95,5595.0
TGS,Oils-Energy,Oil and Gas - Production and Pipelines,0.55,,,,4,5__1,5,3,1.0,81000.0,85500.0,89100.0,89910.0,89991.0,89999.1,89999.91
VET,Oils-Energy,Oil and Gas - Exploration and Production - International,0.55,,,,6,10__0,10,3,0.0,7440.0,7700.0,7908.0,7954.8,7959.48,7959.95,7959.99
VNOM,Oils-Energy,Oil and Gas - Exploration and Production - United States,0.55,,,,54,15__0,15,3,0.0,10050.0,11718.0,44070.48,44826.05,44901.6,44909.16,44909.92
VTS,Oils-Energy,Oil and Gas - Exploration and Production - United States,0.55,5400.0,8. p75_trade_value,2.0,6,10__0,10,3,0.0,8700.0,10350.0,11670.0,11967.0,11996.7,11999.67,11999.97
WHD,Oils-Energy,Oil and Gas - Integrated - United States,0.55,6000.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
XPRO,Oils-Energy,Oil and Gas - Production and Pipelines,0.55,4260.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,4260.0,4260.0,4260.0,4260.0,4260.0,4260.0,4260.0
