trade_volume_bin_rank,security,sector,industry,min_dte,max_dte,qualifying_trades,trade_volume_bin,p0_trade_value,p25_trade_value,p75_trade_value,iqr,trad_iqr_trade_value,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
2,A,Medical,Medical - Products,2,30,585,30,3010.0,3690.0,8575.0,4885.0,15902.5,17500.0,30696.0,144761.28,306042.05,352716.9,357384.39,357851.14
2,AA,Industrial Products,Metal Products - Distribution,1,30,1648,30,3002.0000000000005,3700.0,8463.0,4763.0,15607.5,17325.4,30156.0,106710.0,840000.0,840000.0,840000.0,840000.0
2,AAL,Transportation,Transportation - Airline,1,30,4099,35,3002.0,3800.0,8221.0,4421.0,14852.5,14842.8,23839.5,87527.72,816648.0,1012142.4,1127214.24,1138721.42
2,AAOI,Computer and Technology,Electronics - Semiconductors,1,30,1828,35,3010.0,3840.0,9125.0,5285.0,17052.5,18000.0,26779.25,51813.0,276390.22,365304.61,382836.96,384590.2
2,AAON,Construction,Building Products - Air Conditioner and Heating,8,29,59,20,3050.0,5640.0,20500.0,14860.0,42790.0,35697.6,49727.5,61050.0,62355.0,62485.5,62498.55,62499.85
2,AAP,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,1,30,1663,30,3002.0000000000005,3750.0,8000.0,4250.0,14375.0,14290.6,24192.4,67657.08,238815.14,308854.32,321135.43,322363.54
1,AAPL,Computer and Technology,Computer - Micro Computers,1,30,437563,55,3002.0,3850.0,8930.0,5080.0,16550.0,16600.0,25374.5,64504.56,245915.7,784767.28,1644362.5,2375287.93
3,AB,Finance,Financial - Investment Management,16,30,11,10,3079.9999999999995,4165.0,13012.5,8847.5,26283.75,16000.0,19250.0,21850.0,22435.0,22493.5,22499.35,22499.94
3,ABAT,Computer and Technology,Electronics - Miscellaneous Products,11,25,21,15,3075.0,4050.0,5215.0,1165.0,6962.5,6895.0,7000.0,7800.0,7980.0,7998.0,7999.8,7999.98
2,ABBV,Medical,Large Cap Pharmaceuticals,1,30,7156,40,3002.9999999999995,3749.75,8400.0,4650.25,15375.375,15492.0,24428.25,71862.5,324134.31,1247121.0,1258712.1,1259871.21
3,ABCL,Medical,Medical - Biomedical and Genetics,9,30,3,5,3140.0,3290.0,5095.0,1805.0,7802.5,6088.0,6419.0,6683.8,6743.38,6749.34,6749.93,6749.99
