security,option_trade_value_bin,itm,otm,cnt,itm_1,itm_2,itm_3,itm_pct,min_trade_value,med_trade_value,stddev_trade_value
ASB,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,13500.0,13500.0,
AX,1,1.0,1.0,2.0,0.0,0.0,1.0,0.5,21700.0,22350.0,919.24
AX,2,1.0,1.0,2.0,0.0,0.0,1.0,0.5,13520.0,16760.0,4582.05
AX,3,1.0,0.0,1.0,0.0,0.0,1.0,1.0,12875.0,12875.0,
AX,4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,12870.0,12870.0,
AX,5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,12000.0,12000.0,
AX,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9300.0,9300.0,
AX,7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8736.0,8736.0,
AX,8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8500.0,8500.0,
AX,9,1.0,0.0,1.0,0.0,0.0,1.0,1.0,8240.0,8240.0,
AX,10,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7975.0,7975.0,
BANC,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,34454.0,34454.0,
BANC,2,1.0,0.0,1.0,0.0,0.0,1.0,1.0,10800.0,10800.0,
BANC,3,1.0,0.0,1.0,0.0,0.0,1.0,1.0,8595.0,8595.0,
BANC,4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,6266.0,6266.0,
BK,1,6.0,1.0,7.0,5.0,0.0,1.0,0.86,45210.0,55341.0,19597.53
BK,2,5.0,2.0,7.0,2.0,0.0,3.0,0.71,21630.0,23500.0,3276.67
BK,3,6.0,1.0,7.0,2.0,0.0,4.0,0.86,16960.0,19560.0,1137.76
BK,4,5.0,2.0,7.0,4.0,1.0,0.0,0.71,11900.0,12255.0,1036.32
BK,5,6.0,1.0,7.0,4.0,1.0,1.0,0.86,10000.0,10710.0,848.77
BK,6,4.0,3.0,7.0,4.0,0.0,0.0,0.57,8800.0,9174.0,415.52
BK,7,2.0,4.0,6.0,2.0,0.0,0.0,0.33,7840.0,8105.0,273.47
BK,8,5.0,1.0,6.0,3.0,0.0,2.0,0.83,7420.0,7560.0,142.97
BK,9,5.0,1.0,6.0,3.0,0.0,2.0,0.83,7000.0,7305.0,152.24
BK,10,4.0,2.0,6.0,1.0,0.0,3.0,0.67,6560.0,6655.5,202.29
BKU,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3750.0,3750.0,
BOH,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18000.0,18000.0,
BOH,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,9000.0,9000.0,
BOH,3,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5800.0,5800.0,
BOKF,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9900.0,9900.0,
CADE,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3750.0,3750.0,
CBSH,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9300.0,9300.0,
CCB,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9000.0,9000.0,
CFG,1,4.0,0.0,4.0,1.0,2.0,1.0,1.0,65790.0,108445.5,23720.09
CFG,2,4.0,0.0,4.0,1.0,2.0,1.0,1.0,43000.0,46868.0,9432.94
CFG,3,2.0,2.0,4.0,0.0,2.0,0.0,0.5,33680.0,35820.0,1671.92
CFG,4,1.0,3.0,4.0,1.0,0.0,0.0,0.25,28000.0,30352.5,1849.58
CFG,5,4.0,0.0,4.0,2.0,1.0,1.0,1.0,18620.0,20950.0,3655.84
CFG,6,1.0,3.0,4.0,1.0,0.0,0.0,0.25,17290.0,17942.0,495.05
CFG,7,1.0,3.0,4.0,1.0,0.0,0.0,0.25,13380.0,15622.5,1505.31
CFG,8,2.0,1.0,3.0,0.0,1.0,1.0,0.67,12690.0,12768.0,274.71
CFG,9,1.0,2.0,3.0,1.0,0.0,0.0,0.33,11580.0,12440.0,566.2
CFG,10,3.0,0.0,3.0,2.0,1.0,0.0,1.0,9968.0,10000.0,97.17
CFR,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12150.0,12150.0,
CFR,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7830.0,7830.0,
CFR,3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6750.0,6750.0,
CFR,4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6150.0,6150.0,
CLBK,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,24000.0,24000.0,
CMA,1,3.0,3.0,6.0,2.0,0.0,1.0,0.5,97305.0,135000.0,69435.44
CMA,2,1.0,5.0,6.0,1.0,0.0,0.0,0.17,61250.0,63505.0,5408.01
CMA,3,2.0,4.0,6.0,2.0,0.0,0.0,0.33,39235.0,45542.5,7838.22
CMA,4,3.0,3.0,6.0,2.0,1.0,0.0,0.5,24605.0,29650.0,4381.7
CMA,5,5.0,1.0,6.0,2.0,2.0,1.0,0.83,21000.0,22949.0,1033.83
CMA,6,4.0,2.0,6.0,3.0,1.0,0.0,0.67,17875.0,18654.0,940.33
CMA,7,4.0,1.0,5.0,2.0,0.0,2.0,0.8,13650.0,14454.0,740.74
CMA,8,2.0,3.0,5.0,0.0,0.0,2.0,0.4,12513.0,13125.0,318.3
CMA,9,2.0,3.0,5.0,2.0,0.0,0.0,0.4,11305.0,11470.0,478.41
CMA,10,3.0,2.0,5.0,3.0,0.0,0.0,0.6,9750.0,10000.0,588.16
COLB,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6400.0,6400.0,
COOP,1,1.0,1.0,2.0,1.0,0.0,0.0,0.5,22500.0,51360.0,40814.2
COOP,2,2.0,0.0,2.0,1.0,1.0,0.0,1.0,21890.0,22125.0,332.34
COOP,3,1.0,1.0,2.0,1.0,0.0,0.0,0.5,17700.0,18035.0,473.76
COOP,4,2.0,0.0,2.0,0.0,0.0,2.0,1.0,13000.0,13150.0,212.13
COOP,5,1.0,1.0,2.0,1.0,0.0,0.0,0.5,10920.0,11455.0,756.6
COOP,6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9800.0,10150.0,494.97
COOP,7,1.0,1.0,2.0,1.0,0.0,0.0,0.5,9620.0,9707.0,123.04
COOP,8,1.0,1.0,2.0,0.0,0.0,1.0,0.5,9000.0,9005.0,7.07
COOP,9,1.0,1.0,2.0,0.0,0.0,1.0,0.5,9000.0,9000.0,0.0
COOP,10,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8750.0,8750.0,
CRBG,1,2.0,1.0,3.0,1.0,1.0,0.0,0.67,60000.0,108000.0,195468.67
CRBG,2,2.0,1.0,3.0,1.0,1.0,0.0,0.67,34765.0,36400.0,9801.47
CRBG,3,2.0,1.0,3.0,1.0,0.0,1.0,0.67,27860.0,29328.0,1705.27
CRBG,4,3.0,0.0,3.0,2.0,1.0,0.0,1.0,24000.0,24800.0,1617.74
CRBG,5,2.0,1.0,3.0,0.0,2.0,0.0,0.67,18960.0,20115.0,1728.87
CRBG,6,2.0,1.0,3.0,1.0,0.0,1.0,0.67,16140.0,17250.0,1346.56
CRBG,7,2.0,1.0,3.0,1.0,0.0,1.0,0.67,12880.0,14175.0,1220.77
CRBG,8,1.0,2.0,3.0,0.0,0.0,1.0,0.33,11950.0,12640.0,482.8
CRBG,9,2.0,1.0,3.0,1.0,1.0,0.0,0.67,9552.0,9675.0,315.79
CRBG,10,2.0,1.0,3.0,2.0,0.0,0.0,0.67,8650.0,9090.0,435.01
DCOM,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6480.0,6480.0,
EBC,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,15000.0,15000.0,
EBC,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5500.0,5500.0,
EBC,3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5500.0,5500.0,
EFSC,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4500.0,4500.0,
EFSC,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4500.0,4500.0,
EWBC,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,54060.0,54060.0,
EWBC,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,44400.0,44400.0,
EWBC,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,27000.0,27000.0,
EWBC,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18850.0,18850.0,
EWBC,5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,18500.0,18500.0,
EWBC,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17400.0,17400.0,
EWBC,7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16005.0,16005.0,
FCNCA,1,6.0,4.0,10.0,3.0,0.0,3.0,0.6,26920.0,46300.0,19545.67
FCNCA,2,6.0,3.0,9.0,4.0,0.0,2.0,0.67,19520.0,23400.0,2476.34
FCNCA,3,6.0,3.0,9.0,3.0,0.0,3.0,0.67,13500.0,16100.0,2086.39
FCNCA,4,2.0,7.0,9.0,0.0,0.0,2.0,0.22,10626.0,12000.0,1075.17
