security,min_date_from_expiration,max_date_from_expiration,qualifying_trades,q1_size,q3_size,iqr_size,trad_k_size_threshold,p90_size,p95_size,p97_size,p98_size,p99_size,trad_k_size,p90_k_size,p95_k_size,p97_k_size,p98_k_size,p99_k_size,q1_trade_value,q3_trade_value,iqr_trade_value,trad_k_trade_value_threshold,p90_trade_value,p95_trade_value,p97_trade_value,p98_trade_value,p99_trade_value,trad_k_trade_value,p90_k_trade_value,p95_k_trade_value,p97_k_trade_value,p98_k_trade_value,p99_k_trade_value,large_trade_size_filter,large_trade_value_filter
CFR,0,29,32,12.0,34.5,22.5,68.25,100.0,151.6,269.65,578.1,886.55,1.500,2.911111111111111,5.204444444444444,10.45111111111111,24.16,37.86888888888889,4725.0,10775.0,6050.0,19850.0,41800.0,69640.0,110148.25,155090.5,200032.75,1.500,5.128099173553719,9.729752066115703,16.425330578512398,23.85380165289256,31.282272727272726,100.0,110148.25
CLBK,16,25,2,83.75,161.25,77.5,277.5,184.5,192.25,195.35,196.9,198.45,1.500,0.3,0.4,0.43999999999999995,0.4600000000000001,0.47999999999999987,8700.0,18900.0,10200.0,34200.0,21960.0,22980.0,23388.0,23592.0,23796.0,1.500,0.3,0.4,0.44,0.46,0.48,277.5,34200.0
CMA,0,29,500,25.0,79.25,54.25,160.625,152.1,344.55,1000.0,1000.0,1350.0,1.500,1.3428571428571427,4.890322580645162,16.972350230414747,16.972350230414747,23.42396313364055,4616.5,12225.0,7608.5,23637.75,23312.1,45439.65,70000.0,110000.0,221961.2,1.500,1.457199185121903,4.365466254846553,7.593480975225077,12.850759019517644,27.566037983833873,160.625,70000.0
COLB,10,29,5,65.0,91.0,26.0,130.0,113.2,120.6,123.56,125.04,126.52,1.500,0.8538461538461539,1.1384615384615382,1.2523076923076923,1.3092307692307694,1.366153846153846,4710.0,6400.0,1690.0,8935.0,9385.0,10380.0,10778.0,10977.0,11176.0,1.500,1.7662721893491125,2.3550295857988166,2.590532544378698,2.708284023668639,2.8260355029585797,130.0,30000.0
COOP,0,29,360,9.0,30.0,21.0,61.5,50.0,74.0,91.15,108.28,256.15,1.500,0.9523809523809523,2.0952380952380953,2.911904761904762,3.7276190476190476,10.769047619047617,4190.0,9979.75,5789.75,18664.375,17359.6,26030.0,31414.5,34775.6,45390.71,1.500,1.2746405285202294,2.7721836003281664,3.7021892136966192,4.282715143140895,6.116146638455891,61.5,31414.5
CRBG,0,28,116,40.0,137.75,97.75,284.375,328.0,813.25,1275.0,1675.0,6212.5,1.500,1.9462915601023019,6.910485933503836,11.634271099744245,15.726342710997443,62.14578005115089,3602.5,7881.25,4278.75,14299.375,20685.0,46250.0,56625.0,109875.0,376687.5,1.500,2.9924043236926674,8.967280163599183,11.392053754016944,23.837277242185216,86.19485831142273,328.0,56625.0
DCOM,25,25,2,60.0,84.0,24.0,120.0,91.2,93.6,94.56,95.04,95.52,1.500,0.3000000000000001,0.39999999999999974,0.4400000000000001,0.46000000000000024,0.4799999999999998,5868.0,6276.0,408.0,6888.0,6398.4,6439.2,6455.52,6463.68,6471.84,1.500,0.2999999999999991,0.3999999999999996,0.44000000000000106,0.4600000000000007,0.48000000000000037,120.0,30000.0
EBC,14,29,5,49.0,100.0,51.0,176.5,160.0,180.0,188.0,192.0,196.0,1.500,1.1764705882352942,1.5686274509803921,1.7254901960784315,1.803921568627451,1.8823529411764706,3920.0,5500.0,1580.0,7870.0,9400.0,10700.0,11220.0,11480.0,11740.0,1.500,2.4683544303797467,3.2911392405063293,3.6202531645569622,3.7848101265822787,3.949367088607595,176.5,30000.0
ESNT,2,11,2,17.0,17.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,1.500,nan,nan,nan,nan,nan,4148.0,4420.0,272.0,4828.0,4501.6,4528.8,4539.68,4545.12,4550.56,1.500,0.3000000000000013,0.4000000000000007,0.44000000000000106,0.4599999999999996,0.4800000000000015,17.0,30000.0
EWBC,0,29,63,10.5,50.0,39.5,109.25,100.0,129.7,171.8,277.2,318.0,1.500,1.2658227848101267,2.0177215189873414,3.083544303797469,5.751898734177215,6.784810126582278,3895.0,10808.0,6913.0,21177.5,24250.0,31985.0,35617.68,41949.12,48070.8,1.500,1.9444524808332129,3.0633588890496166,3.588844206567337,4.504718646029221,5.390250253146247,109.25,35617.68
FCNCA,0,29,500,1.0,2.0,1.0,3.5,4.0,5.05,10.0,11.02,20.0,1.500,2.0,3.05,8.0,9.02,18.0,7985.0,11217.5,3232.5,16066.25,20406.5,29510.0,39007.17,42362.0,58068.0,1.500,2.842691415313225,5.658932714617169,8.596959010054137,9.634802784222737,14.493580819798916,4.0,39007.17
FHN,0,29,77,76.0,196.0,120.0,376.0,330.4,500.0,533.84,909.4,1709.76,1.500,1.1199999999999999,2.533333333333333,2.8153333333333337,5.944999999999999,12.614666666666666,3750.0,6750.0,3000.0,11250.0,10434.0,13272.0,14999.6,17182.2,40771.44,1.500,1.228,2.174,2.7498666666666667,3.4774000000000003,11.340480000000001,376.0,30000.0
FITB,0,29,245,28.0,100.0,72.0,208.0,175.8,315.2,388.12,463.0,572.72,1.500,1.052777777777778,2.988888888888889,4.001666666666667,5.041666666666667,6.565555555555556,3900.0,7350.0,3450.0,12525.0,11288.0,16000.0,20649.6,21520.0,30063.6,1.500,1.1414492753623189,2.5072463768115942,3.85495652173913,4.107246376811594,6.583652173913043,208.0,30000.0
FULT,8,8,1,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,1.500,nan,nan,nan,nan,nan,7500.0,7500.0,0.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,1.500,nan,nan,nan,nan,nan,100.0,30000.0
GABC,8,27,2,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.500,nan,nan,nan,nan,nan,9387.5,9962.5,575.0,10825.0,10135.0,10192.5,10215.5,10227.0,10238.5,1.500,0.3,0.4,0.44,0.46,0.48,50.0,30000.0
GBCI,21,29,2,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.500,nan,nan,nan,nan,nan,5000.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1.500,nan,nan,nan,nan,nan,50.0,30000.0
HBAN,0,29,139,78.0,255.0,177.0,520.5,617.4,2008.3,2871.62,3587.64,4376.78,1.500,2.0474576271186438,9.905649717514123,14.783163841807909,18.828474576271187,23.28689265536723,3900.0,8077.5,4177.5,14343.75,14019.0,20259.0,33147.0,45100.72,66491.74,1.500,1.422262118491921,2.9159784560143627,6.001077199281867,8.862530221424297,13.983061639736686,617.4,33147.0
KEY,0,29,321,82.0,300.0,218.0,627.0,964.0,4629.0,10000.0,10900.0,14003.4,1.500,3.0458715596330275,19.857798165137616,44.4954128440367,48.62385321100918,62.85963302752293,3773.0,7656.0,3883.0,13480.5,25421.0,88679.0,183212.6,309541.2,417240.0,1.500,4.575070821529745,20.86608292557301,45.211588977594644,77.74535153232037,105.48132886943085,964.0,183212.6
MTB,0,29,168,8.0,26.25,18.25,53.625,63.0,100.65,150.0,173.1,288.0,1.500,2.0136986301369864,4.076712328767123,6.780821917808219,8.046575342465752,14.342465753424657,3640.0,8333.5,4693.5,15373.75,18544.0,38344.8,44975.7,47238.6,60002.82,1.500,2.1754554170661553,6.394226057313306,7.807009694258015,8.289144561627783,11.008697134334717,63.0,44975.7
MTG,14,28,9,25.0,50.0,25.0,87.5,97.6,172.8,202.88,217.92,232.96,1.500,1.9039999999999997,4.912000000000001,6.1152,6.716799999999999,7.3184000000000005,3562.0,4680.0,1118.0,6357.0,9264.0,15792.0,18403.2,19708.8,21014.4,1.500,4.100178890876565,9.9391771019678,12.274776386404294,13.44257602862254,14.610375670840789,97.6,30000.0
NBTB,17,25,8,14.0,35.0,21.0,66.5,50.0,50.0,50.0,50.0,50.0,1.500,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,4021.5,5332.5,1311.0,7299.0,8430.0,11965.0,13379.0,14086.0,14793.0,1.500,2.362700228832952,5.059115179252479,6.13768115942029,6.676964149504196,7.2162471395881,66.5,30000.0
NTRS,4,29,338,19.0,43.0,24.0,79.0,61.6,104.0,129.56,185.94,280.02,1.500,0.775,2.5416666666666665,3.606666666666667,5.9558333333333335,9.875833333333333,4252.5,12600.0,8347.5,25121.25,16060.0,18067.5,25982.4,41607.8,54334.0,1.500,0.4144953578915843,0.6549865229110512,1.6031626235399823,3.4750284516322254,4.99958071278826,79.0,30000.0
NWBI,21,29,3,58.0,80.0,22.0,113.0,89.6,92.8,94.08,94.72,95.36,1.500,0.4363636363636361,0.5818181818181817,0.6399999999999999,0.6690909090909091,0.6981818181818181,4834.0,6416.0,1582.0,8789.0,7116.8,7350.4,7443.84,7490.56,7537.28,1.500,0.442983565107459,0.5906447534766116,0.6497092288242732,0.6792414664981039,0.7087737041719341,113.0,30000.0
ONB,25,25,4,28.25,30.0,1.75,32.625,30.0,30.0,30.0,30.0,30.0,1.500,0.0,0.0,0.0,0.0,0.0,4011.5,4260.0,248.5,4632.75,4260.0,4260.0,4260.0,4260.0,4260.0,1.500,0.0,0.0,0.0,0.0,0.0,32.625,30000.0
OZK,0,29,370,21.0,67.75,46.75,137.875,121.4,200.0,243.95,315.58,348.62,1.500,1.1475935828877006,2.828877005347594,3.768983957219251,5.301176470588235,6.007914438502674,3691.25,8000.0,4308.75,14463.125,15559.0,20487.5,25867.0,29299.66,35968.2,1.500,1.7543371047287497,2.898172323759791,4.146678270960256,4.943350159559037,6.491024078909196,137.875,30000.0
PB,9,18,2,15.25,25.75,10.5,41.5,28.9,29.95,30.37,30.58,30.79,1.500,0.2999999999999999,0.3999999999999999,0.4400000000000001,0.45999999999999985,0.4799999999999999,4651.25,4753.75,102.5,4907.5,4784.5,4794.75,4798.85,4800.9,4802.95,1.500,0.3,0.4,0.44000000000000355,0.45999999999999647,0.4799999999999982,41.5,30000.0
PFS,15,15,1,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.500,nan,nan,nan,nan,nan,3650.0,3650.0,0.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,1.500,nan,nan,nan,nan,nan,50.0,30000.0
PFSI,1,25,84,8.0,34.75,26.75,74.875,54.0,239.65,402.0,585.0,750.0,1.500,0.719626168224299,7.65981308411215,13.728971962616823,20.570093457943926,26.738317757009344,4909.0,17062.5,12153.5,35292.75,24198.0,33142.5,77965.5,110328.0,132907.5,1.500,0.5871148228905254,1.3230756572180853,5.011149051713498,7.673962233101576,9.531822108857531,74.875,77965.5
PNC,0,29,500,18.0,71.25,53.25,151.125,193.1,278.0,401.45,455.2,500.29,1.500,2.288262910798122,3.8826291079812205,6.20093896713615,7.210328638497653,8.057089201877934,7557.5,16805.0,9247.5,30676.25,31050.9,52876.9,67095.53,86800.5,155260.5,1.500,1.54051365233847,3.900719113273858,5.438283860502838,7.569126791024601,14.97220870505542,193.1,67095.53
PNFP,3,29,20,4.0,14.0,10.0,29.0,75.0,77.2,93.92,102.28,110.64,1.500,6.1,6.32,7.992,8.828,9.664,3080.0,3918.75,838.75,5176.875,21300.0,24823.0,31077.8,34205.2,37332.6,1.500,20.72280178837556,24.923099850968704,32.38038748137109,36.109031296572276,39.83767511177347,75.0,31077.8
