security,trade_value_bracket,cnt,running_count
ASB,09. $0.01M-$0.03M,1,3
ASB,10. $0.003M-$0.01M,2,2
AX,08. $0.03M-$0.1M,1,25
AX,09. $0.01M-$0.03M,4,24
AX,10. $0.003M-$0.01M,20,20
BANC,08. $0.03M-$0.1M,6,76
BANC,09. $0.01M-$0.03M,17,70
BANC,10. $0.003M-$0.01M,53,53
BK,07. $0.1M-$0.3M,2,1160
BK,08. $0.03M-$0.1M,23,1158
BK,09. $0.01M-$0.03M,174,1135
BK,10. $0.003M-$0.01M,961,961
BKU,10. $0.003M-$0.01M,1,1
BOH,08. $0.03M-$0.1M,6,20
BOH,09. $0.01M-$0.03M,5,14
BOH,10. $0.003M-$0.01M,9,9
BOKF,09. $0.01M-$0.03M,1,1
BUSE,08. $0.03M-$0.1M,1,2
BUSE,10. $0.003M-$0.01M,1,1
CCB,08. $0.03M-$0.1M,2,23
CCB,09. $0.01M-$0.03M,4,21
CCB,10. $0.003M-$0.01M,17,17
CFG,06. $0.3M-$1.0M,1,248
CFG,08. $0.03M-$0.1M,10,247
CFG,09. $0.01M-$0.03M,28,237
CFG,10. $0.003M-$0.01M,209,209
CFR,07. $0.1M-$0.3M,2,32
CFR,08. $0.03M-$0.1M,5,30
CFR,09. $0.01M-$0.03M,1,25
CFR,10. $0.003M-$0.01M,24,24
CLBK,09. $0.01M-$0.03M,1,2
CLBK,10. $0.003M-$0.01M,1,1
CMA,06. $0.3M-$1.0M,2,645
CMA,07. $0.1M-$0.3M,10,643
CMA,08. $0.03M-$0.1M,26,633
CMA,09. $0.01M-$0.03M,122,607
CMA,10. $0.003M-$0.01M,485,485
COLB,09. $0.01M-$0.03M,1,5
COLB,10. $0.003M-$0.01M,4,4
COOP,07. $0.1M-$0.3M,1,360
COOP,08. $0.03M-$0.1M,13,359
COOP,09. $0.01M-$0.03M,76,346
COOP,10. $0.003M-$0.01M,270,270
CRBG,06. $0.3M-$1.0M,2,116
CRBG,07. $0.1M-$0.3M,1,114
CRBG,08. $0.03M-$0.1M,5,113
CRBG,09. $0.01M-$0.03M,14,108
CRBG,10. $0.003M-$0.01M,94,94
DCOM,10. $0.003M-$0.01M,2,2
EBC,09. $0.01M-$0.03M,1,5
EBC,10. $0.003M-$0.01M,4,4
ESNT,10. $0.003M-$0.01M,2,2
EWBC,08. $0.03M-$0.1M,5,63
EWBC,09. $0.01M-$0.03M,12,58
EWBC,10. $0.003M-$0.01M,46,46
FCNCA,07. $0.1M-$0.3M,1,1061
FCNCA,08. $0.03M-$0.1M,23,1060
FCNCA,09. $0.01M-$0.03M,163,1037
FCNCA,10. $0.003M-$0.01M,874,874
FHN,07. $0.1M-$0.3M,1,77
FHN,09. $0.01M-$0.03M,7,76
FHN,10. $0.003M-$0.01M,69,69
FITB,08. $0.03M-$0.1M,3,245
FITB,09. $0.01M-$0.03M,31,242
FITB,10. $0.003M-$0.01M,211,211
FULT,10. $0.003M-$0.01M,1,1
GABC,09. $0.01M-$0.03M,1,2
GABC,10. $0.003M-$0.01M,1,1
GBCI,10. $0.003M-$0.01M,2,2
HBAN,08. $0.03M-$0.1M,5,139
HBAN,09. $0.01M-$0.03M,20,134
HBAN,10. $0.003M-$0.01M,114,114
KEY,05. $1.0M-$3.0M,1,321
KEY,06. $0.3M-$1.0M,6,320
KEY,07. $0.1M-$0.3M,9,314
KEY,08. $0.03M-$0.1M,14,305
KEY,09. $0.01M-$0.03M,33,291
KEY,10. $0.003M-$0.01M,258,258
MTB,08. $0.03M-$0.1M,11,168
MTB,09. $0.01M-$0.03M,24,157
MTB,10. $0.003M-$0.01M,133,133
MTG,09. $0.01M-$0.03M,1,9
MTG,10. $0.003M-$0.01M,8,8
NBTB,09. $0.01M-$0.03M,1,8
NBTB,10. $0.003M-$0.01M,7,7
NTRS,08. $0.03M-$0.1M,10,338
NTRS,09. $0.01M-$0.03M,116,328
NTRS,10. $0.003M-$0.01M,212,212
NWBI,10. $0.003M-$0.01M,3,3
ONB,10. $0.003M-$0.01M,4,4
OZK,08. $0.03M-$0.1M,7,370
OZK,09. $0.01M-$0.03M,62,363
OZK,10. $0.003M-$0.01M,301,301
PB,10. $0.003M-$0.01M,2,2
PFS,10. $0.003M-$0.01M,1,1
PFSI,07. $0.1M-$0.3M,2,84
PFSI,08. $0.03M-$0.1M,3,82
PFSI,09. $0.01M-$0.03M,32,79
PFSI,10. $0.003M-$0.01M,47,47
PNC,06. $0.3M-$1.0M,1,1145
PNC,07. $0.1M-$0.3M,9,1144
PNC,08. $0.03M-$0.1M,44,1135
PNC,09. $0.01M-$0.03M,211,1091
PNC,10. $0.003M-$0.01M,880,880
PNFP,08. $0.03M-$0.1M,1,20
PNFP,09. $0.01M-$0.03M,2,19
PNFP,10. $0.003M-$0.01M,17,17
PPBI,08. $0.03M-$0.1M,1,1
RDN,08. $0.03M-$0.1M,1,3
RDN,09. $0.01M-$0.03M,2,2
SNV,08. $0.03M-$0.1M,6,221
SNV,09. $0.01M-$0.03M,43,215
SNV,10. $0.003M-$0.01M,172,172
SRCE,10. $0.003M-$0.01M,2,2
SSB,09. $0.01M-$0.03M,1,2
SSB,10. $0.003M-$0.01M,1,1
SYBT,09. $0.01M-$0.03M,2,6
SYBT,10. $0.003M-$0.01M,4,4
TBBK,08. $0.03M-$0.1M,4,34
TBBK,09. $0.01M-$0.03M,17,30
TBBK,10. $0.003M-$0.01M,13,13
TCBI,10. $0.003M-$0.01M,1,1
TFIN,09. $0.01M-$0.03M,3,11
TFIN,10. $0.003M-$0.01M,8,8
UMBF,09. $0.01M-$0.03M,1,4
UMBF,10. $0.003M-$0.01M,3,3
USB,06. $0.3M-$1.0M,3,1543
USB,07. $0.1M-$0.3M,8,1540
USB,08. $0.03M-$0.1M,77,1532
USB,09. $0.01M-$0.03M,178,1455
USB,10. $0.003M-$0.01M,1277,1277
VLY,07. $0.1M-$0.3M,1,124
VLY,08. $0.03M-$0.1M,14,123
VLY,09. $0.01M-$0.03M,12,109
VLY,10. $0.003M-$0.01M,97,97
WABC,10. $0.003M-$0.01M,1,1
WAFD,09. $0.01M-$0.03M,1,3
WAFD,10. $0.003M-$0.01M,2,2
WAL,06. $0.3M-$1.0M,1,586
WAL,07. $0.1M-$0.3M,2,585
WAL,08. $0.03M-$0.1M,15,583
WAL,09. $0.01M-$0.03M,87,568
WAL,10. $0.003M-$0.01M,481,481
WBS,07. $0.1M-$0.3M,2,36
