security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ADTN,Business Services,Technology Services,0.55,,,,14,10__0,10,3,0.0,11319.0,13126.75,13909.35,14085.44,14103.04,14104.8,14104.98
AIRS,Business Services,Technology Services,0.55,10500.0,1. p999999_trade_value,1.0,1,0__0,0,3,0.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0
ALLT,Business Services,Technology Services,0.55,10050.0,8. p75_trade_value,5.0,19,15__0,15,3,0.0,10849.2,11321.4,13304.28,13750.43,13795.04,13799.5,13799.95
AMBR,Business Services,Technology Services,0.55,,,,1,0__0,0,3,0.0,20475.0,20475.0,20475.0,20475.0,20475.0,20475.0,20475.0
AMPL,Business Services,Technology Services,0.55,150000.0,1. p999999_trade_value,1.0,41,15__0,15,3,0.0,10440.0,14520.0,96000.0,144600.0,149460.0,149946.0,149994.6
AMPX,Business Services,Technology Services,0.55,16410.0,1. p999999_trade_value,1.0,44,15__0,15,3,0.0,9061.5,10152.0,13868.7,16155.87,16384.59,16407.46,16409.75
API,Business Services,Technology Services,0.55,,,,16,10__0,10,3,0.0,7517.5,8776.25,11755.25,12425.52,12492.55,12499.26,12499.93
AREN,Business Services,Technology Services,0.55,,,,1,0__2,0,3,2.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
ASST,Business Services,Technology Services,0.55,,,,14,10__0,10,3,0.0,5998.5,8343.75,11268.75,11926.88,11992.69,11999.27,11999.93
BKKT,Business Services,Technology Services,0.55,,,,16,10__0,10,3,0.0,9360.0,10515.0,12711.0,13205.1,13254.51,13259.45,13259.95
BLDE,Business Services,Technology Services,0.55,22714.999999999996,1. p999999_trade_value,1.0,15,10__0,10,3,0.0,10824.0,15242.5,21220.5,22565.55,22700.05,22713.51,22714.85
BTCM,Business Services,Technology Services,0.55,3675.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,3675.0,3675.0,3675.0,3675.0,3675.0,3675.0,3675.0
CDLX,Business Services,Technology Services,0.55,11599.999999999998,7. p90_trade_value,2.0,14,10__0,10,3,0.0,10220.0,12265.0,13253.0,13475.3,13497.53,13499.75,13499.98
CRCT,Business Services,Technology Services,0.55,,,,2,5__0,5,3,0.0,4720.0,4760.0,4792.0,4799.2,4799.92,4799.99,4800.0
CXAI,Business Services,Technology Services,0.55,,,,4,5__0,5,3,0.0,6790.0,7255.0,7627.0,7710.7,7719.07,7719.91,7719.99
CXM,Business Services,Technology Services,0.55,,,,6,10__0,10,3,0.0,9420.0,10710.0,11742.0,11974.2,11997.42,11999.74,11999.97
