security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
MTG,Finance,Insurance - Multi line,0__0,0,0.0,1. p999999_trade_value,10980.0,10980.0,O:MTG250516C00025000,MTG,C,25.0,2025-05-16,209,0,319,0.6,1744821727259000000,183,10980.0,2025-04-16,3000,30,True,Automatic Execution,Finance,Insurance - Multi line,24.3,24.5,23.63,23.84,1,4.040602340114073,20,1,1,1,1,0
SIGI,Finance,Insurance - Property and Casualty,0__2,0,2.0,1. p999999_trade_value,3300.0,3300.0,O:SIGI241115C00100000,SIGI,C,100.0,2024-11-15,209,0,308,3.3,1729524843595000000,10,3300.0,2024-10-21,3000,30,True,Automatic Execution,Finance,Insurance - Property and Casualty,98.44,98.94,96.94,96.97,1,3.5185139398778875,20,1,1,1,0,0
SKWD,Finance,Insurance - Property and Casualty,0__0,0,0.0,1. p999999_trade_value,13500.0,13500.0,O:SKWD250516C00055000,SKWD,C,55.0,2025-05-16,209,0,325,1.8,1746128989503000000,75,13500.0,2025-05-01,3000,30,True,Automatic Execution,Finance,Insurance - Property and Casualty,53.22,53.57,51.695,53.57,1,4.1303337684950066,20,1,1,1,1,0
AFG,Finance,Insurance - Property and Casualty,0__2,0,2.0,1. p999999_trade_value,3750.0,3750.0,O:AFG250117C00131000,AFG,C,131.0,2025-01-17,209,0,308,0.5,1736531803554000000,75,3750.0,2025-01-10,3000,30,True,Automatic Execution,Finance,Insurance - Property and Casualty,129.79,130.8163,127.6,129.86,1,3.574031267727719,20,1,1,1,1,0
CIA,Finance,Insurance - Life Insurance,0__2,0,2.0,1. p999999_trade_value,3240.0,3240.0,O:CIA250221P00005000,CIA,P,5.0,2025-02-21,219,0,301,0.45,1738789146751000000,72,3240.0,2025-02-05,3000,30,True,Intermarket Sweep Order,Finance,Insurance - Life Insurance,5.09,5.25,5.05,5.22,1,3.510545010206612,20,1,1,1,0,0
FAF,Finance,Insurance - Property and Casualty,0__2,0,2.0,1. p999999_trade_value,3960.0,3960.0,O:FAF250221C00065000,FAF,C,65.0,2025-02-21,209,0,323,1.2,1738348658640000000,33,3960.0,2025-01-31,3000,30,True,Automatic Execution,Finance,Insurance - Property and Casualty,63.52,63.95,62.95,63.22,1,3.597695185925512,20,1,1,0,0,0
