security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
MP,Basic Materials,Mining - Miscellaneous,30__2,30,2.0,1. p999999_trade_value,427760.00000000006,427760.00000000006,O:MP250516P00023000,MP,P,23.0,2025-05-16,231,0,323,0.8,1744821001865000000,5347,427760.00000000006,2025-04-16,3000,30,True,Single Leg Floor Trade,Basic Materials,Mining - Miscellaneous,26.07,29.13,25.79,27.58,1,5.631200171092284,20,1,1,1,1,0
RIO,Basic Materials,Mining - Miscellaneous,30__2,30,2.0,1. p999999_trade_value,180000.0,180000.0,O:RIO241220C00065000,RIO,C,65.0,2024-12-20,231,0,323,0.9,1733252353207000000,2000,180000.0,2024-12-03,3000,30,True,Single Leg Floor Trade,Basic Materials,Mining - Miscellaneous,64.02,64.15,63.44,63.51,1,5.2552725051033065,20,1,1,0,0,0
TECK,Basic Materials,Mining - Miscellaneous,30__1,30,1.0,1. p999999_trade_value,335500.0,335500.0,O:TECK250321P00040000,TECK,P,40.0,2025-03-21,235,0,313,1.22,1740409276152000000,2750,335500.0,2025-02-24,3000,30,True,Multi Leg floor trade,Basic Materials,Mining - Miscellaneous,41.25,41.61,40.57,40.86,1,5.525692524505011,20,1,1,0,0,0
VALE,Basic Materials,Mining - Iron,30__2,30,2.0,1. p999999_trade_value,351000.0,351000.0,O:VALE250321C00010000,VALE,C,10.0,2025-03-21,241,0,323,0.13,1741974348066000000,27000,351000.0,2025-03-14,3000,30,True,Stock Options Cross,Basic Materials,Mining - Iron,9.65,9.9,9.62,9.81,1,5.545307116465824,20,1,1,1,1,0
