security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AMCR,Industrial Products,Containers - Paper and Packaging,0.55,11844.000000000002,1. p999999_trade_value,1.0,8,10__0,10,3,0.0,8803.2,10323.6,11539.92,11813.59,11840.96,11843.7,11843.97
ATR,Industrial Products,Containers - Paper and Packaging,0.55,,,,9,10__2,10,3,2.0,174500.0,203500.0,226700.0,231920.0,232442.0,232494.2,232499.42
AVY,Industrial Products,Containers - Paper and Packaging,0.55,,,,26,15__0,15,3,0.0,8109.0,12438.0,16740.0,17658.0,17749.8,17758.98,17759.9
BALL,Industrial Products,Containers - Metal and Glass,0.55,,,,46,15__0,15,3,0.0,18159.0,56570.0,242881.5,263913.15,266016.32,266226.63,266247.66
CCK,Industrial Products,Containers - Metal and Glass,0.55,638820.0000000001,1. p999999_trade_value,1.0,284,25__2,25,2,2.0,18094.2,38557.65,431024.5,632554.38,638193.44,638757.34,638813.73
GEF,Industrial Products,Containers - Paper and Packaging,0.55,8000.0,8. p75_trade_value,2.0,5,5__0,5,3,0.0,10400.0,11200.0,11840.0,11984.0,11998.4,11999.84,11999.98
PACK,Industrial Products,Containers - Paper and Packaging,0.55,,,,23,15__0,15,3,0.0,8600.0,9596.0,9931.8,9993.18,9999.32,9999.93,9999.99
PKG,Industrial Products,Containers - Paper and Packaging,0.55,46284.0,1. p999999_trade_value,1.0,155,20__0,20,2,0.0,12836.0,14861.0,43260.6,46201.76,46275.78,46283.18,46283.92
SEE,Industrial Products,Containers - Paper and Packaging,0.55,95355.0,8. p75_trade_value,2.0,7,10__2,10,3,2.0,117213.0,133606.5,146721.3,149672.13,149967.21,149996.72,149999.67
SLGN,Industrial Products,Containers - Metal and Glass,0.55,4100.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,4100.0,4100.0,4100.0,4100.0,4100.0,4100.0,4100.0
SON,Industrial Products,Containers - Paper and Packaging,0.55,,,,1,0__2,0,3,2.0,3168.0,3168.0,3168.0,3168.0,3168.0,3168.0,3168.0
UFPT,Industrial Products,Containers - Paper and Packaging,0.55,,,,24,15__0,15,3,0.0,18900.0,23294.5,36336.1,39633.61,39963.36,39996.34,39999.63
