security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ASTH,Medical,Medical - Outpatient and Home Healthcare,0.55,940320.0000000001,6. p95_trade_value,2.0,23,15__2,15,3,2.0,373171.0,891248.0,1358166.0,1464234.6,1474841.46,1475902.15,1476008.21
ATAI,Medical,Medical - Outpatient and Home Healthcare,0.55,7950.0,8. p75_trade_value,5.0,19,15__0,15,3,0.0,22533.6,36868.2,65669.64,72149.96,72798.0,72862.8,72869.28
ATHA,Medical,Medical - Biomedical and Genetics,0.55,5100.0,8. p75_trade_value,3.0,11,10__0,10,3,0.0,5625.0,10282.5,14008.5,14846.85,14930.69,14939.07,14939.91
ATRC,Medical,Medical - Products,0.55,5200.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0
ATXS,Medical,Medical - Biomedical and Genetics,0.55,5100.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0
ATYR,Medical,Medical - Biomedical and Genetics,0.55,,,,8,10__0,10,3,0.0,13062.5,14331.25,15346.25,15574.63,15597.46,15599.75,15599.97
AUPH,Medical,Medical - Drugs,0.55,,,,28,15__0,15,3,0.0,10545.0,11852.5,12500.0,12500.0,12500.0,12500.0,12500.0
AURA,Medical,Medical - Biomedical and Genetics,0.55,,,,6,10__0,10,3,0.0,8557.5,9528.75,10305.75,10480.58,10498.06,10499.81,10499.98
AUTL,Medical,Medical - Biomedical and Genetics,0.55,8070.0,1. p999999_trade_value,1.0,4,5__0,5,3,0.0,7713.0,7891.5,8034.3,8066.43,8069.64,8069.96,8070.0
AVNS,Medical,Medical - Instruments,0.55,6500.0,1. p999999_trade_value,1.0,3,5__0,5,3,0.0,6380.0,6440.0,6488.0,6498.8,6499.88,6499.99,6500.0
AXGN,Medical,Medical - Instruments,0.55,,,,11,10__0,10,3,0.0,9320.0,10460.0,11372.0,11577.2,11597.72,11599.77,11599.98
