security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ACGL,Finance,Insurance - Property and Casualty,0.55,,,,127,20__0,20,2,0.0,8505.0,13828.5,30421.3,50601.15,53093.12,53342.31,53367.23
AFL,Finance,Insurance - Accident and Health,0.55,136375.0,5. p99_trade_value,3.0,203,25__0,25,2,0.0,14676.0,31639.9,135297.5,175555.95,181378.1,181960.31,182018.53
AIG,Finance,Insurance - Multi line,0.55,,,,758,30__2,30,2,2.0,13786.0,21462.75,38466.75,143611.77,201106.68,206856.17,207431.12
AJG,Finance,Insurance - Brokerage,0.55,,,,642,30__2,30,2,2.0,10029.8,14865.6,39356.55,101275.75,103727.58,103972.76,103997.28
ALL,Finance,Insurance - Property and Casualty,0.55,,,,531,25__0,25,2,0.0,19000.0,27775.0,77802.5,253900.0,287290.0,290629.0,290962.9
AON,Finance,Insurance - Brokerage,0.55,520000.0,1. p999999_trade_value,1.0,451,25__0,25,2,0.0,15808.0,20250.0,190000.0,502000.0,518200.0,519820.0,519982.0
BHF,Finance,Insurance - Life Insurance,0.55,,,,312,25__0,25,2,0.0,21937.5,28420.5,74278.4,657013.0,857701.3,877770.13,879777.01
BWIN,Finance,Insurance - Life Insurance,0.55,,,,141,20__0,20,2,0.0,20352.0,25800.0,44320.0,57911.96,59598.6,59767.26,59784.13
CB,Finance,Insurance - Property and Casualty,0.55,57000.0,1. p999999_trade_value,1.0,585,30__2,30,2,2.0,16444.0,21500.0,35884.8,54664.0,56766.4,56976.64,56997.66
CRBG,Finance,Insurance - Multi line,0.55,,,,206,25__0,25,2,0.0,14747.5,24600.0,59625.0,356040.0,413604.0,419360.4,419936.04
EG,Finance,Insurance - Multi line,0.55,660000.0000000001,1. p999999_trade_value,1.0,224,25__0,25,2,0.0,14023.0,23991.0,52385.0,546270.0,648627.0,658862.7,659886.27
ERIE,Finance,Insurance - Brokerage,0.55,,,,118,20__0,20,2,0.0,8820.0,10146.5,23139.6,33147.0,34094.7,34189.47,34198.95
ETOR,Finance,Insurance - Brokerage,0.55,117000.0,1. p999999_trade_value,1.0,266,25__0,25,2,0.0,19355.0,36324.75,81903.7,116969.0,116996.9,116999.69,116999.97
GL,Finance,Insurance - Accident and Health,0.55,,,,232,25__0,25,2,0.0,21271.5,33360.0,61209.5,101597.29,107503.73,108094.37,108153.44
HIG,Finance,Insurance - Property and Casualty,0.55,6600.0,8. p75_trade_value,27.0,102,20__0,20,2,0.0,10287.0,16417.5,23095.8,33888.0,34978.8,35087.88,35098.79
JXN,Finance,Insurance - Life Insurance,0.55,10000.0,8. p75_trade_value,28.0,109,20__0,20,2,0.0,20200.0,26400.0,33554.0,47463.8,48936.38,49083.64,49098.36
KNSL,Finance,Insurance - Property and Casualty,0.55,,,,124,20__0,20,2,0.0,15984.0,27500.0,48651.4,63876.16,65774.12,65963.91,65982.89
LMND,Finance,Insurance - Multi line,0.55,,,,3527,35__0,35,2,0.0,16670.0,24150.0,59124.2,142350.09,177791.58,188779.16,189877.92
LNC,Finance,Insurance - Life Insurance,0.55,,,,202,25__0,25,2,0.0,12960.0,19237.5,39785.76,96981.63,108698.16,109869.82,109986.98
MCY,Finance,Insurance - Property and Casualty,0.55,,,,317,25__0,25,2,0.0,14464.0,27219.0,132025.6,360396.9,403689.69,408018.97,408451.9
MET,Finance,Insurance - Multi line,0.55,,,,214,25__0,25,2,0.0,15540.0,25567.5,38056.06,61414.15,64641.41,64964.14,64996.41
MMC,Finance,Insurance - Brokerage,0.55,6959.999999999999,8. p75_trade_value,28.0,112,20__0,20,2,0.0,11712.0,14608.5,65751.12,77246.09,77924.61,77992.46,77999.25
OSCR,Finance,Insurance - Multi line,0.55,,,,1052,30__0,30,2,0.0,17637.5,33558.25,173987.5,515760.0,700324.18,719832.42,721783.24
PGR,Finance,Insurance - Property and Casualty,0.55,176000.00000000003,4. p999_trade_value,2.0,1435,30__2,30,2,2.0,12824.0,21148.8,43468.6,159351.76,367664.25,396541.43,399429.14
PRU,Finance,Insurance - Multi line,0.55,,,,240,25__0,25,2,0.0,15459.0,22715.45,46015.86,69219.61,71260.26,71464.33,71484.73
ROOT,Finance,Insurance - Property and Casualty,0.55,158400.0,1. p999999_trade_value,1.0,2739,35__0,35,2,0.0,15192.0,22100.0,46518.6,102800.98,146079.0,157167.9,158276.79
TRUP,Finance,Insurance - Accident and Health,0.55,,,,137,20__0,20,2,0.0,13884.0,30624.0,80260.0,206368.0,223136.8,224813.68,224981.37
TRV,Finance,Insurance - Property and Casualty,0.55,17280.0,6. p95_trade_value,16.0,310,25__0,25,2,0.0,11540.5,17154.0,53968.9,144482.0,172848.2,175684.82,175968.48
UNM,Finance,Insurance - Accident and Health,0.55,12475.0,8. p75_trade_value,15.0,58,20__3,20,2,3.0,35160.5,46009.95,150890.3,205889.03,211388.9,211938.89,211993.89
WTW,Finance,Insurance - Brokerage,0.55,36946.0,6. p95_trade_value,13.0,256,25__0,25,2,0.0,15409.5,35861.5,163253.95,239328.2,259067.72,261041.67,261239.07
