min_data_date,max_data_date,security,option_ticker,expiration,option_type,strike_price,last_9_count,last_9_avg_volume,last_9_median_volume,last_9_std_volume,last_21_count,last_21_avg_volume,last_21_median_volume,last_21_std_volume,last_50_count,last_50_avg_volume,last_50_median_volume,last_50_std_volume,last_100_count,last_100_avg_volume,last_100_median_volume,last_100_std_volume
2025-04-09,2025-05-13,AMAL,O:AMAL250516C00025000,2025-05-16,C,25.0,2,20.5,20.5,14.849,2,20.5,20.5,14.849,2,20.5,20.5,14.849,2,20.5,20.5,14.849
2025-04-09,2025-05-13,AMAL,O:AMAL250516C00030000,2025-05-16,C,30.0,1,15.0,15.0,0.0,1,15.0,15.0,0.0,1,15.0,15.0,0.0,1,15.0,15.0,0.0
2025-04-09,2025-05-13,AMAL,O:AMAL250516C00045000,2025-05-16,C,45.0,1,11.0,11.0,0.0,1,11.0,11.0,0.0,1,11.0,11.0,0.0,1,11.0,11.0,0.0
2025-01-14,2025-06-05,ASB,O:ASB250221C00025000,2025-02-21,C,25.0,1,20.0,20.0,0.0,1,20.0,20.0,0.0,1,20.0,20.0,0.0,1,20.0,20.0,0.0
2025-01-14,2025-06-05,ASB,O:ASB250221C00030000,2025-02-21,C,30.0,1,57.0,57.0,0.0,2,36.0,36.0,29.698,2,36.0,36.0,29.698,2,36.0,36.0,29.698
2025-01-14,2025-06-05,ASB,O:ASB250221P00020000,2025-02-21,P,20.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0
2025-01-14,2025-06-05,ASB,O:ASB250221P00022500,2025-02-21,P,22.5,1,40.0,40.0,0.0,1,40.0,40.0,0.0,1,40.0,40.0,0.0,1,40.0,40.0,0.0
2025-01-14,2025-06-05,ASB,O:ASB250221P00025000,2025-02-21,P,25.0,1,16.0,16.0,0.0,1,16.0,16.0,0.0,1,16.0,16.0,0.0,1,16.0,16.0,0.0
2025-01-14,2025-06-05,ASB,O:ASB250321C00025000,2025-03-21,C,25.0,1,180.0,180.0,0.0,1,180.0,180.0,0.0,1,180.0,180.0,0.0,1,180.0,180.0,0.0
2025-01-14,2025-06-05,ASB,O:ASB250417C00022500,2025-04-17,C,22.5,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0
2025-01-14,2025-06-05,ASB,O:ASB250417P00022500,2025-04-17,P,22.5,1,40.0,40.0,0.0,2,40.0,40.0,0.0,2,40.0,40.0,0.0,2,40.0,40.0,0.0
2025-01-14,2025-06-05,ASB,O:ASB250516C00020000,2025-05-16,C,20.0,1,26.0,26.0,0.0,1,26.0,26.0,0.0,1,26.0,26.0,0.0,1,26.0,26.0,0.0
2025-01-14,2025-06-05,ASB,O:ASB250516C00022500,2025-05-16,C,22.5,2,96.0,96.0,118.794,2,96.0,96.0,118.794,2,96.0,96.0,118.794,2,96.0,96.0,118.794
2025-01-14,2025-06-05,ASB,O:ASB250516P00017500,2025-05-16,P,17.5,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0
2025-01-14,2025-06-05,ASB,O:ASB250516P00020000,2025-05-16,P,20.0,2,23.5,23.5,4.95,2,23.5,23.5,4.95,2,23.5,23.5,4.95,2,23.5,23.5,4.95
2025-01-14,2025-06-05,ASB,O:ASB250620C00022500,2025-06-20,C,22.5,1,32.0,32.0,0.0,1,32.0,32.0,0.0,1,32.0,32.0,0.0,1,32.0,32.0,0.0
2025-01-14,2025-06-05,ASB,O:ASB250620C00025000,2025-06-20,C,25.0,2,13.0,13.0,1.414,2,13.0,13.0,1.414,2,13.0,13.0,1.414,2,13.0,13.0,1.414
2025-01-14,2025-06-05,ASB,O:ASB250620P00022500,2025-06-20,P,22.5,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0
2025-06-04,2025-06-04,AUB,O:AUB250620C00030000,2025-06-20,C,30.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0
2025-01-14,2025-06-06,AX,O:AX250117C00065000,2025-01-17,C,65.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0
2025-01-14,2025-06-06,AX,O:AX250117C00070000,2025-01-17,C,70.0,3,53.33,45.0,43.108,3,53.33,45.0,43.108,3,53.33,45.0,43.108,3,53.33,45.0,43.108
2025-01-14,2025-06-06,AX,O:AX250117C00072500,2025-01-17,C,72.5,2,36.5,36.5,30.406,2,36.5,36.5,30.406,2,36.5,36.5,30.406,2,36.5,36.5,30.406
2025-01-14,2025-06-06,AX,O:AX250117C00077500,2025-01-17,C,77.5,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0
2025-01-14,2025-06-06,AX,O:AX250117P00062500,2025-01-17,P,62.5,1,50.0,50.0,0.0,1,50.0,50.0,0.0,1,50.0,50.0,0.0,1,50.0,50.0,0.0
2025-01-14,2025-06-06,AX,O:AX250117P00065000,2025-01-17,P,65.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0
2025-01-14,2025-06-06,AX,O:AX250117P00067500,2025-01-17,P,67.5,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0
2025-01-14,2025-06-06,AX,O:AX250117P00070000,2025-01-17,P,70.0,2,33.0,33.0,25.456,2,33.0,33.0,25.456,2,33.0,33.0,25.456,2,33.0,33.0,25.456
2025-01-14,2025-06-06,AX,O:AX250117P00072500,2025-01-17,P,72.5,1,19.0,19.0,0.0,1,19.0,19.0,0.0,1,19.0,19.0,0.0,1,19.0,19.0,0.0
2025-01-14,2025-06-06,AX,O:AX250221C00062500,2025-02-21,C,62.5,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0
