max_data_date,security,option_ticker,expiration,option_type,strike_price,last_9_count,last_9_avg_volume,last_9_median_volume,last_9_std_volume,last_21_count,last_21_avg_volume,last_21_median_volume,last_21_std_volume,last_50_count,last_50_avg_volume,last_50_median_volume,last_50_std_volume,anomaly_category,anomaly_volume
2025-06-04,ONB,O:ONB250620C00025000,2025-06-20,C,25.0,0,0.0,0.0,0.0,1,16.0,16.0,0.0,2,258.0,258.0,342.24,50,444.381
2025-06-04,ONB,O:ONB250620P00020000,2025-06-20,P,20.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,186.0,23.5,398.779,50,444.381
2025-05-29,PFSI,O:PFSI250620C00100000,2025-06-20,C,100.0,2,10.0,10.0,0.0,2,10.0,10.0,0.0,3,33.33,10.0,40.415,50,50.415
2025-05-29,PFSI,O:PFSI250620P00100000,2025-06-20,P,100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,80.0,80.0,0.0,50,50.415
2025-06-06,SNV,O:SNV250620C00045000,2025-06-20,C,45.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,18.0,18.0,0.0,50,1416.563
2025-06-06,SNV,O:SNV250620C00047000,2025-06-20,C,47.0,1,55.0,55.0,0.0,1,55.0,55.0,0.0,3,58.0,55.0,39.585,50,1416.563
2025-06-06,SNV,O:SNV250620C00048000,2025-06-20,C,48.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,162.0,162.0,1.414,50,1416.563
2025-06-06,SNV,O:SNV250620C00049000,2025-06-20,C,49.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,146.0,146.0,0.0,50,1416.563
2025-06-06,SNV,O:SNV250620C00050000,2025-06-20,C,50.0,0,0.0,0.0,0.0,1,20.0,20.0,0.0,1,20.0,20.0,0.0,50,1416.563
2025-06-06,SNV,O:SNV250620C00052500,2025-06-20,C,52.5,0,0.0,0.0,0.0,1,16.0,16.0,0.0,1,16.0,16.0,0.0,50,1416.563
2025-06-06,SNV,O:SNV250620C00055000,2025-06-20,C,55.0,0,0.0,0.0,0.0,1,1202.0,1202.0,0.0,2,684.0,684.0,732.563,50,1416.563
2025-06-06,SNV,O:SNV250620P00038000,2025-06-20,P,38.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,18.0,18.0,0.0,50,1416.563
