min_data_date,max_data_date,security,option_ticker,expiration,option_type,strike_price,last_9_count,last_9_avg_volume,last_9_median_volume,last_9_std_volume,last_21_count,last_21_avg_volume,last_21_median_volume,last_21_std_volume,last_50_count,last_50_avg_volume,last_50_median_volume,last_50_std_volume,last_100_count,last_100_avg_volume,last_100_median_volume,last_100_std_volume,anomaly_category,anomaly_volume
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417C01840000,2025-04-17,C,1840.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417C01860000,2025-04-17,C,1860.0,1,18.0,18.0,0.0,1,18.0,18.0,0.0,1,18.0,18.0,0.0,1,18.0,18.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417C01880000,2025-04-17,C,1880.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417C01920000,2025-04-17,C,1920.0,2,12.5,12.5,3.536,2,12.5,12.5,3.536,2,12.5,12.5,3.536,2,12.5,12.5,3.536,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417C02100000,2025-04-17,C,2100.0,1,10.0,10.0,0.0,2,25.0,25.0,21.213,2,25.0,25.0,21.213,2,25.0,25.0,21.213,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417C02320000,2025-04-17,C,2320.0,1,120.0,120.0,0.0,1,120.0,120.0,0.0,1,120.0,120.0,0.0,1,120.0,120.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417C02420000,2025-04-17,C,2420.0,1,13.0,13.0,0.0,1,13.0,13.0,0.0,1,13.0,13.0,0.0,1,13.0,13.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417P01320000,2025-04-17,P,1320.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417P01400000,2025-04-17,P,1400.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417P01480000,2025-04-17,P,1480.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417P01500000,2025-04-17,P,1500.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417P01550000,2025-04-17,P,1550.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417P01570000,2025-04-17,P,1570.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417P01580000,2025-04-17,P,1580.0,2,16.0,16.0,5.657,2,16.0,16.0,5.657,2,16.0,16.0,5.657,2,16.0,16.0,5.657,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417P01600000,2025-04-17,P,1600.0,1,11.0,11.0,0.0,1,11.0,11.0,0.0,1,11.0,11.0,0.0,1,11.0,11.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417P01620000,2025-04-17,P,1620.0,1,14.0,14.0,0.0,1,14.0,14.0,0.0,2,32.0,32.0,25.456,2,32.0,32.0,25.456,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417P01820000,2025-04-17,P,1820.0,1,33.0,33.0,0.0,1,33.0,33.0,0.0,1,33.0,33.0,0.0,1,33.0,33.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417P01860000,2025-04-17,P,1860.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417P01880000,2025-04-17,P,1880.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250417P01980000,2025-04-17,P,1980.0,1,19.0,19.0,0.0,1,19.0,19.0,0.0,1,19.0,19.0,0.0,1,19.0,19.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250516C01600000,2025-05-16,C,1600.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250516C01700000,2025-05-16,C,1700.0,2,16.5,16.5,7.778,3,14.33,11.0,6.658,3,14.33,11.0,6.658,3,14.33,11.0,6.658,21,118.64
