security,min_date_from_expiration,max_date_from_expiration,qualifying_trades,q1_size,q3_size,iqr_size,trad_iqr_size,q1_trade_value,q3_trade_value,iqr_trade_value,trad_iqr_trade_value,n_range,n_size,n_trade_value,custom_k
ABBV,1,30,1000,60.0,200.0,140.0,410.0,15000.0,30003.5,15003.5,52508.75,0.985,2890.66,234542.74,13.63
AMGN,1,30,1000,34.0,125.0,91.0,261.5,18000.0,35095.0,17095.0,60737.5,0.985,1037.99,231306.25,11.48
BMY,1,30,469,150.0,488.0,338.0,995.0,12096.0,27805.0,15709.0,51368.5,0.985,4000.0,214700.0,11.9
BNTX,1,30,310,50.0,129.5,79.5,248.75,12690.0,25855.0,13165.0,45602.5,0.985,400.0,102920.0,5.85
GSK,3,30,90,290.5,1944.0,1653.5,4424.25,13027.5,39440.0,26412.5,79058.75,0.985,6895.25,289825.0,9.48
LLY,1,30,1000,50.0,177.5,127.5,368.75,74895.0,140760.0,65865.0,239557.5,0.985,850.0,671084.63,8.05
MRK,1,30,1000,100.0,341.0,241.0,702.5,12478.75,28667.0,16188.25,52949.375,0.985,6003.0,513329.44,29.94
MRNA,1,30,1000,177.0,1506.0,1329.0,3499.5,24000.0,66397.5,42397.5,129993.75,0.985,22400.0,1137852.75,25.27
NVAX,1,29,138,240.0,980.75,740.75,2091.875,11857.5,30431.25,18573.75,58291.875,0.985,8000.0,371600.0,18.37
NVS,3,30,107,100.5,269.0,168.5,521.75,12137.5,39000.0,26862.5,79293.75,0.985,1210.74,110616.6,2.67
PFE,1,30,1000,445.0,1313.5,868.5,2616.25,14085.0,29959.0,15874.0,53770.0,0.985,12938.25,292516.83,16.54
SNY,3,30,68,198.75,501.25,302.5,955.0,13125.0,31640.0,18515.0,59412.5,0.985,2050.24,88333.7,3.06
