security,min_date_from_expiration,max_date_from_expiration,qualifying_trades,q1_size,q3_size,iqr_size,trad_k_size_threshold,p90_size,p95_size,p97_size,p98_size,p99_size,trad_k_size,p90_k_size,p95_k_size,p97_k_size,p98_k_size,p99_k_size,q1_trade_value,q3_trade_value,iqr_trade_value,trad_k_trade_value_threshold,p90_trade_value,p95_trade_value,p97_trade_value,p98_trade_value,p99_trade_value,trad_k_trade_value,p90_k_trade_value,p95_k_trade_value,p97_k_trade_value,p98_k_trade_value,p99_k_trade_value,large_trade_size_filter,large_trade_value_filter
ABBV,0,29,500,108.75,426.0,317.25,901.875,1065.1,2880.0,3021.93,5000.0,5000.0,1.500,2.0144996059889673,7.735224586288416,8.182600472813238,14.41765169424744,14.41765169424744,71745.0,174633.0,102888.0,328965.0,427526.25,858551.5,1339014.0,1468800.0,1483200.0,1.500,2.4579469909027294,6.647213474846435,11.31697574061115,12.578405644973175,12.718363657569396,1065.1,1000000.0
AMGN,0,29,500,60.0,396.0,336.0,900.0,999.1,1159.9,1598.03,1600.0,1741.78,1.500,1.7949404761904764,2.273511904761905,3.577470238095238,3.5833333333333335,4.005297619047619,53950.0,148713.0,94763.0,290857.5,462665.7,850250.0,1546304.0,1879800.0,2404622.9,1.500,3.313030402161181,7.40306870825111,14.748277281217353,18.267541128921625,23.805809229340564,999.1,1000000.0
BMY,0,29,500,114.75,424.25,309.5,888.5,1241.0,2000.0,3015.0,4003.94,4526.79,1.500,2.638933764135703,5.091276252019386,8.37075928917609,11.566042003231018,13.255379644588045,22772.75,48697.5,25924.75,87584.625,137792.7,246122.2,345236.16,463452.0,805480.0,1.500,3.436685021070599,7.615298122450555,11.438438557748869,15.998399213107167,29.191506186173445,1241.0,345236.16
BNTX,0,29,500,22.0,80.0,58.0,167.0,143.0,249.05,294.12,300.5,463.37,1.500,1.0862068965517242,2.9146551724137932,3.6917241379310344,3.8017241379310347,6.6098275862068965,8544.0,18667.5,10123.5,33852.75,38275.0,69335.9,187366.0,214050.0,270074.0,1.500,1.9368301476761989,5.005027905368696,16.664048994912825,19.299896280930508,24.833950708746976,167.0,187366.0
GSK,0,29,500,69.75,362.75,293.0,802.25,1320.0,2300.0,2700.0,2702.0,4000.0,1.500,3.2670648464163823,6.611774744027303,7.976962457337884,7.983788395904437,12.41382252559727,5235.0,20850.0,15615.0,44272.5,115440.0,151740.0,315000.0,364654.0,553635.0,1.500,6.057636887608069,8.382324687800192,18.83765609990394,22.017547230227347,34.12007684918348,1320.0,315000.0
LLY,0,29,500,91.5,200.0,108.5,362.75,400.0,500.0,600.0,692.0,850.88,1.500,1.8433179723502304,2.7649769585253456,3.686635944700461,4.534562211981567,5.99889400921659,201725.0,419730.0,218005.0,746737.5,740200.0,1016686.0,1273545.36,1440323.2,1984084.2,1.500,1.4700121556845027,2.738267470929566,3.916494392330452,4.681512809339235,7.1757721153184555,400.0,1000000.0
MRK,0,29,500,176.75,600.0,423.25,1234.875,2000.0,3518.65,5016.2,7060.0,11009.0,1.500,3.307737743650325,6.895806261075015,10.43402244536326,15.262847017129356,24.593030124040165,42190.0,99324.25,57134.25,185025.625,299380.0,943290.0,1069821.0,1556869.6,1986676.0,1.500,3.5015030388952337,14.771625601106166,16.986251679159174,25.510886202234214,33.03363131571693,2000.0,1000000.0
MRNA,0,29,500,298.5,9640.0,9341.5,23652.25,15000.0,17899.25,22538.0,25190.0,25390.0,1.500,0.5737836535888241,0.8841460150939356,1.380720441042659,1.6646148905422042,1.6860247283626826,45150.0,199221.0,154071.0,430327.5,710726.8,1232268.0,1730882.6,2045477.3,3460315.75,1.500,3.319935614099993,6.7050061335358375,9.941271232094294,11.98315257251527,21.166181500736673,23652.25,1000000.0
NVAX,0,29,500,100.0,300.0,200.0,600.0,530.4,751.65,898.06,929.32,1001.12,1.500,1.152,2.25825,2.9902999999999995,3.1466000000000003,3.5056,5519.0,9969.0,4450.0,16644.0,17685.0,24476.3,41731.26,50275.0,109314.44,1.500,1.733932584269663,3.260067415730337,7.137586516853933,9.05752808988764,22.32481797752809,600.0,41731.26
NVS,0,29,500,26.75,98.0,71.25,204.875,241.0,295.05,475.75,643.06,936.56,1.500,2.007017543859649,2.7656140350877196,5.301754385964912,7.649964912280701,11.769263157894736,6480.0,13780.0,7300.0,24730.0,39636.0,67230.5,90000.6,103582.8,120995.1,1.500,3.541917808219178,7.321986301369863,10.441178082191781,12.301753424657536,14.687000000000001,241.0,90000.6
PFE,0,29,500,492.5,1889.75,1397.25,3985.625,4586.5,9000.0,10000.0,11950.28,16683.3,1.500,1.9300411522633745,5.0887457505814995,5.804437287529075,7.200236178207193,10.587618536410806,41387.25,85500.0,44112.75,151669.125,229781.5,458700.0,458979.0,531291.92,707249.07,1.500,3.2707437192195,8.460139075437374,8.4664637774793,10.105738590316859,14.094543414318988,4586.5,458979.0
SNY,0,29,236,23.0,132.0,109.0,295.5,443.5,680.5,1000.0,1512.3,2033.15,1.500,2.8577981651376145,5.032110091743119,7.963302752293578,12.663302752293578,17.441743119266057,3896.25,12402.0,8505.75,25160.625,30252.5,52343.75,75920.0,159000.0,266485.75,1.500,2.09863915586515,4.695852805455133,7.467654233900596,17.235164447579578,29.87199835405461,443.5,75920.0
