security,option_ticker,trade_date,option_type,expiration,option_condition_name,option_strike_price,option_size,security_iqr_size,n_range,security_n_size,option_price,option_trade_value,option_trade_value_bin,security_iqr_trade_value,security_n_trade_value,stock_min_date,stock_max_date,highest_price_in_period,lowest_price_in_period,expiration_high,expiration_low,expiration_close,itm_otm_category
ABBV,O:ABBV240920P00195000,2024-08-26,P,2024-09-20,Single Leg Auction Non ISO,195.0,650,410.0,0.985,2890.66,2.75,178750.0,2,52508.75,234542.74,2024-08-27,2024-09-20,199.95,191.27,193.821,192.13,193.47,1P. Option Close ITM
ABBV,O:ABBV240920C00195000,2024-09-13,C,2024-09-20,Multi Leg floor trade,195.0,750,410.0,0.985,2890.66,1.73,129750.0,2,52508.75,234542.74,2024-09-16,2024-09-20,196.16,191.7776,193.821,192.13,193.47,3C. Option Temp ITM
ABBV,O:ABBV240920C00200000,2024-09-09,C,2024-09-20,Single Leg Floor Trade,200.0,372,410.0,0.985,2890.66,1.06,39432.0,8,52508.75,234542.74,2024-09-10,2024-09-20,199.47,191.27,193.821,192.13,193.47,4C. Option Stay OTM
ABBV,O:ABBV240920P00185000,2024-09-10,P,2024-09-20,Single Leg Cross Non ISO,185.0,2500,410.0,0.985,2890.66,0.28,70000.0,4,52508.75,234542.74,2024-09-11,2024-09-20,197.68,191.27,193.821,192.13,193.47,4P. Option Stay OTM
ABBV,O:ABBV241004C00200000,2024-09-30,C,2024-10-04,Automatic Execution,200.0,902,410.0,0.985,2890.66,0.59,45100.0,6,52508.75,234542.74,2024-10-01,2024-10-04,198.97,193.045,195.64,193.045,194.29,4C. Option Stay OTM
ABBV,O:ABBV241004C00200000,2024-10-01,C,2024-10-04,Automatic Execution,200.0,399,410.0,0.985,2890.66,0.8,31920.0,10,52508.75,234542.74,2024-10-02,2024-10-04,197.05,193.045,195.64,193.045,194.29,4C. Option Stay OTM
ABBV,O:ABBV241018P00190000,2024-09-23,P,2024-10-18,Single Leg Floor Trade,190.0,772,410.0,0.985,2890.66,2.7,208440.0,1,52508.75,234542.74,2024-09-24,2024-10-18,198.97,188.164,189.69,188.164,188.86,1P. Option Close ITM
ABBV,O:ABBV241018P00190000,2024-10-04,P,2024-10-18,Automatic Execution,190.0,166,410.0,0.985,2890.66,2.04,33864.0,9,52508.75,234542.74,2024-10-07,2024-10-18,196.34,188.164,189.69,188.164,188.86,1P. Option Close ITM
ABBV,O:ABBV241018C00195000,2024-09-20,C,2024-10-18,Single Leg Auction Non ISO,195.0,686,410.0,0.985,2890.66,2.79,191394.0,1,52508.75,234542.74,2024-09-23,2024-10-18,198.97,188.164,189.69,188.164,188.86,3C. Option Temp ITM
ABBV,O:ABBV241018C00195000,2024-09-23,C,2024-10-18,Single Leg Floor Trade,195.0,802,410.0,0.985,2890.66,2.87,230174.0,1,52508.75,234542.74,2024-09-24,2024-10-18,198.97,188.164,189.69,188.164,188.86,3C. Option Temp ITM
ABBV,O:ABBV241018C00207500,2024-09-26,C,2024-10-18,Single Leg Floor Trade,207.5,5018,410.0,0.985,2890.66,0.15,75270.0,3,52508.75,234542.74,2024-09-27,2024-10-18,198.97,188.164,189.69,188.164,188.86,4C. Option Stay OTM
ABBV,O:ABBV241025C00200000,2024-09-30,C,2024-10-25,Automatic Execution,200.0,250,410.0,0.985,2890.66,2.79,69750.0,4,52508.75,234542.74,2024-10-01,2024-10-25,198.97,185.89,189.88,187.17,187.85,4C. Option Stay OTM
