security,option_trade_value_bin,itm,otm,cnt,itm_1,itm_2,itm_3,itm_pct,min_trade_value,med_trade_value,stddev_trade_value
ABBV,1,16.0,4.0,20.0,8.0,0.0,8.0,0.8,188700.0,272500.0,343085.87
ABBV,2,12.0,8.0,20.0,6.0,0.0,6.0,0.6,116000.0,142453.5,22820.21
ABBV,3,13.0,7.0,20.0,5.0,2.0,6.0,0.65,71500.0,83752.5,11739.92
ABBV,4,11.0,9.0,20.0,8.0,0.0,3.0,0.55,56592.0,63198.5,4045.69
ABBV,5,11.0,8.0,19.0,5.0,1.0,5.0,0.58,49525.0,52865.0,1950.29
ABBV,6,11.0,8.0,19.0,10.0,0.0,1.0,0.58,44038.0,45969.0,1701.89
ABBV,7,15.0,4.0,19.0,9.0,1.0,5.0,0.79,39785.0,41000.0,1379.15
ABBV,8,7.0,12.0,19.0,4.0,0.0,3.0,0.37,36630.0,37940.0,1090.02
ABBV,9,12.0,7.0,19.0,6.0,4.0,2.0,0.63,33264.0,35310.0,1208.96
ABBV,10,10.0,9.0,19.0,7.0,0.0,3.0,0.53,30400.0,31350.0,805.35
AMGN,1,8.0,10.0,18.0,5.0,2.0,1.0,0.44,226870.0,388750.0,279160.86
AMGN,2,10.0,8.0,18.0,8.0,1.0,1.0,0.56,168399.0,209375.0,19892.08
AMGN,3,9.0,9.0,18.0,4.0,3.0,2.0,0.5,115000.0,133936.0,15451.84
AMGN,4,6.0,12.0,18.0,3.0,1.0,2.0,0.33,82500.0,100390.0,10956.17
AMGN,5,10.0,7.0,17.0,6.0,3.0,1.0,0.59,59202.0,68700.0,7123.82
AMGN,6,14.0,3.0,17.0,6.0,2.0,6.0,0.82,53955.0,56115.0,1662.18
AMGN,7,10.0,7.0,17.0,8.0,0.0,2.0,0.59,47625.0,50700.0,1993.73
AMGN,8,11.0,6.0,17.0,6.0,2.0,3.0,0.65,42800.0,44500.0,1675.91
AMGN,9,11.0,6.0,17.0,6.0,2.0,3.0,0.65,38626.0,40920.0,1306.06
AMGN,10,7.0,10.0,17.0,4.0,1.0,2.0,0.41,35380.0,37060.0,1047.65
BMY,1,8.0,1.0,9.0,7.0,0.0,1.0,0.89,200000.0,260000.0,176420.26
BMY,2,7.0,2.0,9.0,4.0,2.0,1.0,0.78,122500.0,159443.0,23669.84
BMY,3,6.0,3.0,9.0,6.0,0.0,0.0,0.67,80348.0,92000.0,13135.9
