security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ARHS,Retail-Wholesale,Retail - Miscellaneous,0.55,,,,11,10__0,10,3,0.0,10000.0,11237.5,12227.5,12450.25,12472.53,12474.75,12474.98
BGFV,Retail-Wholesale,Retail - Miscellaneous,0.55,,,,1,0__2,0,3,2.0,7640.0,7640.0,7640.0,7640.0,7640.0,7640.0,7640.0
BIRD,Retail-Wholesale,Retail - Apparel and Shoes,0.55,,,,2,5__0,5,3,0.0,11675.0,12012.5,12282.5,12343.25,12349.33,12349.93,12349.99
BJRI,Retail-Wholesale,Retail - Restaurants,0.55,,,,11,10__0,10,3,0.0,23400.0,27237.5,30307.5,30998.25,31067.33,31074.23,31074.92
BKE,Retail-Wholesale,Retail - Apparel and Shoes,0.55,,,,19,15__0,15,3,0.0,5920.0,6939.0,7939.8,8164.98,8187.5,8189.75,8189.97
BLMN,Retail-Wholesale,Retail - Restaurants,0.55,41580.0,1. p999999_trade_value,1.0,56,15__0,15,3,0.0,12620.0,14991.25,28509.25,40272.93,41449.29,41566.93,41578.69
CATO,Retail-Wholesale,Retail - Apparel and Shoes,0.55,,,,1,0__2,0,3,2.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
CNXN,Retail-Wholesale,Retail - Computer Hardware,0.55,,,,2,5__0,5,3,0.0,10018.0,10369.0,10649.8,10712.98,10719.3,10719.93,10719.99
CTRN,Retail-Wholesale,Retail - Apparel and Shoes,0.55,7500.0,8. p75_trade_value,6.0,22,15__0,15,3,0.0,8270.0,10390.0,11290.0,11479.0,11497.9,11499.79,11499.98
CURV,Retail-Wholesale,Retail - Apparel and Shoes,0.55,25000.0,1. p999999_trade_value,1.0,2,5__3,5,3,3.0,22812.5,23906.25,24781.25,24978.13,24997.81,24999.78,24999.98
