security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
R,Transportation,Transportation - Equipment and Leasing,15__0,15,3,0.0,1. p999999_trade_value,25480.0,25480.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
R,Transportation,Transportation - Equipment and Leasing,15__0,15,3,0.0,6. p95_trade_value,24000.0,24000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
R,Transportation,Transportation - Equipment and Leasing,15__0,15,3,0.0,7. p90_trade_value,12800.0,12800.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
R,Transportation,Transportation - Equipment and Leasing,15__0,15,3,0.0,8. p75_trade_value,11060.0,6374.999999999999,4.0,5.0,0.8,0.55,2. BELOW BASELINE,5.0,8.0,0.625
RAIL,Transportation,Transportation - Equipment and Leasing,10__0,10,3,0.0,1. p999999_trade_value,13000.0,13000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
RAIL,Transportation,Transportation - Equipment and Leasing,10__0,10,3,0.0,8. p75_trade_value,5620.0,5620.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
REVG,Transportation,Transportation - Services,10__0,10,3,0.0,1. p999999_trade_value,9200.0,9200.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
REVG,Transportation,Transportation - Services,10__0,10,3,0.0,8. p75_trade_value,7708.0,7708.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
RXO,Transportation,Transportation - Services,10__2,10,3,2.0,1. p999999_trade_value,140000.0,140000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
RXO,Transportation,Transportation - Services,10__2,10,3,2.0,7. p90_trade_value,15960.0,15960.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
RXO,Transportation,Transportation - Services,10__2,10,3,2.0,8. p75_trade_value,14700.0,14700.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
