security,sector,industry,num_trades,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value,trade_volume_bin,cluster,final_cluster,trade_volume_bin_rank
VICR,Computer and Technology,Electronics - Miscellaneous Components,318,18848.0,23051.0,44839.27,195054.39,244505.44,249450.54,249945.05,25,0.0,25__0,9
VIK,Consumer Discretionary,Leisure and Recreation Services,83,49600.0,119549.2,205200.0,308520.0,318852.0,319885.2,319988.52,20,1.0,20__1,10
VIPS,Computer and Technology,Internet - Delivery Services,150,14280.0,22505.0,39444.65,50935.5,52343.55,52484.36,52498.44,20,0.0,20__0,10
VIR,Medical,Medical - Biomedical and Genetics,47,10516.0,12000.0,34249.6,48424.96,49842.5,49984.25,49998.42,15,0.0,15__0,11
VIRC,Consumer Discretionary,Furniture,9,9620.0,9760.0,9872.0,9897.2,9899.72,9899.97,9900.0,10,0.0,10__0,12
VIRT,Finance,Financial - Miscellaneous Services,51,12320.0,16737.5,32417.5,32793.25,32830.82,32834.58,32834.96,15,0.0,15__0,11
VIST,Oils-Energy,Oil and Gas - Integrated - International,153,22697.0,45690.0,125652.0,338344.8,369309.48,372405.95,372715.59,20,1.0,20__1,10
VITL,Consumer Staples,Food - Miscellaneous,156,13945.0,27667.5,58654.25,268445.42,301920.54,305268.05,305602.81,20,0.0,20__0,10
VKTX,Medical,Medical - Biomedical and Genetics,8502,16000.0,24896.5,59994.0,192986.0,828239.8,1288823.98,1334882.4,40,0.0,40__0,6
VLN,Computer and Technology,Electronics - Semiconductors,1,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,0,2.0,0__2,14
VLO,Oils-Energy,Oil and Gas - Refining and Marketing,2186,15400.0,22839.75,73145.0,318881.95,650670.0,686067.0,689606.7,35,0.0,35__0,7
VLRS,Transportation,Transportation - Airline,1,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0,2.0,0__2,14
VLTO,Business Services,Waste Removal Services,80,22497.9,33188.55,56196.0,75819.6,77781.96,77978.2,77997.82,20,0.0,20__0,10
VLY,Finance,Banks - Northeast,24,20238.0,45075.0,184600.5,220960.05,224596.01,224959.6,224995.96,15,0.0,15__0,11
VMC,Construction,Building Products - Concrete and Aggregates,99,20700.8,35553.8,141610.0,168511.0,171201.1,171470.11,171497.01,20,0.0,20__0,10
VMEO,Business Services,Technology Services,6,6187.5,6793.75,7278.75,7387.88,7398.79,7399.88,7399.99,10,0.0,10__0,12
VMI,Industrial Products,Steel - Pipe and Tube,23,21238.0,25476.0,40798.0,44579.8,44957.98,44995.8,44999.58,15,0.0,15__0,11
VNDA,Medical,Medical - Biomedical and Genetics,3,5796.0,6083.0,6312.6,6364.26,6369.43,6369.94,6369.99,5,0.0,5__0,13
VNET,Computer and Technology,Internet - Software,299,19584.0,34302.0,75056.8,101387.22,102087.22,102157.22,102164.22,25,0.0,25__0,9
VNO,Finance,REIT and Equity Trust - Other,52,9810.0,13515.0,43135.75,67313.57,69731.36,69973.14,69997.31,15,0.0,15__0,11
