security,sector,industry,num_trades,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value,trade_volume_bin,cluster,final_cluster,trade_volume_bin_rank
A,Medical,Medical - Products,585,17500.0,30696.0,144761.28,306042.05,352716.9,357384.39,357851.14,30,0.0,30__0,8
AA,Industrial Products,Metal Products - Distribution,1648,17325.4,30156.0,106710.0,840000.0,840000.0,840000.0,840000.0,30,0.0,30__0,8
AAL,Transportation,Transportation - Airline,4099,14842.8,23839.5,87527.72,816648.0,1012142.4,1127214.24,1138721.42,35,2.0,35__2,7
AAOI,Computer and Technology,Electronics - Semiconductors,1828,18000.0,26779.25,51813.0,276390.22,365304.61,382836.96,384590.2,35,0.0,35__0,7
AAON,Construction,Building Products - Air Conditioner and Heating,59,35697.6,49727.5,61050.0,62355.0,62485.5,62498.55,62499.85,20,0.0,20__0,10
AAP,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,1663,14290.6,24192.4,67657.08,238815.14,308854.32,321135.43,322363.54,30,2.0,30__2,8
AAPL,Computer and Technology,Computer - Micro Computers,437563,16600.0,25374.5,64504.56,245915.7,784767.28,1644362.5,2375287.93,55,0.0,55__0,3
AB,Finance,Financial - Investment Management,11,16000.0,19250.0,21850.0,22435.0,22493.5,22499.35,22499.94,10,0.0,10__0,12
ABAT,Computer and Technology,Electronics - Miscellaneous Products,21,6895.0,7000.0,7800.0,7980.0,7998.0,7999.8,7999.98,15,0.0,15__0,11
ABBV,Medical,Large Cap Pharmaceuticals,7156,15492.0,24428.25,71862.5,324134.31,1247121.0,1258712.1,1259871.21,40,0.0,40__0,6
ABCL,Medical,Medical - Biomedical and Genetics,3,6088.0,6419.0,6683.8,6743.38,6749.34,6749.93,6749.99,5,0.0,5__0,13
ABEO,Medical,Medical - Biomedical and Genetics,42,11870.0,14520.0,24242.72,27271.47,27574.35,27604.63,27607.66,15,0.0,15__0,11
ABG,Retail-Wholesale,Automotive - Retail and Whole Sales,25,31500.0,46620.0,56936.0,58793.6,58979.36,58997.94,58999.79,15,0.0,15__0,11
ABL,Finance,Insurance - Life Insurance,1,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,0,2.0,0__2,14
ABM,Business Services,Business - Services,17,14300.0,44000.0,120800.0,138080.0,139808.0,139980.8,139998.08,10,3.0,10__3,12
ABNB,Consumer Discretionary,Leisure and Recreation Services,9341,16800.0,27400.0,118458.0,359936.72,791555.3,1251405.53,1297390.55,40,0.0,40__0,6
ABR,Finance,REIT and Equity Trust,259,29251.2,72613.5,170644.5,290490.0,312549.0,314754.9,314975.49,25,2.0,25__2,9
ABSI,Medical,Medical - Biomedical and Genetics,42,7436.0,7956.0,13971.24,16752.02,17030.1,17057.91,17060.69,15,0.0,15__0,11
ABT,Medical,Medical - Products,2262,13985.1,21399.5,70829.41,397716.17,451669.2,457366.92,457936.69,35,0.0,35__0,7
ABUS,Medical,Medical - Biomedical and Genetics,3,5940.0,6135.0,6291.0,6326.1,6329.61,6329.96,6330.0,5,0.0,5__0,13
ACA,Construction,Building Products - Miscellaneous,11,46575.0,60637.5,71887.5,74418.75,74671.88,74697.19,74699.72,10,0.0,10__0,12
ACAD,Medical,Medical - Biomedical and Genetics,93,10728.0,27958.0,141940.0,151669.0,152641.9,152739.19,152748.92,20,0.0,20__0,10
ACB,Medical,Medical - Products,45,12704.2,19196.0,21784.72,22957.67,23074.97,23086.7,23087.87,15,0.0,15__0,11
ACDC,Oils-Energy,Oil and Gas - Field Services,22,7296.0,10845.75,11937.45,12155.75,12177.57,12179.76,12179.98,15,0.0,15__0,11
ACGL,Finance,Insurance - Property and Casualty,127,8505.0,13828.5,30421.3,50601.15,53093.12,53342.31,53367.23,20,0.0,20__0,10
ACHC,Medical,Medical - Hospital,178,16824.4,34262.0,101304.4,193904.16,198670.42,199147.04,199194.7,25,0.0,25__0,9
ACHR,Aerospace,Aerospace - Defense,4888,11700.0,16549.5,34716.48,86737.91,120027.83,137692.28,139458.73,35,0.0,35__0,7
ACI,Consumer Staples,Consumer Products - Staples,410,19275.5,38983.0,100000.0,310000.0,310000.0,310000.0,310000.0,25,0.0,25__0,9
ACIC,Finance,Insurance - Property and Casualty,17,6300.0,7230.0,7326.0,7347.6,7349.76,7349.98,7350.0,10,0.0,10__0,12
ACIW,Computer and Technology,Computer - Software,2,5044.4,5130.2,5198.84,5214.28,5215.83,5215.98,5216.0,5,0.0,5__0,13
ACLS,Computer and Technology,Electronics - Manufacturing Machinery,329,19848.0,38619.0,113942.6,233964.15,247496.42,248849.64,248984.96,25,0.0,25__0,9
ACLX,Medical,Medical - Biomedical and Genetics,223,42860.0,168000.0,240000.0,448940.0,494894.0,499489.4,499948.94,25,2.0,25__2,9
ACM,Construction,Engineering - R and D Services,37,8729.0,9721.0,24837.0,32183.7,32918.37,32991.84,32999.18,15,0.0,15__0,11
ACMR,Computer and Technology,Semiconductor Equipment - Material Services,490,17838.0,23416.5,48036.96,67034.2,72403.42,72940.34,72994.03,25,0.0,25__0,9
ACN,Computer and Technology,Computers - IT Services,4048,13960.8,19925.5,52967.7,240813.85,671906.0,679190.6,679919.06,35,0.0,35__0,7
ACNT,Industrial Products,Manufacturing - General Industrial ,1,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,0,2.0,0__2,14
ACRS,Medical,Medical - Drugs,4,4640.0,4820.0,4964.0,4996.4,4999.64,4999.96,5000.0,5,0.0,5__0,13
ACVA,Retail-Wholesale,Internet - Commerce,57,8277.0,16260.0,104704.4,121530.44,123213.04,123381.3,123398.13,20,0.0,20__0,10
ADBE,Computer and Technology,Computer - Software,47204,16249.1,25500.0,70203.7,252453.75,942194.05,1652405.13,1694745.51,45,1.0,45__1,5
ADC,Finance,REIT and Equity Trust - Retail,4,6622.0,6811.0,6962.2,6996.22,6999.62,6999.96,7000.0,5,0.0,5__0,13
ADCT,Medical,Medical - Biomedical and Genetics,1,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,0,2.0,0__2,14
ADI,Computer and Technology,Semiconductor - Analog and Mixed,2514,20735.0,34823.25,90978.75,368288.22,452128.43,461012.84,461901.28,35,2.0,35__2,7
ADM,Consumer Staples,Agriculture - Operations,327,11580.0,16541.1,79134.92,363161.02,425116.1,431311.61,431931.16,25,0.0,25__0,9
ADMA,Medical,Medical - Biomedical and Genetics,313,21000.0,50000.0,388766.4,660559.58,668574.46,669375.95,669456.09,25,2.0,25__2,9
ADNT,Auto-Tires-Trucks,Automotive - Original Equipment,12,12575.7,12745.15,12757.03,12759.7,12759.97,12760.0,12760.0,10,0.0,10__0,12
ADP,Computer and Technology,Internet - Software,510,14264.1,20169.5,60088.44,155476.05,166747.61,167874.76,167987.48,25,0.0,25__0,9
ADSK,Computer and Technology,Internet - Software,4163,13446.6,21223.5,51789.84,184574.91,344365.15,413381.52,420283.15,35,0.0,35__0,7
ADT,Industrial Products,Security and Safety Services,13,16620.0,17840.0,17840.0,17840.0,17840.0,17840.0,17840.0,10,0.0,10__0,12
ADTN,Business Services,Technology Services,14,11319.0,13126.75,13909.35,14085.44,14103.04,14104.8,14104.98,10,0.0,10__0,12
ADUS,Medical,Medical - Outpatient and Home Healthcare,39,8896.0,11463.0,19650.0,22215.0,22471.5,22497.15,22499.71,15,0.0,15__0,11
AEE,Utilities,Utility - Electric Power,43,12000.0,16011.9,19227.6,19783.26,19838.83,19844.38,19844.94,15,0.0,15__0,11
AEHR,Computer and Technology,Electronics - Measuring Instruments,175,10000.0,11254.5,18399.9,25361.82,25999.18,26062.92,26069.29,20,0.0,20__0,10
AEIS,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,136,19180.0,36675.0,243124.5,456358.05,484493.81,487307.38,487588.74,20,1.0,20__1,10
AEM,Basic Materials,Mining - Gold,1875,13500.0,20763.0,77561.3,320174.0,1676893.75,1949600.28,1976870.93,35,1.0,35__1,7
AEO,Retail-Wholesale,Retail - Apparel and Shoes,372,14994.6,27075.6,182250.0,230151.74,246157.57,247758.16,247918.22,25,0.0,25__0,9
AEP,Utilities,Utility - Electric Power,240,13750.0,24586.75,126338.51,153431.28,154825.13,154964.51,154978.45,25,0.0,25__0,9
AER,Transportation,Transportation - Equipment and Leasing,239,14838.4,31900.5,210004.44,302505.0,313750.5,314875.05,314987.51,25,0.0,25__0,9
AES,Utilities,Utility - Electric Power,525,18944.0,31455.0,92500.0,167956.35,196795.64,199679.56,199967.96,25,0.0,25__0,9
AESI,Oils-Energy,Oil and Gas - Integrated - United States,16,7450.0,8125.0,9625.0,9962.5,9996.25,9999.63,9999.96,10,0.0,10__0,12
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,34,19476.6,55575.0,68256.2,69699.62,69843.96,69858.4,69859.84,15,0.0,15__0,11
AEYE,Computer and Technology,Internet - Software,22,9905.0,12037.75,15177.81,15903.38,15975.94,15983.19,15983.92,15,0.0,15__0,11
AFG,Finance,Insurance - Property and Casualty,1,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0,0,2.0,0__2,14
AFL,Finance,Insurance - Accident and Health,203,14676.0,31639.9,135297.5,175555.95,181378.1,181960.31,182018.53,25,0.0,25__0,9
AFRM,Computer and Technology,Internet - Software,20629,16335.0,25800.0,66948.48,494034.0,4317756.0,4545000.0,4545000.0,45,2.0,45__2,5
AFYA,Consumer Discretionary,Schools,1,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,0,2.0,0__2,14
AG,Basic Materials,Mining - Silver,295,12108.0,15060.0,33233.88,47294.2,47479.42,47497.94,47499.79,25,0.0,25__0,9
AGCO,Industrial Products,Manufacturing - Farm Equipment,26,18750.0,29745.0,51765.0,58096.5,58729.65,58792.97,58799.3,15,0.0,15__0,11
AGEN,Medical,Medical - Biomedical and Genetics,45,7735.2,10144.0,13952.0,14625.2,14692.52,14699.25,14699.93,15,0.0,15__0,11
AGI,Basic Materials,Mining - Gold,152,12270.0,14490.0,24725.0,35245.61,36725.56,36873.56,36888.36,20,0.0,20__0,10
AGIO,Medical,Medical - Biomedical and Genetics,28,40000.0,52350.0,88930.0,98893.0,99889.3,99988.93,99998.89,15,0.0,15__0,11
AGL,Medical,Medical Services,11,17990.0,38995.0,55799.0,59579.9,59957.99,59995.8,59999.58,10,0.0,10__0,12
AGM,Finance,Financial - Mortgage & Related Services,2,13820.0,14410.0,14882.0,14988.2,14998.82,14999.88,14999.99,5,3.0,5__3,13
AGNC,Finance,REIT and Equity Trust,379,16343.6,34993.0,92200.0,116220.0,119622.0,119962.2,119996.22,25,0.0,25__0,9
AGO,Finance,Insurance - Multi line,42,5036.0,9019.0,155722.1,240293.21,248750.32,249596.03,249680.6,15,0.0,15__0,11
AGRO,Consumer Staples,Agriculture - Operations,7,11880.0,17400.0,21816.0,22809.6,22908.96,22918.9,22919.89,10,0.0,10__0,12
AGX,Construction,Building Products - Miscellaneous,460,13862.8,22503.0,42410.0,159641.5,213964.15,219396.41,219939.64,25,0.0,25__0,9
AGYS,Computer and Technology,Computer - Integrated Systems,16,9000.0,17350.0,29230.0,31903.0,32170.3,32197.03,32199.7,10,0.0,10__0,12
AHCO,Medical,Medical - Products,5,13076.0,13468.0,13781.6,13852.16,13859.22,13859.92,13859.99,5,3.0,5__3,13
AHR,Finance,REIT and Equity Trust - Other,2,10047.5,10336.25,10567.25,10619.23,10624.42,10624.94,10624.99,5,0.0,5__0,13
AHT,Finance,REIT and Equity Trust - Other,1,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,0,2.0,0__2,14
AI,Computer and Technology,Computers - IT Services,7857,18421.8,39200.0,325000.0,1248621.12,2362375.52,2453972.55,2463132.26,40,2.0,40__2,6
AIG,Finance,Insurance - Multi line,758,13786.0,21462.75,38466.75,143611.77,201106.68,206856.17,207431.12,30,2.0,30__2,8
AIOT,Transportation,Transportation - Services,22,79818.0,89526.0,107775.0,112027.5,112452.75,112495.28,112499.53,15,0.0,15__0,11
AIP,Computer and Technology,Internet - Software,9,10792.0,11376.0,11843.2,11948.32,11958.83,11959.88,11959.99,10,0.0,10__0,12
AIR,Aerospace,Aerospace - Defense Equipment,37,7231.6,9140.0,11371.2,12369.12,12468.91,12478.89,12479.89,15,0.0,15__0,11
AIRG,Computer and Technology,Communication - Components,1,8680.0,8680.0,8680.0,8680.0,8680.0,8680.0,8680.0,0,0.0,0__0,14
AIRS,Business Services,Technology Services,1,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,0,0.0,0__0,14
AISP,Business Services,Technology Services,92,8777.5,11496.75,19439.7,21347.97,21538.8,21557.88,21559.79,20,0.0,20__0,10
AIT,Industrial Products,Manufacturing - General Industrial ,58,12348.0,13117.5,21763.0,23866.3,24076.63,24097.66,24099.77,20,0.0,20__0,10
AIZ,Finance,Insurance - Multi line,4,12078.0,13779.0,15139.8,15445.98,15476.6,15479.66,15479.97,5,3.0,5__3,13
AJG,Finance,Insurance - Brokerage,642,10029.8,14865.6,39356.55,101275.75,103727.58,103972.76,103997.28,30,2.0,30__2,8
AKAM,Computer and Technology,Internet - Services,1416,17067.5,25425.0,124251.0,884902.5,1170342.0,1202434.2,1205643.42,30,0.0,30__0,8
AKBA,Medical,Medical - Drugs,1,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,0,2.0,0__2,14
AKR,Finance,REIT and Equity Trust - Retail,1,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0,0,2.0,0__2,14
AKRO,Medical,Medical - Biomedical and Genetics,395,17113.6,20500.0,46367.2,463006.62,661477.66,681324.77,683309.48,25,0.0,25__0,9
AL,Transportation,Transportation - Equipment and Leasing,26,9495.0,11062.5,14875.0,15887.5,15988.75,15998.88,15999.89,15,0.0,15__0,11
ALAB,Computer and Technology,Internet - Software,10318,17106.0,27000.0,104668.15,697633.33,1697660.0,3403977.0,3580397.7,40,2.0,40__2,6
ALB,Basic Materials,Chemical - Diversified ,3014,14721.1,24420.0,67892.05,334102.67,532797.92,580456.59,585222.46,35,0.0,35__0,7
ALC,Medical,Medical - Instruments,252,42860.5,87300.0,221115.0,337051.3,342405.13,342940.51,342994.05,25,2.0,25__2,9
ALDX,Medical,Medical - Drugs,37,14820.0,16005.0,39623.08,50152.11,51205.01,51310.3,51320.83,15,0.0,15__0,11
ALEC,Medical,Medical - Biomedical and Genetics,24,7550.0,9568.25,48464.35,58846.44,59884.64,59988.46,59998.85,15,0.0,15__0,11
ALEX,Finance,REIT and Equity Trust - Other,1,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,0,0.0,0__0,14
ALGM,Computer and Technology,Electronics - Semiconductors,317,15466.0,22636.0,80884.8,660780.0,673578.0,674857.8,674985.78,25,0.0,25__0,9
ALGN,Medical,Medical - Dental Supplies,1815,15507.6,23992.5,65006.04,266770.32,603622.73,667862.27,674286.23,35,0.0,35__0,7
ALGS,Medical,Medical - Biomedical and Genetics,1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,0,2.0,0__2,14
ALGT,Transportation,Transportation - Airline,63,21861.0,25956.0,35995.6,37457.56,37603.76,37618.38,37619.84,20,0.0,20__0,10
ALHC,Medical,Medical Services,70,136085.6,157247.3,266164.6,434244.46,451052.45,452733.24,452901.32,20,2.0,20__2,10
ALIT,Computer and Technology,Internet - Software,76,14875.0,26246.25,59375.0,118437.5,124343.75,124934.38,124993.44,20,0.0,20__0,10
ALK,Transportation,Transportation - Airline,703,18531.0,38152.5,386346.4,1165234.0,1691523.4,1744152.34,1749415.23,30,1.0,30__1,8
ALKS,Medical,Medical - Biomedical and Genetics,49,40414.4,90896.0,129584.0,137446.4,138232.64,138311.26,138319.13,15,0.0,15__0,11
ALKT,Computer and Technology,Internet - Software,53,9990.0,15078.0,48408.0,75715.8,78446.58,78719.66,78746.97,15,0.0,15__0,11
ALL,Finance,Insurance - Property and Casualty,531,19000.0,27775.0,77802.5,253900.0,287290.0,290629.0,290962.9,25,0.0,25__0,9
ALLE,Industrial Products,Security and Safety Services,6,6220.0,7130.0,7858.0,8021.8,8038.18,8039.82,8039.98,10,0.0,10__0,12
ALLO,Medical,Medical - Biomedical and Genetics,10,16963.8,19941.9,22324.38,22860.44,22914.04,22919.4,22919.94,10,0.0,10__0,12
ALLT,Business Services,Technology Services,19,10849.2,11321.4,13304.28,13750.43,13795.04,13799.5,13799.95,15,0.0,15__0,11
ALLY,Finance,Financial - Consumer Loans,766,18875.0,33816.0,132624.8,279480.0,395148.0,406714.8,407871.48,30,0.0,30__0,8
ALNY,Medical,Medical - Biomedical and Genetics,1086,17515.5,30474.0,93454.65,518925.0,1094501.25,1154800.13,1160830.01,30,0.0,30__0,8
ALRM,Industrial Products,Security and Safety Services,14,31440.0,43225.0,45045.0,45454.5,45495.45,45499.55,45499.95,10,0.0,10__0,12
ALSN,Auto-Tires-Trucks,Automotive - Original Equipment,26,22750.0,38625.0,55500.0,59550.0,59955.0,59995.5,59999.55,15,0.0,15__0,11
ALT,Medical,Medical - Drugs,598,12248.0,17248.0,41890.0,270206.7,457670.67,476417.07,478291.71,30,2.0,30__2,8
ALTG,Industrial Products,Manufacturing - General Industrial ,2,9889.5,10107.25,10281.45,10320.64,10324.56,10324.96,10325.0,5,0.0,5__0,13
ALTO,Consumer Discretionary,Consumer Products - Discretionary,2,7043.4,7249.2,7413.84,7450.88,7454.59,7454.96,7455.0,5,0.0,5__0,13
ALTS,Finance,Financial - Miscellaneous Services,17,8120.0,9840.0,9968.0,9996.8,9999.68,9999.97,10000.0,10,0.0,10__0,12
ALUR,Medical,Medical - Products,2,4770.0,4785.0,4797.0,4799.7,4799.97,4800.0,4800.0,5,0.0,5__0,13
ALV,Auto-Tires-Trucks,Automotive - Original Equipment,14,7237.5,9157.5,11731.5,12310.65,12368.56,12374.36,12374.94,10,0.0,10__0,12
ALXO,Medical,Medical - Biomedical and Genetics,4,4975.0,4975.0,4975.0,4975.0,4975.0,4975.0,4975.0,5,0.0,5__0,13
AM,Oils-Energy,Oil and Gas - Integrated - United States,8,6001.5,7000.75,7800.15,7980.02,7998.0,7999.8,7999.98,10,0.0,10__0,12
AMAT,Computer and Technology,Electronics - Semiconductors,14452,16000.0,24711.2,76269.87,211351.97,725460.02,993056.25,1003805.62,40,0.0,40__0,6
AMBA,Computer and Technology,Electronics - Semiconductors,541,12000.0,18467.0,31000.0,307128.0,482962.8,500546.28,502304.63,25,0.0,25__0,9
AMBC,Finance,Insurance - Property and Casualty,45,47988.0,90024.0,197470.0,199747.0,199974.7,199997.47,199999.75,15,0.0,15__0,11
AMBR,Business Services,Technology Services,1,20475.0,20475.0,20475.0,20475.0,20475.0,20475.0,20475.0,0,0.0,0__0,14
AMC,Consumer Discretionary,Leisure and Recreation Services,2193,9690.4,13410.0,25194.24,61588.54,83482.05,88664.21,89182.42,35,0.0,35__0,7
AMCR,Industrial Products,Containers - Paper and Packaging,8,8803.2,10323.6,11539.92,11813.59,11840.96,11843.7,11843.97,10,0.0,10__0,12
AMCX,Consumer Discretionary,Broadcast Radio and Television,7,5996.0,6623.0,7124.6,7237.46,7248.75,7249.87,7249.99,10,0.0,10__0,12
AMD,Computer and Technology,Computer - Integrated Systems,231067,15000.0,23114.1,60060.0,324934.0,1160726.19,1920292.38,2575328.53,55,0.0,55__0,3
AME,Computer and Technology,Electronics - Testing Equipment,93,21320.0,53320.0,107172.0,107917.2,107991.72,107999.17,107999.92,20,0.0,20__0,10
AMED,Medical,Medical - Outpatient and Home Healthcare,30,45500.0,63750.0,75000.0,75000.0,75000.0,75000.0,75000.0,15,0.0,15__0,11
AMG,Finance,Financial - Investment Management,3,8566.0,9033.0,9406.6,9490.66,9499.07,9499.91,9499.99,5,0.0,5__0,13
AMGN,Medical,Medical - Biomedical and Genetics,8313,16956.0,26578.4,79387.2,433668.0,963091.98,1246245.5,1274560.85,40,0.0,40__0,6
AMH,Finance,REIT and Equity Trust - Residential,1,3680.0,3680.0,3680.0,3680.0,3680.0,3680.0,3680.0,0,2.0,0__2,14
AMKR,Computer and Technology,Electronics - Semiconductors,96,16450.0,33208.75,277180.0,311038.0,314423.8,314762.38,314796.24,20,1.0,20__1,10
AMLX,Medical,Medical - Drugs,2,4427.5,4488.75,4537.75,4548.77,4549.88,4549.99,4550.0,5,0.0,5__0,13
AMN,Medical,Medical Services,52,11094.0,16799.4,30192.19,36724.22,37377.42,37442.74,37449.27,15,0.0,15__0,11
AMP,Finance,Financial - Investment Management,187,13296.0,16575.0,28271.6,32430.84,32943.08,32994.31,32999.43,25,0.0,25__0,9
AMPL,Business Services,Technology Services,41,10440.0,14520.0,96000.0,144600.0,149460.0,149946.0,149994.6,15,0.0,15__0,11
AMPX,Business Services,Technology Services,44,9061.5,10152.0,13868.7,16155.87,16384.59,16407.46,16409.75,15,0.0,15__0,11
AMPY,Oils-Energy,Oil and Gas - Exploration and Production - United States,4,32097.3,37048.65,41009.73,41900.97,41990.1,41999.01,41999.9,5,1.0,5__1,13
AMR,Basic Materials,Mining - Miscellaneous,391,11600.0,15000.0,29001.6,35415.0,35941.5,35994.15,35999.41,25,0.0,25__0,9
AMRC,Oils-Energy,Alternative Energy - Other,18,11540.5,17406.0,32461.2,35848.62,36187.36,36221.24,36224.62,15,0.0,15__0,11
AMRK,Consumer Discretionary,Precious Metals and Jewels,87,13614.0,15850.0,31743.6,63856.86,67068.19,67389.32,67421.43,20,0.0,20__0,10
AMRN,Medical,Medical - Biomedical and Genetics,3,7716.0,8170.5,8534.1,8615.91,8624.09,8624.91,8624.99,5,0.0,5__0,13
AMRX,Medical,Medical - Drugs,15,13187.0,44016.0,91375.2,102031.02,103096.6,103203.16,103213.82,10,3.0,10__3,12
AMSC,Computer and Technology,Electronics - Miscellaneous Components,325,11088.0,16138.8,44725.8,135066.09,156699.31,158862.63,159078.96,25,0.0,25__0,9
AMT,Finance,REIT and Equity Trust - Other,577,26224.8,54575.0,123342.4,462405.6,605950.56,620305.06,621740.51,30,0.0,30__0,8
AMTM,Construction,Engineering - R and D Services,451,23400.0,51375.0,129000.0,312408.75,382240.87,389224.09,389922.41,25,0.0,25__0,9
AMTX,Oils-Energy,Biofuels,4,4949.0,4974.5,4994.9,4999.49,4999.95,4999.99,5000.0,5,0.0,5__0,13
AMWD,Consumer Discretionary,Furniture,2,8016.0,8128.0,8217.6,8237.76,8239.78,8239.98,8240.0,5,0.0,5__0,13
AMWL,Medical,Medical Info Systems,1,5750.0,5750.0,5750.0,5750.0,5750.0,5750.0,5750.0,0,2.0,0__2,14
AMZN,Computer and Technology,Internet - Software and Services,318227,17085.0,26640.0,69090.74,293855.36,1181318.84,2541600.6,3439423.3,55,0.0,55__0,3
AN,Retail-Wholesale,Automotive - Retail and Whole Sales,146,9870.0,16165.5,34660.5,54102.03,56710.2,56971.02,56997.1,20,0.0,20__0,10
ANAB,Medical,Medical - Biomedical and Genetics,302,29708.0,45091.5,202245.95,695970.0,704097.0,704909.7,704990.97,25,2.0,25__2,9
ANET,Computer and Technology,Internet - Software,14820,15660.0,23275.0,60165.99,208622.67,507122.2,868567.04,920481.7,40,0.0,40__0,6
ANF,Retail-Wholesale,Retail - Apparel and Shoes,7591,16590.0,26650.0,83190.0,406817.92,788739.5,1102623.95,1134012.39,40,0.0,40__0,6
ANGI,Computer and Technology,Internet - Content,34,116850.0,137893.0,172317.55,179227.25,179918.23,179987.32,179994.23,15,0.0,15__0,11
ANIK,Medical,Medical - Biomedical and Genetics,4,6736.0,7108.0,7405.6,7472.56,7479.26,7479.93,7479.99,5,0.0,5__0,13
ANIP,Medical,Medical - Biomedical and Genetics,2,4227.0,4228.5,4229.7,4229.97,4230.0,4230.0,4230.0,5,0.0,5__0,13
ANNX,Medical,Medical - Biomedical and Genetics,9,8488.0,11624.0,14132.8,14697.28,14753.73,14759.37,14759.94,10,0.0,10__0,12
ANRO,Medical,Medical - Biomedical and Genetics,68,11500.0,15358.0,136650.0,199965.0,206296.5,206929.65,206992.96,20,0.0,20__0,10
ANSS,Computer and Technology,Computer - Software,280,8820.0,15200.0,55025.0,199053.0,222405.3,224740.53,224974.05,25,0.0,25__0,9
ANVS,Medical,Medical - Biomedical and Genetics,16,10225.0,11337.5,13467.5,13946.75,13994.68,13999.47,13999.95,10,0.0,10__0,12
AON,Finance,Insurance - Brokerage,451,15808.0,20250.0,190000.0,502000.0,518200.0,519820.0,519982.0,25,0.0,25__0,9
AOS,Industrial Products,Manufacturing - Electronics,65,21793.0,139082.0,214440.4,231945.04,233695.5,233870.55,233888.06,20,1.0,20__1,10
AOSL,Computer and Technology,Electronics - Semiconductors,143,14480.0,19836.8,48054.6,53281.08,53442.11,53458.21,53459.82,20,0.0,20__0,10
APA,Oils-Energy,Oil and Gas - Exploration and Production - United States,909,11263.0,15571.6,134760.0,683740.0,761374.0,769137.4,769913.74,30,2.0,30__2,8
APAM,Finance,Financial - Investment Management,2,4341.5,4405.75,4457.15,4468.72,4469.87,4469.99,4470.0,5,0.0,5__0,13
APD,Basic Materials,Chemical - Diversified ,789,15260.0,20738.0,88699.92,558750.0,558750.0,558750.0,558750.0,30,2.0,30__2,8
APG,Business Services,Business - Services,29,4508.4,4776.0,6412.0,6941.2,6994.12,6999.41,6999.94,15,0.0,15__0,11
APGE,Medical,Medical - Biomedical and Genetics,51,16520.0,35560.0,183000.0,201900.0,203790.0,203979.0,203997.9,15,0.0,15__0,11
APH,Computer and Technology,Electronics - Connectors,916,19740.0,32228.0,111538.75,247650.0,321765.0,329176.5,329917.65,30,0.0,30__0,8
API,Business Services,Technology Services,16,7517.5,8776.25,11755.25,12425.52,12492.55,12499.26,12499.93,10,0.0,10__0,12
APLD,Finance,Financial - Miscellaneous Services,5346,16099.0,27960.0,98100.0,357271.75,657583.86,686915.89,689849.09,35,2.0,35__2,7
APLS,Medical,Medical - Biomedical and Genetics,288,13581.5,22925.0,76300.0,455489.58,468346.46,469632.15,469760.71,25,0.0,25__0,9
APLT,Medical,Medical - Biomedical and Genetics,201,21250.0,40800.0,200000.0,501000.0,522600.0,524760.0,524976.0,25,0.0,25__0,9
APO,Finance,Financial - Investment Management,5130,16000.0,25300.0,57312.17,151742.0,556761.6,601076.16,605507.62,35,0.0,35__0,7
APOG,Industrial Products,Glass Products,16,12690.0,13875.0,14775.0,14977.5,14997.75,14999.78,14999.98,10,0.0,10__0,12
APP,Business Services,Technology Services,111245,20240.0,32479.2,93856.4,391872.14,2143967.48,5099127.86,5501402.78,50,2.0,50__2,4
APPF,Computer and Technology,Internet - Software,106,11250.0,18325.0,205130.0,603038.25,644178.83,648292.88,648704.29,20,1.0,20__1,10
APPN,Computer and Technology,Internet - Software,65,31000.0,47920.0,108050.4,179555.04,186705.5,187420.55,187492.06,20,0.0,20__0,10
APPS,Computer and Technology,Internet - Software,92,7180.0,10206.1,23620.0,38362.0,39836.2,39983.62,39998.36,20,0.0,20__0,10
APTV,Auto-Tires-Trucks,Automotive - Original Equipment,415,49980.0,94800.0,232669.28,431340.0,502134.0,509213.4,509921.34,25,2.0,25__2,9
AQST,Medical,Medical - Drugs,7,7208.0,8114.0,8838.8,9001.88,9018.19,9019.82,9019.98,10,0.0,10__0,12
AR,Oils-Energy,Oil and Gas - Exploration and Production - United States,510,14354.0,22228.8,93502.4,178533.58,186495.36,187291.54,187371.15,25,0.0,25__0,9
ARBE,Business Services,Technology Services,129,9870.0,13254.0,18487.2,19397.6,19489.76,19498.98,19499.9,20,0.0,20__0,10
ARCB,Transportation,Transportation - Truck,44,10971.0,29008.6,326960.0,453896.0,466589.6,467858.96,467985.9,15,0.0,15__0,11
