security,sector,industry,level_1,unusual_baseline,trade_value_category,number_of_trades
A,Medical,Medical - Products,0,357903.0,1. p999999_trade_value,1.0
AA,Industrial Products,Metal Products - Distribution,0,30239.999999999996,6. p95_trade_value,83.0
AAL,Transportation,Transportation - Airline,0,819000.0,4. p999_trade_value,5.0
AAOI,Computer and Technology,Electronics - Semiconductors,0,278160.0,4. p999_trade_value,2.0
AAON,Construction,Building Products - Air Conditioner and Heating,0,,,
AAP,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,0,,,
AAPL,Computer and Technology,Computer - Micro Computers,0,,,
AB,Finance,Financial - Investment Management,0,,,
ABAT,Computer and Technology,Electronics - Miscellaneous Products,0,8000.0,1. p999999_trade_value,1.0
ABBV,Medical,Large Cap Pharmaceuticals,0,330762.5,4. p999_trade_value,8.0
ABCL,Medical,Medical - Biomedical and Genetics,0,,,
ABEO,Medical,Medical - Biomedical and Genetics,0,12000.0,7. p90_trade_value,5.0
ABG,Retail-Wholesale,Automotive - Retail and Whole Sales,0,8800.0,8. p75_trade_value,7.0
ABL,Finance,Insurance - Life Insurance,0,,,
ABM,Business Services,Business - Services,0,,,
ABNB,Consumer Discretionary,Leisure and Recreation Services,0,360580.0,4. p999_trade_value,10.0
ABR,Finance,REIT and Equity Trust,0,315000.0,1. p999999_trade_value,1.0
ABSI,Medical,Medical - Biomedical and Genetics,0,,,
ABT,Medical,Medical - Products,0,458000.0,1. p999999_trade_value,1.0
ABUS,Medical,Medical - Biomedical and Genetics,0,,,
ACA,Construction,Building Products - Miscellaneous,0,30000.0,8. p75_trade_value,3.0
ACAD,Medical,Medical - Biomedical and Genetics,0,152750.0,1. p999999_trade_value,1.0
ACB,Medical,Medical - Products,0,,,
ACDC,Oils-Energy,Oil and Gas - Field Services,0,5000.0,8. p75_trade_value,6.0
ACGL,Finance,Insurance - Property and Casualty,0,,,
ACHC,Medical,Medical - Hospital,0,,,
ACHR,Aerospace,Aerospace - Defense,0,34800.0,5. p99_trade_value,49.0
ACI,Consumer Staples,Consumer Products - Staples,0,,,
ACIC,Finance,Insurance - Property and Casualty,0,7200.0,7. p90_trade_value,2.0
ACIW,Computer and Technology,Computer - Software,0,5216.0,1. p999999_trade_value,1.0
ACLS,Computer and Technology,Electronics - Manufacturing Machinery,0,249000.0,1. p999999_trade_value,1.0
ACLX,Medical,Medical - Biomedical and Genetics,0,,,
ACM,Construction,Engineering - R and D Services,0,,,
ACMR,Computer and Technology,Semiconductor Equipment - Material Services,0,,,
ACN,Computer and Technology,Computers - IT Services,0,,,
ACNT,Industrial Products,Manufacturing - General Industrial ,0,,,
ACRS,Medical,Medical - Drugs,0,,,
ACVA,Retail-Wholesale,Internet - Commerce,0,123400.0,1. p999999_trade_value,1.0
ADBE,Computer and Technology,Computer - Software,0,,,
ADC,Finance,REIT and Equity Trust - Retail,0,,,
ADCT,Medical,Medical - Biomedical and Genetics,0,,,
ADI,Computer and Technology,Semiconductor - Analog and Mixed,0,,,
ADM,Consumer Staples,Agriculture - Operations,0,,,
ADMA,Medical,Medical - Biomedical and Genetics,0,669465.0,1. p999999_trade_value,1.0
ADNT,Auto-Tires-Trucks,Automotive - Original Equipment,0,,,
ADP,Computer and Technology,Internet - Software,0,,,
ADSK,Computer and Technology,Internet - Software,0,,,
ADT,Industrial Products,Security and Safety Services,0,,,
ADTN,Business Services,Technology Services,0,,,
ADUS,Medical,Medical - Outpatient and Home Healthcare,0,,,
AEE,Utilities,Utility - Electric Power,0,19845.0,1. p999999_trade_value,1.0
AEHR,Computer and Technology,Electronics - Measuring Instruments,0,26070.000000000004,1. p999999_trade_value,1.0
AEIS,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,0,256050.0,5. p99_trade_value,2.0
AEM,Basic Materials,Mining - Gold,0,363000.0,4. p999_trade_value,2.0
AEO,Retail-Wholesale,Retail - Apparel and Shoes,0,200000.0,5. p99_trade_value,4.0
AEP,Utilities,Utility - Electric Power,0,130391.00000000001,5. p99_trade_value,3.0
