security,sector,industry,level_1,unusual_baseline,trade_value_category,number_of_trades
AER,Transportation,Transportation - Equipment and Leasing,0,32130.0,6. p95_trade_value,12.0
AES,Utilities,Utility - Electric Power,0,200000.0,1. p999999_trade_value,1.0
AESI,Oils-Energy,Oil and Gas - Integrated - United States,0,10000.0,1. p999999_trade_value,1.0
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,0,12300.0,8. p75_trade_value,9.0
AEYE,Computer and Technology,Internet - Software,0,,,
AFG,Finance,Insurance - Property and Casualty,0,3750.0,1. p999999_trade_value,1.0
AFL,Finance,Insurance - Accident and Health,0,136375.0,5. p99_trade_value,3.0
AFRM,Computer and Technology,Internet - Software,0,4395000.0,3. p9999_trade_value,3.0
AFYA,Consumer Discretionary,Schools,0,,,
AG,Basic Materials,Mining - Silver,0,,,
AGCO,Industrial Products,Manufacturing - Farm Equipment,0,58800.0,1. p999999_trade_value,1.0
AGEN,Medical,Medical - Biomedical and Genetics,0,14700.0,1. p999999_trade_value,1.0
AGI,Basic Materials,Mining - Gold,0,12299.999999999998,7. p90_trade_value,16.0
AGIO,Medical,Medical - Biomedical and Genetics,0,100000.0,1. p999999_trade_value,1.0
AGL,Medical,Medical Services,0,13894.999999999998,8. p75_trade_value,3.0
AGM,Finance,Financial - Mortgage & Related Services,0,,,
AGNC,Finance,REIT and Equity Trust,0,120000.0,1. p999999_trade_value,1.0
AGO,Finance,Insurance - Multi line,0,,,
AGRO,Consumer Staples,Agriculture - Operations,0,,,
AGX,Construction,Building Products - Miscellaneous,0,220000.0,1. p999999_trade_value,1.0
AGYS,Computer and Technology,Computer - Integrated Systems,0,,,
AHCO,Medical,Medical - Products,0,,,
AHR,Finance,REIT and Equity Trust - Other,0,,,
AHT,Finance,REIT and Equity Trust - Other,0,,,
AI,Computer and Technology,Computers - IT Services,0,,,
AIG,Finance,Insurance - Multi line,0,,,
AIOT,Transportation,Transportation - Services,0,,,
AIP,Computer and Technology,Internet - Software,0,8640.0,8. p75_trade_value,3.0
AIR,Aerospace,Aerospace - Defense Equipment,0,5850.0,8. p75_trade_value,10.0
AIRG,Computer and Technology,Communication - Components,0,,,
AIRS,Business Services,Technology Services,0,10500.0,1. p999999_trade_value,1.0
AISP,Business Services,Technology Services,0,,,
AIT,Industrial Products,Manufacturing - General Industrial ,0,24100.0,1. p999999_trade_value,1.0
AIZ,Finance,Insurance - Multi line,0,15480.000000000002,1. p999999_trade_value,1.0
AJG,Finance,Insurance - Brokerage,0,,,
AKAM,Computer and Technology,Internet - Services,0,,,
AKBA,Medical,Medical - Drugs,0,3500.0,1. p999999_trade_value,1.0
AKR,Finance,REIT and Equity Trust - Retail,0,5824.0,1. p999999_trade_value,1.0
AKRO,Medical,Medical - Biomedical and Genetics,0,683530.0,1. p999999_trade_value,1.0
AL,Transportation,Transportation - Equipment and Leasing,0,16000.0,1. p999999_trade_value,1.0
ALAB,Computer and Technology,Internet - Software,0,715340.0,4. p999_trade_value,11.0
ALB,Basic Materials,Chemical - Diversified ,0,,,
ALC,Medical,Medical - Instruments,0,95000.0,6. p95_trade_value,13.0
ALDX,Medical,Medical - Drugs,0,,,
ALEC,Medical,Medical - Biomedical and Genetics,0,,,
ALEX,Finance,REIT and Equity Trust - Other,0,,,
ALGM,Computer and Technology,Electronics - Semiconductors,0,,,
ALGN,Medical,Medical - Dental Supplies,0,,,
ALGS,Medical,Medical - Biomedical and Genetics,0,,,
ALGT,Transportation,Transportation - Airline,0,26000.0,6. p95_trade_value,4.0
ALHC,Medical,Medical Services,0,452920.0,1. p999999_trade_value,1.0
ALIT,Computer and Technology,Internet - Software,0,7500.0,8. p75_trade_value,19.0
ALK,Transportation,Transportation - Airline,0,,,
ALKS,Medical,Medical - Biomedical and Genetics,0,22500.0,8. p75_trade_value,13.0
ALKT,Computer and Technology,Internet - Software,0,,,
ALL,Finance,Insurance - Property and Casualty,0,,,
ALLE,Industrial Products,Security and Safety Services,0,,,
ALLO,Medical,Medical - Biomedical and Genetics,0,13860.0,8. p75_trade_value,3.0
ALLT,Business Services,Technology Services,0,10050.0,8. p75_trade_value,5.0
ALLY,Finance,Financial - Consumer Loans,0,,,
ALNY,Medical,Medical - Biomedical and Genetics,0,,,
ALRM,Industrial Products,Security and Safety Services,0,45500.0,1. p999999_trade_value,1.0
ALSN,Auto-Tires-Trucks,Automotive - Original Equipment,0,28500.0,7. p90_trade_value,3.0
ALT,Medical,Medical - Drugs,0,478500.0,1. p999999_trade_value,1.0
ALTG,Industrial Products,Manufacturing - General Industrial ,0,10325.0,1. p999999_trade_value,1.0
ALTO,Consumer Discretionary,Consumer Products - Discretionary,0,7455.0,1. p999999_trade_value,1.0
ALTS,Finance,Financial - Miscellaneous Services,0,,,
ALUR,Medical,Medical - Products,0,4800.0,1. p999999_trade_value,1.0
ALV,Auto-Tires-Trucks,Automotive - Original Equipment,0,,,
ALXO,Medical,Medical - Biomedical and Genetics,0,,,
AM,Oils-Energy,Oil and Gas - Integrated - United States,0,5145.0,8. p75_trade_value,2.0
AMAT,Computer and Technology,Electronics - Semiconductors,0,922350.0,3. p9999_trade_value,2.0
AMBA,Computer and Technology,Electronics - Semiconductors,0,7400.0,8. p75_trade_value,136.0
AMBC,Finance,Insurance - Property and Casualty,0,,,
AMBR,Business Services,Technology Services,0,,,
AMC,Consumer Discretionary,Leisure and Recreation Services,0,,,
AMCR,Industrial Products,Containers - Paper and Packaging,0,11844.000000000002,1. p999999_trade_value,1.0
AMCX,Consumer Discretionary,Broadcast Radio and Television,0,5160.0,8. p75_trade_value,2.0
AMD,Computer and Technology,Computer - Integrated Systems,0,,,
AME,Computer and Technology,Electronics - Testing Equipment,0,,,
AMED,Medical,Medical - Outpatient and Home Healthcare,0,,,
AMG,Finance,Financial - Investment Management,0,9500.0,1. p999999_trade_value,1.0
AMGN,Medical,Medical - Biomedical and Genetics,0,,,
AMH,Finance,REIT and Equity Trust - Residential,0,3680.0000000000005,1. p999999_trade_value,1.0
AMKR,Computer and Technology,Electronics - Semiconductors,0,,,
AMLX,Medical,Medical - Drugs,0,4550.0,1. p999999_trade_value,1.0
AMN,Medical,Medical Services,0,,,
AMP,Finance,Financial - Investment Management,0,,,
AMPL,Business Services,Technology Services,0,150000.0,1. p999999_trade_value,1.0
AMPX,Business Services,Technology Services,0,16410.0,1. p999999_trade_value,1.0
AMPY,Oils-Energy,Oil and Gas - Exploration and Production - United States,0,42000.00000000001,1. p999999_trade_value,1.0
AMR,Basic Materials,Mining - Miscellaneous,0,36000.0,1. p999999_trade_value,1.0
AMRC,Oils-Energy,Alternative Energy - Other,0,,,
AMRK,Consumer Discretionary,Precious Metals and Jewels,0,16000.0,6. p95_trade_value,5.0
AMRN,Medical,Medical - Biomedical and Genetics,0,8625.0,1. p999999_trade_value,1.0
AMRX,Medical,Medical - Drugs,0,,,
AMSC,Computer and Technology,Electronics - Miscellaneous Components,0,,,
AMT,Finance,REIT and Equity Trust - Other,0,,,
AMTM,Construction,Engineering - R and D Services,0,390000.0,1. p999999_trade_value,1.0
AMTX,Oils-Energy,Biofuels,0,,,
AMWD,Consumer Discretionary,Furniture,0,,,
AMWL,Medical,Medical Info Systems,0,,,
AMZN,Computer and Technology,Internet - Software and Services,0,,,
AN,Retail-Wholesale,Automotive - Retail and Whole Sales,0,37014.0,5. p99_trade_value,2.0
ANAB,Medical,Medical - Biomedical and Genetics,0,202390.0,5. p99_trade_value,4.0
ANET,Computer and Technology,Internet - Software,0,208680.00000000003,4. p999_trade_value,15.0
ANF,Retail-Wholesale,Retail - Apparel and Shoes,0,,,
ANGI,Computer and Technology,Internet - Content,0,,,
ANIK,Medical,Medical - Biomedical and Genetics,0,,,
ANIP,Medical,Medical - Biomedical and Genetics,0,,,
ANNX,Medical,Medical - Biomedical and Genetics,0,,,
ANRO,Medical,Medical - Biomedical and Genetics,0,207000.0,1. p999999_trade_value,1.0
ANSS,Computer and Technology,Computer - Software,0,,,
ANVS,Medical,Medical - Biomedical and Genetics,0,,,
AON,Finance,Insurance - Brokerage,0,520000.0,1. p999999_trade_value,1.0
AOS,Industrial Products,Manufacturing - Electronics,0,143550.0,6. p95_trade_value,4.0
AOSL,Computer and Technology,Electronics - Semiconductors,0,52200.0,5. p99_trade_value,2.0
APA,Oils-Energy,Oil and Gas - Exploration and Production - United States,0,,,
APAM,Finance,Financial - Investment Management,0,,,
APD,Basic Materials,Chemical - Diversified ,0,,,
APG,Business Services,Business - Services,0,4590.0,7. p90_trade_value,3.0
APGE,Medical,Medical - Biomedical and Genetics,0,,,
APH,Computer and Technology,Electronics - Connectors,0,330000.0,1. p999999_trade_value,1.0
API,Business Services,Technology Services,0,,,
APLD,Finance,Financial - Miscellaneous Services,0,,,
APLS,Medical,Medical - Biomedical and Genetics,0,,,
APLT,Medical,Medical - Biomedical and Genetics,0,525000.0,1. p999999_trade_value,1.0
APO,Finance,Financial - Investment Management,0,,,
APOG,Industrial Products,Glass Products,0,,,
APP,Business Services,Technology Services,0,2145000.0,3. p9999_trade_value,12.0
APPF,Computer and Technology,Internet - Software,0,648750.0,1. p999999_trade_value,1.0
APPN,Computer and Technology,Internet - Software,0,,,
APPS,Computer and Technology,Internet - Software,0,,,
APTV,Auto-Tires-Trucks,Automotive - Original Equipment,0,236847.99999999994,5. p99_trade_value,5.0
AQST,Medical,Medical - Drugs,0,,,
AR,Oils-Energy,Oil and Gas - Exploration and Production - United States,0,,,
ARBE,Business Services,Technology Services,0,13439.999999999998,6. p95_trade_value,7.0
ARCB,Transportation,Transportation - Truck,0,468000.0,1. p999999_trade_value,1.0
ARCC,Finance,Financial - SBIC & Commercial Industry,0,,,
ARCT,Medical,Medical - Biomedical and Genetics,0,,,
ARDT,Medical,Medical Services,0,,,
ARDX,Medical,Medical - Drugs,0,11410.0,7. p90_trade_value,8.0
ARE,Finance,REIT and Equity Trust - Other,0,95250.0,1. p999999_trade_value,1.0
AREN,Business Services,Technology Services,0,,,
ARES,Finance,Financial - Investment Management,0,,,
ARGX,Medical,Medical - Biomedical and Genetics,0,,,
ARHS,Retail-Wholesale,Retail - Miscellaneous,0,,,
ARIS,Business Services,Waste Removal Services,0,3915.0,1. p999999_trade_value,1.0
ARLO,Computer and Technology,Internet - Software,0,,,
ARLP,Oils-Energy,Coal,0,,,
ARM,Computer and Technology,Electronics - Semiconductors,0,820000.0,1. p999999_trade_value,1.0
ARMK,Business Services,Business - Services,0,30294.0,1. p999999_trade_value,1.0
AROC,Oils-Energy,Oil and Gas - Field Services,0,5915.0,1. p999999_trade_value,1.0
ARQQ,Computer and Technology,Internet - Software,0,38610.0,5. p99_trade_value,3.0
ARQT,Medical,Medical - Biomedical and Genetics,0,,,
ARR,Finance,REIT and Equity Trust,0,16379.999999999998,7. p90_trade_value,4.0
ARRY,Oils-Energy,Solar,0,,,
ARVN,Medical,Medical - Biomedical and Genetics,0,503470.00000000006,1. p999999_trade_value,1.0
ARW,Computer and Technology,Electronics - Parts Distribution,0,,,
ARWR,Medical,Medical - Biomedical and Genetics,0,54329.99999999999,1. p999999_trade_value,1.0
AS,Consumer Discretionary,Leisure and Recreation Products,0,208425.0,1. p999999_trade_value,1.0
ASAN,Computer and Technology,Internet - Software,0,118881.0,1. p999999_trade_value,1.0
ASB,Finance,Banks - Midwest,0,13500.0,1. p999999_trade_value,1.0
ASC,Transportation,Transportation - Shipping,0,4428.0,8. p75_trade_value,3.0
ASGN,Computer and Technology,Computers - IT Services,0,30000.0,1. p999999_trade_value,1.0
ASH,Basic Materials,Chemical - Specialty,0,,,
ASLE,Aerospace,Aerospace - Defense Equipment,0,,,
ASML,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,0,,,
ASND,Medical,Medical - Biomedical and Genetics,0,,,
ASO,Consumer Discretionary,Leisure and Recreation Products,0,361760.00000000006,1. p999999_trade_value,1.0
ASPI,Basic Materials,Chemical - Diversified ,0,75000.0,1. p999999_trade_value,1.0
ASPN,Construction,Building Products - Miscellaneous,0,,,
ASST,Business Services,Technology Services,0,,,
ASTH,Medical,Medical - Outpatient and Home Healthcare,0,940320.0000000001,6. p95_trade_value,2.0
ASTL,Basic Materials,Steel - Producers,0,241500.0,1. p999999_trade_value,1.0
ASTS,Computer and Technology,Wireless Equipment,0,,,
ASUR,Computer and Technology,Internet - Delivery Services,0,,,
ATAI,Medical,Medical - Outpatient and Home Healthcare,0,32868.0,7. p90_trade_value,2.0
ATAT,Consumer Discretionary,Leisure and Recreation Services,0,,,
ATEC,Medical,Medical - Instruments,0,183600.0,1. p999999_trade_value,1.0
ATEN,Computer and Technology,Communication - Network Software,0,7227.0,1. p999999_trade_value,1.0
ATEX,Computer and Technology,Communication - Infrastructure,0,,,
ATGE,Consumer Discretionary,Schools,0,,,
ATHA,Medical,Medical - Biomedical and Genetics,0,5100.0,8. p75_trade_value,3.0
ATHM,Computer and Technology,Internet - Services,0,10000.0,8. p75_trade_value,3.0
ATI,Basic Materials,Steel - Speciality,0,10600.0,7. p90_trade_value,13.0
ATKR,Industrial Products,Wire and Cable Products,0,,,
ATLX,Basic Materials,Mining - Miscellaneous,0,,,
ATMU,Industrial Products,Pollution Control,0,17500.0,1. p999999_trade_value,1.0
ATO,Utilities,Utility - Gas Distribution,0,7200.0,8. p75_trade_value,13.0
ATOM,Computer and Technology,Electronics - Semiconductors,0,11088.000000000002,7. p90_trade_value,12.0
ATR,Industrial Products,Containers - Paper and Packaging,0,,,
ATRC,Medical,Medical - Products,0,5200.0,1. p999999_trade_value,1.0
ATUS,Computer and Technology,Communication - Components,0,4325.0,1. p999999_trade_value,1.0
ATXS,Medical,Medical - Biomedical and Genetics,0,5100.0,1. p999999_trade_value,1.0
ATYR,Medical,Medical - Biomedical and Genetics,0,,,
AU,Basic Materials,Mining - Gold,0,9071.0,8. p75_trade_value,67.0
AUPH,Medical,Medical - Drugs,0,,,
AUR,Business Services,Technology Services,0,,,
AURA,Medical,Medical - Biomedical and Genetics,0,,,
AUTL,Medical,Medical - Biomedical and Genetics,0,8070.0,1. p999999_trade_value,1.0
AVA,Utilities,Utility - Electric Power,0,,,
AVAV,Aerospace,Aerospace - Defense Equipment,0,115500.0,1. p999999_trade_value,1.0
AVB,Finance,REIT and Equity Trust - Residential,0,14100.0,1. p999999_trade_value,1.0
AVDL,Medical,Medical - Drugs,0,74250.00000000001,1. p999999_trade_value,1.0
AVGO,Computer and Technology,Electronics - Semiconductors,0,,,
AVNS,Medical,Medical - Instruments,0,6500.0,1. p999999_trade_value,1.0
AVNW,Computer and Technology,Wireless Equipment,0,4130.0,1. p999999_trade_value,1.0
AVO,Consumer Staples,Agriculture - Operations,0,,,
AVPT,Computer and Technology,Internet - Software,0,260000.0,1. p999999_trade_value,1.0
AVT,Computer and Technology,Electronics - Parts Distribution,0,,,
AVTR,Medical,Medical Services,0,429795.0,1. p999999_trade_value,1.0
AVXL,Medical,Medical - Biomedical and Genetics,0,,,
AVY,Industrial Products,Containers - Paper and Packaging,0,,,
AWI,Construction,Building Products - Miscellaneous,0,25160.0,7. p90_trade_value,2.0
AWK,Utilities,Utility - Water Supply,0,33408.0,1. p999999_trade_value,1.0
AWR,Utilities,Utility - Water Supply,0,9700.0,8. p75_trade_value,2.0
AX,Finance,Financial - Miscellaneous Services,0,23000.0,1. p999999_trade_value,1.0
AXGN,Medical,Medical - Instruments,0,,,
AXL,Auto-Tires-Trucks,Automotive - Original Equipment,0,,,
AXON,Aerospace,Aerospace - Defense Equipment,0,407500.0,1. p999999_trade_value,1.0
AXP,Finance,Financial - Miscellaneous Services,0,,,
AXS,Finance,Insurance - Property and Casualty,0,,,
AXSM,Medical,Medical - Biomedical and Genetics,0,960000.0,1. p999999_trade_value,1.0
AXTA,Basic Materials,Chemical - Specialty,0,14500.0,1. p999999_trade_value,1.0
AXTI,Computer and Technology,Electronics - Semiconductors,0,4800.0,1. p999999_trade_value,1.0
AYI,Business Services,Technology Services,0,,,
AZ,Computer and Technology,Internet - Software,0,,,
AZEK,Construction,Building Products - Air Conditioner and Heating,0,130000.0,1. p999999_trade_value,1.0
AZN,Medical,Medical - Biomedical and Genetics,0,804004.0,1. p999999_trade_value,1.0
AZO,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,0,,,
AZTA,Medical,Medical Info Systems,0,12665.0,8. p75_trade_value,2.0
AZZ,Industrial Products,Manufacturing - Electronics,0,,,
B,Basic Materials,Mining - Gold,0,27500.0,1. p999999_trade_value,1.0
BA,Aerospace,Aerospace - Defense,0,,,
BABA,Retail-Wholesale,Internet - Commerce,0,,,
BAC,Finance,Financial - Investment Bank,0,240000.0,4. p999_trade_value,15.0
BAH,Business Services,Consulting Services,0,134000.0,5. p99_trade_value,8.0
BALL,Industrial Products,Containers - Metal and Glass,0,,,
BAM,Finance,Financial - Miscellaneous Services,0,12000.0,6. p95_trade_value,15.0
BANC,Finance,Banks - Southwest,0,6266.0,8. p75_trade_value,5.0
BAND,Computer and Technology,Communication - Infrastructure,0,,,
BAP,Finance,Banks - Foreign,0,4509.999999999999,3. p9999_trade_value,1.0
BARK,Consumer Discretionary,Consumer Services - Miscellaneous,0,5000.0,1. p999999_trade_value,1.0
BASE,Computer and Technology,Internet - Software,0,13860.000000000002,1. p999999_trade_value,1.0
BATRK,Consumer Discretionary,Media Conglomerates,0,3660.0,1. p999999_trade_value,1.0
BAX,Medical,Medical - Products,0,,,
BB,Computer and Technology,Internet - Software,0,,,
BBAI,Computer and Technology,Computers - IT Services,0,,,
BBAR,Finance,Banks - Foreign,0,7200.0,8. p75_trade_value,4.0
BBIO,Medical,Medical - Generic Drugs,0,,,
BBVA,Finance,Banks - Foreign,0,10010.0,8. p75_trade_value,9.0
BBW,Retail-Wholesale,Retail - Miscellaneous,0,10319.999999999998,8. p75_trade_value,15.0
BBWI,Retail-Wholesale,Retail - Miscellaneous,0,443250.0,1. p999999_trade_value,1.0
BBY,Retail-Wholesale,Retail - Consumer Electronics,0,,,
BC,Consumer Discretionary,Leisure and Recreation Products,0,38400.0,7. p90_trade_value,4.0
BCAB,Medical,Medical - Biomedical and Genetics,0,6075.0,1. p999999_trade_value,1.0
BCAX,Medical,Medical - Biomedical and Genetics,0,,,
BCC,Construction,Building Products - Wood,0,4500.0,8. p75_trade_value,2.0
BCE,Utilities,Diversified Communication Services,0,,,
BCO,Business Services,Outsourcing,0,,,
BCPC,Basic Materials,Chemical - Specialty,0,3500.0,1. p999999_trade_value,1.0
BCRX,Medical,Medical - Drugs,0,,,
BCS,Finance,Banks - Foreign,0,,,
BCYC,Medical,Medical - Biomedical and Genetics,0,,,
BDC,Industrial Products,Wire and Cable Products,0,6120.0,8. p75_trade_value,6.0
BDSX,Medical,Medical Services,0,,,
BDTX,Medical,Medical - Biomedical and Genetics,0,,,
BDX,Medical,Medical - Dental Supplies,0,821520.0000000001,1. p999999_trade_value,1.0
BE,Oils-Energy,Alternative Energy - Other,0,573560.0,1. p999999_trade_value,1.0
BEAM,Medical,Medical - Biomedical and Genetics,0,15200.0,6. p95_trade_value,7.0
BEEM,Auto-Tires-Trucks,Automotive - Original Equipment,0,,,
BEKE,Computer and Technology,Internet - Services,0,789842.0,1. p999999_trade_value,1.0
BELFB,Computer and Technology,Electronics - Miscellaneous Products,0,4440.000000000001,1. p999999_trade_value,1.0
BEN,Finance,Financial - Investment Management,0,14850.0,8. p75_trade_value,11.0
BEP,Utilities,Utility - Electric Power,0,44955.0,1. p999999_trade_value,1.0
BEPC,Oils-Energy,Alternative Energy - Other,0,,,
BFAM,Business Services,Business - Services,0,6400.0,8. p75_trade_value,11.0
BFH,Finance,Financial - Miscellaneous Services,0,,,
BFLY,Medical,Medical Info Systems,0,13000.0,1. p999999_trade_value,1.0
BG,Basic Materials,Agriculture - Products,0,250000.0,1. p999999_trade_value,1.0
BGC,Finance,Financial - Investment Bank,0,,,
BGFV,Retail-Wholesale,Retail - Miscellaneous,0,,,
BGS,Consumer Staples,Food - Miscellaneous,0,10430.0,7. p90_trade_value,2.0
BHC,Medical,Medical - Generic Drugs,0,,,
BHE,Computer and Technology,Electronics - Manufacturing Services,0,,,
BHF,Finance,Insurance - Life Insurance,0,,,
BHP,Basic Materials,Mining - Miscellaneous,0,,,
BHVN,Medical,Medical - Biomedical and Genetics,0,,,
BIDU,Computer and Technology,Internet - Services,0,388000.0,3. p9999_trade_value,3.0
BIGC,Computer and Technology,Internet - Software,0,,,
BIIB,Medical,Medical - Biomedical and Genetics,0,,,
BILI,Consumer Discretionary,Broadcast Radio and Television,0,,,
BILL,Computer and Technology,Internet - Software,0,,,
BIO,Medical,Medical - Products,0,101250.0,6. p95_trade_value,2.0
BIP,Finance,REIT and Equity Trust - Other,0,8910.0,1. p999999_trade_value,1.0
BIPC,Utilities,Utility - Gas Distribution,0,,,
BIRD,Retail-Wholesale,Retail - Apparel and Shoes,0,,,
BIRK,Consumer Discretionary,Shoes and Retail Apparel ,0,405000.00000000006,1. p999999_trade_value,1.0
BITF,Business Services,Technology Services,0,20000.0,1. p999999_trade_value,1.0
BJ,Consumer Staples,Consumer Products - Staples,0,,,
BJRI,Retail-Wholesale,Retail - Restaurants,0,,,
BK,Finance,Banks - Major Regional,0,9825.0,7. p90_trade_value,45.0
BKD,Medical,Medical - Nursing Homes,0,4000.0,1. p999999_trade_value,1.0
BKE,Retail-Wholesale,Retail - Apparel and Shoes,0,,,
BKKT,Business Services,Technology Services,0,,,
BKNG,Retail-Wholesale,Internet - Commerce,0,,,
BKR,Oils-Energy,Oil and Gas - Field Services,0,84000.0,5. p99_trade_value,3.0
BKSY,Business Services,Technology Services,0,,,
BKU,Finance,Banks - Major Regional,0,3750.0,1. p999999_trade_value,1.0
BL,Computer and Technology,Internet - Software,0,152950.0,1. p999999_trade_value,1.0
BLBD,Auto-Tires-Trucks,Automotive - Domestic,0,,,
BLCO,Medical,Medical Services,0,,,
BLD,Construction,Building Products - Miscellaneous,0,,,
BLDE,Business Services,Technology Services,0,22714.999999999996,1. p999999_trade_value,1.0
BLDR,Retail-Wholesale,Building Products - Retail,0,145000.0,4. p999_trade_value,2.0
BLFS,Medical,Medical - Products,0,,,
BLK,Finance,Financial - Investment Management,0,,,
BLKB,Computer and Technology,Computer - Software,0,7600.0,1. p999999_trade_value,2.0
BLMN,Retail-Wholesale,Retail - Restaurants,0,41580.0,1. p999999_trade_value,1.0
BLND,Computer and Technology,Internet - Software,0,12500.0,1. p999999_trade_value,1.0
BLNK,Computer and Technology,Electronics - Miscellaneous Services,0,7280.0,8. p75_trade_value,2.0
BLRX,Medical,Medical - Drugs,0,3730.0000000000005,1. p999999_trade_value,1.0
BLZE,Computer and Technology,Internet - Software,0,5000.0,1. p999999_trade_value,1.0
BMA,Finance,Banks - Foreign,0,29000.0,1. p999999_trade_value,1.0
BMBL,Computer and Technology,Internet - Software,0,290910.0,5. p99_trade_value,2.0
BMEA,Medical,Medical - Biomedical and Genetics,0,,,
BMI,Computer and Technology,Instruments - Control,0,18720.0,1. p999999_trade_value,1.0
BMO,Finance,Banks - Foreign,0,38400.0,1. p999999_trade_value,1.0
BMRA,Medical,Medical - Drugs,0,,,
BMRN,Medical,Medical - Biomedical and Genetics,0,102000.0,5. p99_trade_value,3.0
BMY,Medical,Medical - Biomedical and Genetics,0,97500.0,5. p99_trade_value,27.0
BN,Finance,Real Estate - Operations,0,,,
BNED,Consumer Discretionary,Consumer Products - Discretionary,0,,,
BNGO,Medical,Medical - Biomedical and Genetics,0,,,
BNS,Finance,Banks - Foreign,0,21000.0,6. p95_trade_value,2.0
BNTX,Medical,Medical - Biomedical and Genetics,0,,,
BOH,Finance,Banks - West,0,,,
BOKF,Finance,Banks - Southwest,0,9900.0,1. p999999_trade_value,1.0
