data_date,security,option_ticker,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-05-28,FBP,O:FBP250620C00005000,2025-06-20,C,5.0,11,11,0,10.0,8
2025-05-12,FBP,O:FBP250620C00017500,2025-06-20,C,17.5,10,1,0,10.0,19
2025-04-23,FBP,O:FBP250620C00017500,2025-06-20,C,17.5,10,1,0,10.0,32
2025-06-06,FBP,O:FBP250620C00020000,2025-06-20,C,20.0,10,1,0,10.0,1
2025-05-23,FBP,O:FBP250620P00015000,2025-06-20,P,15.0,10,1,0,10.0,10
2025-05-23,FBP,O:FBP250620P00017500,2025-06-20,P,17.5,10,1,0,10.0,10
2025-04-21,FBP,O:FBP250620P00017500,2025-06-20,P,17.5,50,1,0,10.0,34
