data_date,security,option_ticker,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-05-30,NMIH,O:NMIH250620C00040000,2025-06-20,C,40.0,23,3,0,21.329,6
2025-04-14,NMIH,O:NMIH250620C00040000,2025-06-20,C,40.0,22,2,0,21.329,38
