data_date,security,option_ticker,expiration,option_type,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-05-13,FNB,O:FNB250620C00015000,2025-06-20,C,60,2,0,0.0,18
2025-05-05,FNB,O:FNB250620C00015000,2025-06-20,C,50,5,0,0.0,24
