data_date,security,option_ticker,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-05-13,NWBI,O:NWBI250620P00012500,2025-06-20,P,12.5,50,1,0,45.7735,18
2025-05-21,NWBI,O:NWBI250718P00012500,2025-07-18,P,12.5,50,1,0,45.7735,12
