security,sector,industry,min_dte,max_dte,qualifying_trades,qualifying_trades_bin,p0_trade_value,p25_trade_value,p75_trade_value,iqr,trad_iqr_trade_value,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
CRM,Computer and Technology,Computer - Software,1,30,43802,1,3002.0000000000005,3888.0,9345.0,5457.0,17530.5,18000.0,28320.0,70754.25,258087.81,1068377.4,3215182.95,4281518.3
CRMD,Medical,Medical - Biomedical and Genetics,2,30,177,7,3060.0,3800.0,6000.0,2200.0,9300.0,8424.0,9577.0,17659.12,78283.69,89840.87,90996.59,91112.16
CRNC,Computer and Technology,Computers - IT Services,2,30,425,5,3010.0,3900.0,7800.0,3900.0,13650.0,13364.0,19060.0,33846.8,82402.4,95720.24,97052.02,97185.2
CRNT,Computer and Technology,Wireless Non-US ,11,30,6,16,3336.0,4000.5,5025.0,1024.5,6561.75,5400.0,5550.0,5670.0,5697.0,5699.7,5699.97,5700.0
CRNX,Medical,Medical - Drugs,7,30,29,12,3160.0,3600.0,10500.0,6900.0,20850.0,19420.8,21141.6,60076.0,73507.6,74850.76,74985.08,74998.51
CRON,Medical,Medical - Drugs,30,30,1,19,4990.000000000001,4990.0,4990.0,0.0,4990.0,4990.0,4990.0,4990.0,4990.0,4990.0,4990.0,4990.0
CROX,Consumer Discretionary,Textile - Apparel,1,30,2798,2,3003.0,3571.25,7727.5,4156.25,13961.875,14960.0,24787.5,81088.7,732855.0,2030918.69,2077107.87,2081726.79
CRS,Basic Materials,Steel - Speciality,1,30,655,4,3010.0,3730.0,9513.0,5783.0,18187.5,17920.0,37000.0,97021.26,193149.17,238262.42,242773.74,243224.87
CRSP,Medical,Medical - Biomedical and Genetics,1,30,1152,3,3010.0,3878.75,8081.25,4202.5,14385.0,13180.0,20000.0,45949.0,258672.57,259870.0,259870.0,259870.0
CRSR,Consumer Discretionary,Gaming,7,30,55,10,3010.0,3903.0,6700.0,2797.0,10895.5,11730.0,14779.8,84350.0,143885.0,149838.5,150433.85,150493.39
CRTO,Computer and Technology,Internet - Software and Services,8,30,52,10,3150.0,3804.0,12022.5,8218.5,24350.25,22923.0,164250.0,1639750.0,2683975.0,2788397.5,2798839.75,2799883.98
CRUS,Computer and Technology,Electronics - Semiconductors,3,30,299,6,3010.0,3900.0,8140.0,4240.0,14500.0,16392.0,27378.0,201197.4,925868.87,1169886.89,1194288.69,1196728.87
CRVL,Business Services,Business - Services,15,24,2,18,4800.0,4975.0,5325.0,350.0,5850.0,5430.0,5465.0,5493.0,5499.3,5499.93,5499.99,5500.0
CRVS,Medical,Medical - Biomedical and Genetics,2,30,144,7,3040.0,3847.5,8107.5,4260.0,14497.5,15122.5,26994.5,182800.0,302840.0,318284.0,319828.4,319982.84
CRWD,Computer and Technology,Security,1,30,68281,1,3002.0,3810.0,8415.0,4605.0,15322.5,15560.0,24400.0,59256.0,206440.0,559092.0,1204745.64,1872808.76
CRWV,Computer and Technology,Internet - Software,1,30,46299,1,3002.0,3880.0,9040.0,5160.0,16780.0,17850.0,29100.0,83302.4,293414.32,795363.03,1814225.45,1853118.54
CSCO,Computer and Technology,Computer - Networking,1,30,4673,2,3002.0000000000005,3776.0,8150.0,4374.0,14711.0,15044.0,22604.0,67170.84,291300.52,832061.4,1154099.04,1186302.8
CSGP,Computer and Technology,Computers - IT Services,1,30,414,5,3040.0,3856.25,7582.5,3726.25,13171.875,13102.5,18551.75,61728.3,288552.96,377047.3,385896.73,386781.67
CSIQ,Oils-Energy,Solar,2,30,251,6,3016.0,3500.0,6550.0,3050.0,11125.0,10200.0,13685.0,22750.0,35220.0,38586.0,38922.6,38956.26
CSL,Conglomerates,Diversified Operations,9,30,24,12,3145.0,3330.0,8045.0,4715.0,15117.5,12150.0,13518.25,15591.1,16094.11,16144.41,16149.44,16149.94
CSTL,Medical,Medical - Biomedical and Genetics,22,29,31,11,3108.0,3960.0,6563.0,2603.0,10467.5,8000.0,9935.0,41860.0,53686.0,54868.6,54986.86,54998.69
CSTM,Industrial Products,Metal Products - Distribution,2,30,42,11,3072.0,4220.0,17242.5,13022.5,36776.25,94800.0,149193.0,223000.38,249893.84,252583.18,252852.12,252879.01
CSWC,Finance,Financial - Investment Management,17,17,3,17,3100.0,3100.0,3410.0,310.0,3875.0,3596.0,3658.0,3707.6,3718.76,3719.88,3719.99,3720.0
CSX,Transportation,Transportation - Rail,1,30,231,6,3050.0,3739.5,7777.5,4038.0,13834.5,19600.0,60637.5,98548.8,346350.0,399135.0,404413.5,404941.35
CTAS,Business Services,Business - Services,1,30,678,4,3008.0,3700.75,8486.25,4785.5,15664.5,18768.0,30304.35,130999.2,305251.98,315159.2,316149.92,316248.99
CTEV,Medical,Medical Info Systems,18,29,5,16,4950.0,5280.0,8800.0,3520.0,14080.0,12892.0,14256.0,15347.2,15592.72,15617.27,15619.73,15619.97
CTLP,Business Services,Financial Transaction Services,17,24,4,16,3168.0,3222.0,3666.25,444.25,4332.625,3866.5,3933.25,3986.65,3998.67,3999.87,3999.99,4000.0
CTMX,Medical,Medical - Biomedical and Genetics,11,29,5,16,3075.0,3120.0,5355.0,2235.0,8707.5,8946.0,10143.0,11100.6,11316.06,11337.61,11339.76,11339.98
CTO,Finance,REIT and Equity Trust - Other,28,28,1,19,3465.0,3465.0,3465.0,0.0,3465.0,3465.0,3465.0,3465.0,3465.0,3465.0,3465.0,3465.0
CTRA,Oils-Energy,Oil and Gas - Exploration and Production - United States,1,30,101,8,3015.0,3780.0,8970.0,5190.0,16755.0,15350.0,25449.0,33000.0,104064.0,111170.4,111881.04,111952.1
CTRE,Finance,REIT and Equity Trust - Other,8,11,2,18,3410.0,4107.5,5502.5,1395.0,7595.0,5921.0,6060.5,6172.1,6197.21,6199.72,6199.97,6200.0
CTRI,Utilities,Utility - Electric Power,7,7,8,15,3200.0,4475.0,7500.0,3025.0,12037.5,9450.0,9975.0,10395.0,10489.5,10498.95,10499.9,10499.99
CTRN,Retail-Wholesale,Retail - Apparel and Shoes,3,25,22,12,3179.9999999999995,3355.0,7250.0,3895.0,13092.5,8270.0,10390.0,11290.0,11479.0,11497.9,11499.79,11499.98
CTSH,Computer and Technology,Computers - IT Services,1,30,392,5,3006.0,3777.5,9450.0,5672.5,17958.75,21009.0,29650.5,131507.05,224706.0,236670.6,237867.06,237986.71
CTVA,Consumer Staples,Agriculture - Operations,1,30,100,8,3055.0,4000.0,7335.0,3335.0,12337.5,15194.7,21378.0,52252.96,65525.3,66852.53,66985.25,66998.53
CTXR,Medical,Medical - Drugs,11,17,5,16,3150.0,3260.0,4000.0,740.0,5110.0,4057.0,4076.0,4091.2,4094.62,4094.96,4095.0,4095.0
CUBE,Finance,REIT and Equity Trust - Other,23,25,2,18,3700.0,3875.0,4225.0,350.0,4750.0,4330.0,4365.0,4393.0,4399.3,4399.93,4399.99,4400.0
CUBI,Finance,Banks - Southeast,1,30,48,10,3080.0000000000005,3882.5,8322.75,4440.25,14983.125,14172.0,28180.0,45300.0,49530.0,49953.0,49995.3,49999.53
CUK,Consumer Discretionary,Leisure and Recreation Services,24,29,3,17,3264.0,3852.0,4970.0,1118.0,6647.0,5288.0,5394.0,5478.8,5497.88,5499.79,5499.98,5500.0
CURI,Consumer Discretionary,Film and Television Production and Distribution,14,14,1,19,4200.0,4200.0,4200.0,0.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0
CURV,Retail-Wholesale,Retail - Apparel and Shoes,17,29,2,18,3125.0,8593.75,19531.25,10937.5,35937.5,22812.5,23906.25,24781.25,24978.13,24997.81,24999.78,24999.98
CUZ,Finance,REIT and Equity Trust - Other,22,22,1,19,4823.999999999999,4824.0,4824.0,0.0,4824.0,4824.0,4824.0,4824.0,4824.0,4824.0,4824.0,4824.0
CVAC,Medical,Medical - Biomedical and Genetics,11,11,4,17,3165.0,3277.5,10316.25,7038.75,20874.375,16978.5,19199.25,20975.85,21375.59,21415.56,21419.56,21419.96
CVCO,Construction,Building Products - Mobile Homes and RV Builders,8,29,51,10,3400.0,3700.0,6355.0,2655.0,10337.5,12980.0,20820.0,123900.0,187530.0,193893.0,194529.3,194592.93
CVE,Oils-Energy,Oil and Gas - Integrated - Canadian,2,30,111,8,3015.0,3825.0,7884.5,4059.5,13973.75,12900.0,20930.0,87644.0,95646.0,95784.6,95798.46,95799.85
CVEO,Consumer Discretionary,Hotels and Motels,10,10,1,20,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
CVGW,Consumer Staples,Agriculture - Operations,3,23,14,14,3102.0,3584.25,5075.75,1491.5,7313.0,8267.5,9191.25,9438.25,9493.83,9499.38,9499.94,9499.99
CVI,Oils-Energy,Oil and Gas - Refining and Marketing,1,30,64,10,3100.0,3975.0,8825.5,4850.5,16101.25,34752.0,134900.0,193800.6,235407.06,239567.71,239983.77,240025.38
CVLT,Computer and Technology,Computer - Software,7,30,1488,3,3010.0,4128.75,9752.5,5623.75,18188.125,19810.0,27440.0,59964.6,635214.5,880606.54,898780.65,900598.07
CVNA,Retail-Wholesale,Internet - Commerce,1,30,83695,1,3002.0,4000.0,11424.0,7424.0,22560.0,26278.8,46860.9,149718.0,469286.51,1427210.55,5214306.44,8283030.64
CVRX,Medical,Medical - Instruments,8,28,12,14,3290.0,4500.0,228750.0,224250.0,565125.0,402000.0,420000.0,420000.0,420000.0,420000.0,420000.0,420000.0
CVS,Medical,Medical Services,1,30,6329,2,3002.0,3654.0,7878.0,4224.0,14214.0,14263.0,23172.0,84813.8,337208.25,700196.0,731519.6,734651.96
CVX,Oils-Energy,Oil and Gas - Integrated - International,1,30,8062,1,3002.0,3680.0,7800.0,4120.0,13980.0,14218.0,22048.6,54835.1,221318.93,462017.48,631201.75,648120.17
CW,Aerospace,Aerospace - Defense Equipment,1,30,157,7,3060.0,3600.0,8910.0,5310.0,16875.0,16200.0,23205.0,32781.4,39097.5,39711.75,39773.18,39779.32
CWAN,Computer and Technology,Internet - Software,2,30,27,12,3069.0,4007.5,7372.5,3365.0,12420.0,9480.0,9684.0,31180.0,37966.0,38644.6,38712.46,38719.25
CWEN,Oils-Energy,Alternative Energy - Other,1,28,34,11,3045.0,4290.0,8992.5,4702.5,16046.25,12390.0,16817.25,29089.61,32589.16,32939.12,32974.11,32977.61
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,1,30,142,8,3040.0,3705.0,8107.5,4402.5,14711.25,20149.0,59775.0,386297.4,614079.76,630657.98,632315.8,632481.58
CWK,Finance,Real Estate - Operations,14,30,7,15,3410.0,4035.0,32980.0,28945.0,76397.5,108000.0,144000.0,172800.0,179280.0,179928.0,179992.8,179999.28
CWST,Business Services,Waste Removal Services,14,30,42,11,3024.0,3234.0,5178.5,1944.5,8095.25,7097.5,8170.25,9836.0,9983.6,9998.36,9999.84,9999.98
CX,Construction,Building Products - Concrete and Aggregates,15,30,23,12,3250.0,3588.0,7388.0,3800.0,13088.0,16877.2,17960.0,62460.0,73746.0,74874.6,74987.46,74998.75
CXAI,Business Services,Technology Services,7,28,4,17,3750.0,3862.5,5395.0,1532.5,7693.75,6790.0,7255.0,7627.0,7710.7,7719.07,7719.91,7719.99
CXDO,Computer and Technology,Internet - Services,29,29,1,20,7350.0,7350.0,7350.0,0.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
CXM,Business Services,Technology Services,8,17,6,16,3100.0,3825.0,6290.0,2465.0,9987.5,9420.0,10710.0,11742.0,11974.2,11997.42,11999.74,11999.97
CXT,Business Services,Technology Services,15,15,1,19,3600.0,3600.0,3600.0,0.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
CXW,Finance,REIT and Equity Trust - Other,4,30,138,8,3020.0000000000005,3780.0,6780.0,3000.0,11280.0,11231.5,16129.1,95025.0,145890.0,149589.0,149958.9,149995.89
CYBN,Medical,Medical - Biomedical and Genetics,16,30,8,15,3290.0,3450.0,5097.5,1647.5,7568.75,6773.0,8386.5,9677.3,9967.73,9996.77,9999.68,9999.97
CYBR,Computer and Technology,Security,1,30,826,4,3003.0,3663.75,9360.0,5696.25,17904.375,14975.0,23550.0,70875.0,172067.5,176596.75,177049.68,177094.97
CYD,Auto-Tires-Trucks,Automotive - Original Equipment,1,30,27,12,3120.0000000000005,3875.0,7185.0,3310.0,12150.0,12600.0,13850.0,14740.0,14974.0,14997.4,14999.74,14999.97
CYH,Medical,Medical - Hospital,9,29,58,10,3010.0,4000.0,8966.25,4966.25,16415.625,18305.0,23739.75,34708.5,40325.85,40887.59,40943.76,40949.38
CYRX,Transportation,Transportation - Services,9,9,1,20,3690.0,3690.0,3690.0,0.0,3690.0,3690.0,3690.0,3690.0,3690.0,3690.0,3690.0,3690.0
CYTK,Medical,Medical - Biomedical and Genetics,1,30,282,6,3045.0000000000005,3850.0,7500.0,3650.0,12975.0,12725.0,20975.0,73785.0,191102.24,228774.22,232541.42,232918.14
CZR,Consumer Discretionary,Leisure and Recreation Services,1,30,1331,3,3003.0,3650.0,8000.0,4350.0,14525.0,14432.0,23088.0,151750.0,665752.25,714680.0,719468.0,719946.8
D,Utilities,Utility - Electric Power,3,30,165,7,3060.0,3960.0,9880.0,5920.0,18760.0,18215.4,24216.8,48195.36,132790.54,146695.05,148085.51,148224.55
DAC,Transportation,Transportation - Shipping,3,30,16,13,3050.0,3200.0,4862.5,1662.5,7356.25,5250.0,6375.0,8715.0,9241.5,9294.15,9299.42,9299.94
DADA,Retail-Wholesale,Internet - Commerce,10,25,4,17,3015.0,4406.25,6300.0,1893.75,9140.625,7560.0,7980.0,8316.0,8391.6,8399.16,8399.92,8399.99
DAKT,Computer and Technology,Electronics - Miscellaneous Products,10,28,23,12,3060.0,4334.0,8005.0,3671.0,13511.5,41000.0,42500.0,79479.8,88866.98,89805.7,89899.57,89908.96
DAL,Transportation,Transportation - Airline,1,30,6913,2,3002.0,3738.0,8000.0,4262.0,14393.0,15297.6,24695.4,82452.48,701483.2,1490141.99,1813877.4,1846250.94
DAN,Auto-Tires-Trucks,Automotive - Original Equipment,1,30,145,7,3060.0,4125.0,9980.0,5855.0,18762.5,17617.2,22046.0,83564.76,104967.42,107786.74,108068.67,108096.87
DAO,Business Services,Technology Services,16,25,4,17,3600.0,3600.0,4497.5,897.5,5843.75,5303.0,5571.5,5786.3,5834.63,5839.46,5839.95,5839.99
DAR,Consumer Staples,Food - Miscellaneous,1,30,170,7,3010.0,3663.0,8063.0,4400.0,14663.0,14063.0,29345.55,62108.0,76107.2,77810.72,77981.07,77998.11
DASH,Computer and Technology,Internet - Services,1,30,10923,1,3003.0,3890.0,9355.0,5465.0,17552.5,17747.8,29593.2,79205.3,418822.0,1065333.2,1146153.18,1154115.32
DAVA,Computer and Technology,Computers - IT Services,2,30,29,12,3060.0,3600.0,8715.0,5115.0,16387.5,20125.0,21570.0,23460.0,23901.0,23945.1,23949.51,23949.95
DAVE,Business Services,Technology Services,1,30,933,4,3006.0,3780.0,9707.0,5927.0,18597.5,15480.0,29670.0,74400.0,198769.4,282271.94,290622.19,291457.22
DAWN,Medical,Medical - Biomedical and Genetics,7,30,18,13,3010.0,3752.5,6725.0,2972.5,11183.75,8343.3,10864.35,13372.87,13937.29,13993.73,13999.37,13999.94
DAY,Computer and Technology,Internet - Software,2,30,38,11,3174.0,3720.0,5816.25,2096.25,8960.625,8946.0,10366.0,18152.3,19554.23,19694.42,19708.44,19709.84
DB,Finance,Banks - Foreign,3,30,239,6,3015.0,3900.0,7500.0,3600.0,12900.0,13390.0,17753.7,49965.6,116829.48,129582.95,130858.29,130985.83
DBD,Computer and Technology,Internet - Software,29,30,24,12,3080.0000000000005,3420.0,4070.0,650.0,5045.0,4500.0,4542.5,4954.25,5062.92,5073.79,5074.88,5074.99
DBI,Retail-Wholesale,Retail - Apparel and Shoes,2,30,28,12,3404.9999999999995,4500.0,11757.0,7257.0,22642.5,35479.0,63900.0,83520.0,89352.0,89935.2,89993.52,89999.35
DBRG,Finance,REIT and Equity Trust,2,30,165,7,3010.0,3600.0,8200.0,4600.0,15100.0,20304.0,38270.0,137600.0,169697.6,171409.76,171580.98,171598.1
DBX,Computer and Technology,Internet - Services,1,30,380,5,3010.0,3847.5,8641.25,4793.75,15831.875,17481.5,35008.8,192600.0,529642.0,666764.2,680476.42,681847.64
DC,Basic Materials,Mining - Gold,10,10,1,20,3237.0000000000005,3237.0,3237.0,0.0,3237.0,3237.0,3237.0,3237.0,3237.0,3237.0,3237.0,3237.0
DCGO,Medical,Medical Services,8,21,5,16,3570.0000000000005,3600.0,3790.0,190.0,4075.0,5716.0,6358.0,6871.6,6987.16,6998.72,6999.87,6999.99
DCI,Industrial Products,Pollution Control,10,23,3,17,3500.0,4500.0,6845.0,2345.0,10362.5,7652.0,7921.0,8136.2,8184.62,8189.46,8189.95,8189.99
DCO,Aerospace,Aerospace - Defense Equipment,11,28,4,17,6300.0,9345.0,12075.0,2730.0,16170.0,14910.0,15855.0,16611.0,16781.1,16798.11,16799.81,16799.98
DCOM,Finance,Banks - Southeast,25,25,2,18,5664.0,5868.0,6276.0,408.0,6888.0,6398.4,6439.2,6471.84,6479.18,6479.92,6479.99,6480.0
DCTH,Medical,Medical - Instruments,16,30,14,14,3015.9999999999995,3406.25,5875.0,2468.75,9578.125,7470.0,8229.5,8421.9,8465.19,8469.52,8469.95,8470.0
DD,Basic Materials,Chemical - Diversified ,1,30,574,4,3015.0,3526.25,8557.5,5031.25,16104.375,16400.0,26085.8,85530.24,150281.82,150622.18,150656.22,150659.62
DDD,Industrial Products,Commercial Printing,18,29,9,15,3015.9999999999995,4000.0,7230.0,3230.0,12075.0,8031.0,9513.0,10698.6,10965.36,10992.04,10994.7,10994.97
DDOG,Computer and Technology,Internet - Software,1,30,15297,1,3002.0,3810.0,8784.0,4974.0,16245.0,16005.0,26305.0,85010.4,383520.0,931403.2,1287539.68,1341503.97
DE,Industrial Products,Manufacturing - Farm Equipment,1,30,5768,2,3004.9999999999995,3819.0,8225.75,4406.75,14835.875,14922.0,23320.0,52299.5,153394.49,977700.38,1555770.04,1613577.0
DEA,Finance,REIT and Equity Trust - Other,24,24,1,19,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
DECK,Retail-Wholesale,Retail - Apparel and Shoes,1,30,6624,2,3002.0000000000005,3750.0,9052.5,5302.5,17006.25,18700.0,31470.5,174424.5,686032.0,1219132.4,1464713.24,1489271.32
DEI,Finance,REIT and Equity Trust - Other,8,29,22,13,3120.0,3707.5,7293.75,3586.25,12673.125,14532.0,17546.0,19512.8,19951.28,19995.13,19999.51,19999.95
DELL,Computer and Technology,Computer - Micro Computers,1,30,29963,1,3002.0,3822.0,8898.5,5076.5,16513.25,16524.0,25497.6,64816.16,202891.4,496711.12,612461.38,647146.14
DEO,Consumer Staples,Beverages - Alcohol,2,30,110,8,3025.0,3693.75,7248.75,3555.0,12581.25,11500.0,15173.0,34503.3,46192.55,47369.25,47486.93,47498.69
DFDV,Computer and Technology,Internet - Software,7,21,54,10,3020.0,3875.75,7200.0,3324.25,12186.375,12705.0,18076.5,36367.5,48411.75,49616.18,49736.62,49748.66
DFH,Construction,Building Products - Home Builders,11,29,14,14,4000.0,4198.75,7425.0,3226.25,12264.375,15540.0,21092.5,25018.5,25901.85,25990.18,25999.02,25999.9
DFIN,Computer and Technology,Internet - Software and Services,24,24,1,20,15000.0,15000.0,15000.0,0.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
DG,Retail-Wholesale,Retail - Discount Stores,1,30,5775,2,3002.0,3780.0,8675.0,4895.0,16017.5,16104.6,24782.2,84822.0,385625.67,1081190.44,1201619.04,1213661.9
DGX,Medical,Medical - Outpatient and Home Healthcare,3,30,352,5,3010.0,3900.0,9845.5,5945.5,18763.75,16942.5,32995.0,257150.0,393774.0,433577.4,437557.74,437955.77
DHI,Construction,Building Products - Home Builders,1,30,2492,2,3003.0,3750.0,8320.0,4570.0,15175.0,15168.0,22928.0,63356.3,343467.44,480752.7,481425.27,481492.53
DHR,Medical,Medical Services,1,30,2673,2,3010.0,3750.0,8610.0,4860.0,15900.0,15227.6,26250.0,93037.28,380145.5,538225.2,576042.12,579823.81
DHT,Transportation,Transportation - Shipping,7,30,50,10,3060.0,3370.0,6331.25,2961.25,10773.125,12594.2,14527.5,55863.42,59586.34,59958.63,59995.86,59999.59
DIN,Retail-Wholesale,Retail - Restaurants,10,30,20,13,3060.0,4208.0,12402.75,8194.75,24694.875,28008.0,28158.75,29355.75,29625.08,29652.01,29654.7,29654.97
DINO,Oils-Energy,Oil and Gas - Refining and Marketing,3,30,172,7,3010.0,3640.0,8400.0,4760.0,15540.0,15750.0,24835.0,61057.36,67355.12,68025.51,68092.55,68099.26
DIOD,Computer and Technology,Electronics - Semiconductors,8,30,15,14,3474.0,4470.0,7050.0,2580.0,10920.0,9812.0,19054.0,34050.8,37425.08,37762.51,37796.25,37799.63
DIS,Consumer Discretionary,Media Conglomerates,1,30,14558,1,3002.0,3783.0,8320.0,4537.0,15125.5,15750.0,24779.6,75068.9,295258.63,601132.15,790240.39,807538.04
DJT,Computer and Technology,Internet - Software,1,30,64274,1,3002.0,3859.25,9150.0,5290.75,17086.125,17600.0,28363.85,74085.4,427842.57,1257434.27,2962095.82,3560509.58
DK,Oils-Energy,Oil and Gas - Refining and Marketing,7,29,53,10,3300.0,4650.0,14000.0,9350.0,28025.0,16830.0,63892.0,71480.0,71948.0,71994.8,71999.48,71999.95
DKL,Oils-Energy,Oil and Gas - Production Pipeline - MLB,8,30,6,16,3315.0,13907.5,29760.0,15852.5,53538.75,32340.0,32670.0,32934.0,32993.4,32999.34,32999.93,32999.99
DKNG,Consumer Discretionary,Gaming,1,30,8676,1,3002.0,3737.0,8282.5,4545.5,15100.75,15571.5,24612.5,89460.0,374172.68,714660.94,731389.29,733062.13
DKS,Retail-Wholesale,Retail - Miscellaneous,1,30,4283,2,3003.0,3960.0,9300.0,5340.0,17310.0,17392.0,26780.0,90900.0,584840.67,1639831.8,1909983.18,1936998.32
DLB,Consumer Discretionary,Audio Video Production,15,23,2,18,4500.0,4915.0,5745.0,830.0,6990.0,5994.0,6077.0,6143.4,6158.34,6159.83,6159.98,6160.0
DLHC,Business Services,Staffing Firms,14,14,1,20,9000.0,9000.0,9000.0,0.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0
DLO,Business Services,Financial Transaction Services,2,30,81,9,3080.0000000000005,3975.0,10300.0,6325.0,19787.5,22000.0,27900.0,36000.0,39600.0,39960.0,39996.0,39999.6
DLR,Finance,REIT and Equity Trust - Other,1,30,975,3,3009.0,3770.0,8350.0,4580.0,15220.0,14166.0,22620.0,46094.0,208675.21,568594.02,604585.9,608185.09
DLTR,Retail-Wholesale,Retail - Discount Stores,1,30,7443,1,3002.0000000000005,3630.0,7830.0,4200.0,14130.0,14898.0,24636.0,118622.8,623865.0,2750640.0,2750640.0,2750640.0
DLX,Business Services,Business - Office Products,28,28,1,19,4148.0,4148.0,4148.0,0.0,4148.0,4148.0,4148.0,4148.0,4148.0,4148.0,4148.0,4148.0
DMRC,Industrial Products,Security and Safety Services,1,29,40,11,3060.0,3331.5,5101.25,1769.75,7755.875,8190.0,9604.0,14982.0,17158.2,17375.82,17397.58,17399.76
DNA,Medical,Medical - Biomedical and Genetics,2,30,172,7,3010.0,3811.25,7155.0,3343.75,12170.625,12337.5,16360.0,41851.8,156659.58,171590.96,173084.1,173233.41
DNB,Business Services,Business - Information Services,2,30,66,9,3254.9999999999995,3797.5,9030.0,5232.5,16878.75,20836.5,26719.0,60437.0,77881.7,79626.17,79800.62,79818.06
DNLI,Medical,Medical - Biomedical and Genetics,8,29,12,14,3190.0,3475.0,32750.0,29275.0,76662.5,58100.0,78000.0,95600.0,99560.0,99956.0,99995.6,99999.56
DNN,Basic Materials,Mining - Miscellaneous,3,30,26,12,3050.0,4373.75,24000.0,19626.25,53439.375,31000.0,38000.0,55000.0,59500.0,59950.0,59995.0,59999.5
DNOW,Industrial Products,Manufacturing - General Industrial ,4,9,2,18,4470.0,4477.5,4492.5,15.0,4515.0,4497.0,4498.5,4499.7,4499.97,4500.0,4500.0,4500.0
DNTH,Medical,Medical - Biomedical and Genetics,17,30,5,16,3075.0,15820.0,22190.0,6370.0,31745.0,24626.0,25438.0,26087.6,26233.76,26248.38,26249.84,26249.98
DNUT,Consumer Staples,Consumer Products - Staples,9,29,13,14,3080.0,4500.0,7530.0,3030.0,12075.0,10608.0,33082.0,59508.4,65454.34,66048.93,66108.39,66114.34
DOC,Finance,REIT and Equity Trust - Other,24,30,62,10,3120.0,3907.5,6596.25,2688.75,10629.375,13689.0,16550.4,32811.48,42656.15,43640.61,43739.06,43748.91
DOCN,Computer and Technology,Internet - Software,2,30,618,4,3024.0,4005.0,9307.5,5302.5,17261.25,16910.0,30010.5,47169.9,68830.0,74383.0,74938.3,74993.83
DOCS,Medical,Medical Services,1,30,1617,3,3003.0,3800.0,8370.0,4570.0,15225.0,15205.2,21636.0,51378.0,174600.0,280874.18,296638.42,298214.84
DOCU,Computer and Technology,Internet - Software,1,30,3991,2,3002.9999999999995,3800.0,8000.0,4200.0,14300.0,15440.0,22646.0,51741.4,170130.0,361076.74,380015.67,381909.57
DOLE,Consumer Staples,Agriculture - Operations,14,14,1,19,3840.0000000000005,3840.0,3840.0,0.0,3840.0,3840.0,3840.0,3840.0,3840.0,3840.0,3840.0,3840.0
DOMO,Computer and Technology,Internet - Software,16,30,27,12,3078.0,3410.0,7419.0,4009.0,13432.5,11570.0,23237.0,38319.0,41559.9,41883.99,41916.4,41919.64
DOOO,Auto-Tires-Trucks,Automotive - Original Equipment,11,29,11,14,3100.0,4639.5,14000.0,9360.5,28040.75,17370.0,22095.0,25875.0,26725.5,26810.55,26819.06,26819.91
DORM,Auto-Tires-Trucks,Automotive - Replacement Parts,9,30,8,15,3100.0,3911.25,13125.0,9213.75,26945.625,31500.0,33250.0,34650.0,34965.0,34996.5,34999.65,34999.96
DOUG,Finance,Real Estate - Operations,16,16,1,20,4700.0,4700.0,4700.0,0.0,4700.0,4700.0,4700.0,4700.0,4700.0,4700.0,4700.0,4700.0
DOV,Industrial Products,Manufacturing - General Industrial ,1,30,255,6,3010.0,3661.5,16032.0,12370.5,34587.75,47210.4,93033.5,148380.0,352202.0,383520.2,386652.02,386965.2
DOW,Basic Materials,Chemical - Diversified ,1,30,759,4,3008.0,3646.5,8212.5,4566.0,15061.5,16300.0,26797.5,57610.98,129502.0,150650.2,152765.02,152976.5
DOX,Computer and Technology,Computers - IT Services,3,30,9,15,3394.9999999999995,4500.0,7000.0,2500.0,10750.0,21400.0,33200.0,42640.0,44764.0,44976.4,44997.64,44999.76
DOYU,Consumer Discretionary,Gaming,1,3,2,18,5200.0,5225.0,5275.0,50.0,5350.0,5290.0,5295.0,5299.0,5299.9,5299.99,5300.0,5300.0
DPZ,Retail-Wholesale,Retail - Restaurants,1,30,2687,2,3010.0,3760.0,8677.5,4917.5,16053.75,17844.0,27988.0,72062.0,192287.76,612268.38,622556.84,623585.68
DQ,Basic Materials,Chemical - Specialty,1,30,287,6,3040.0,4000.0,10424.5,6424.5,20061.25,25000.0,41163.0,95045.6,104142.0,104914.2,104991.42,104999.14
DRD,Basic Materials,Mining - Gold,25,29,4,17,5000.0,7527.5,22000.0,14472.5,43708.75,25600.0,26800.0,27760.0,27976.0,27997.6,27999.76,27999.98
