security,sector,industry,min_dte,max_dte,qualifying_trades,qualifying_trades_bin,p0_trade_value,p25_trade_value,p75_trade_value,iqr,trad_iqr_trade_value,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
A,Medical,Medical - Products,2,30,585,4,3010.0,3690.0,8575.0,4885.0,15902.5,17500.0,30696.0,144761.28,306042.05,352716.9,357384.39,357851.14
AA,Industrial Products,Metal Products - Distribution,1,30,1635,3,3002.0000000000005,3702.5,8461.5,4759.0,15600.0,17360.8,30453.3,107620.0,840000.0,840000.0,840000.0,840000.0
AAL,Transportation,Transportation - Airline,1,30,4083,2,3002.0,3800.0,8217.5,4417.5,14843.75,14817.4,23834.0,87637.48,817032.0,1012641.6,1127264.16,1138726.42
AAOI,Computer and Technology,Electronics - Semiconductors,1,30,1826,3,3010.0,3840.0,9081.0,5241.0,16942.5,18000.0,26803.75,51815.0,276394.5,365325.94,382839.09,384590.41
AAON,Construction,Building Products - Air Conditioner and Heating,8,29,59,10,3050.0,5640.0,20500.0,14860.0,42790.0,35697.6,49727.5,61050.0,62355.0,62485.5,62498.55,62499.85
AAP,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,1,30,1663,3,3002.0000000000005,3750.0,8000.0,4250.0,14375.0,14290.6,24192.4,67657.08,238815.14,308854.32,321135.43,322363.54
AAPL,Computer and Technology,Computer - Micro Computers,1,30,435787,1,3002.0,3850.0,8930.0,5080.0,16550.0,16600.0,25350.0,64500.0,246036.17,787365.92,1645436.63,2375785.86
AB,Finance,Financial - Investment Management,16,30,11,14,3079.9999999999995,4165.0,13012.5,8847.5,26283.75,16000.0,19250.0,21850.0,22435.0,22493.5,22499.35,22499.94
ABAT,Computer and Technology,Electronics - Miscellaneous Products,11,25,21,13,3075.0,4050.0,5215.0,1165.0,6962.5,6895.0,7000.0,7800.0,7980.0,7998.0,7999.8,7999.98
ABBV,Medical,Large Cap Pharmaceuticals,1,30,7140,1,3002.9999999999995,3750.0,8400.0,4650.0,15375.0,15498.2,24454.35,71902.5,324818.51,1247149.8,1258714.98,1259871.5
ABCL,Medical,Medical - Biomedical and Genetics,9,30,3,17,3140.0,3290.0,5095.0,1805.0,7802.5,6088.0,6419.0,6683.8,6743.38,6749.34,6749.93,6749.99
ABEO,Medical,Medical - Biomedical and Genetics,11,30,42,11,3240.0,3862.5,7175.0,3312.5,12143.75,11870.0,14520.0,24242.72,27271.47,27574.35,27604.63,27607.66
ABG,Retail-Wholesale,Automotive - Retail and Whole Sales,9,30,25,12,3105.0,4000.0,8800.0,4800.0,16000.0,31500.0,46620.0,56936.0,58793.6,58979.36,58997.94,58999.79
ABL,Finance,Insurance - Life Insurance,11,11,1,20,3060.0,3060.0,3060.0,0.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0
ABM,Business Services,Business - Services,4,29,17,13,3100.0,3630.0,7500.0,3870.0,13305.0,14300.0,44000.0,120800.0,138080.0,139808.0,139980.8,139998.08
ABNB,Consumer Discretionary,Leisure and Recreation Services,1,30,9314,1,3002.0,3800.0,8629.5,4829.5,15873.75,16800.0,27417.5,118540.35,359987.8,793032.33,1251553.23,1297405.32
ABR,Finance,REIT and Equity Trust,1,30,259,6,3007.0,4004.0,9655.0,5651.0,18131.5,29251.2,72613.5,170644.5,290490.0,312549.0,314754.9,314975.49
ABSI,Medical,Medical - Biomedical and Genetics,2,30,42,11,3020.0000000000005,3535.0,6405.0,2870.0,10710.0,7436.0,7956.0,13971.24,16752.02,17030.1,17057.91,17060.69
ABT,Medical,Medical - Products,1,30,2260,2,3002.9999999999995,3712.0,7204.0,3492.0,12442.0,13992.8,21400.0,70835.79,397731.63,451674.8,457367.48,457936.75
ABUS,Medical,Medical - Biomedical and Genetics,1,10,3,17,3330.0000000000005,3855.0,5355.0,1500.0,7605.0,5940.0,6135.0,6291.0,6326.1,6329.61,6329.96,6330.0
ACA,Construction,Building Products - Miscellaneous,7,24,11,14,3400.0,6962.5,23500.0,16537.5,48306.25,46575.0,60637.5,71887.5,74418.75,74671.88,74697.19,74699.72
ACAD,Medical,Medical - Biomedical and Genetics,2,30,93,9,3115.0,3705.0,5950.0,2245.0,9317.5,10728.0,27958.0,141940.0,151669.0,152641.9,152739.19,152748.92
ACB,Medical,Medical - Products,2,30,45,10,3068.0,3500.0,5544.0,2044.0,8610.0,12704.2,19196.0,21784.72,22957.67,23074.97,23086.7,23087.87
ACDC,Oils-Energy,Oil and Gas - Field Services,3,29,21,13,3240.0,3600.0,5000.0,1400.0,7100.0,7440.0,11025.0,11949.0,12156.9,12177.69,12179.77,12179.98
ACGL,Finance,Insurance - Property and Casualty,4,30,127,8,3024.0,3700.0,5750.0,2050.0,8825.0,8505.0,13828.5,30421.3,50601.15,53093.12,53342.31,53367.23
ACHC,Medical,Medical - Hospital,2,30,178,7,3025.0,3842.5,10275.0,6432.5,19923.75,16824.4,34262.0,101304.4,193904.16,198670.42,199147.04,199194.7
