security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
BBAR,Finance,Banks - Foreign,10__0,10,3,0.0,8. p75_trade_value,7200.0,8190.000000000001,O:BBAR250221P00020000,BBAR,P,20.0,2025-02-21,209,0,325,0.8,1738595664079000000,90,7200.0,2025-02-03,3000.0,30,True,Automatic Execution,Finance,Banks - Foreign,21.13,21.9823,20.9273,21.51,4,3.8573324964312685,20,4,1,1,1,0
BBAR,Finance,Banks - Foreign,10__0,10,3,0.0,8. p75_trade_value,7200.0,8190.000000000001,O:BBAR250417P00017000,BBAR,P,17.0,2025-04-17,209,0,325,0.91,1742304818488000000,90,8190.000000000001,2025-03-18,3000.0,30,True,Automatic Execution,Finance,Banks - Foreign,18.3,18.3,17.41,17.63,3,3.9132839017604186,20,3,1,0,0,0
BBVA,Finance,Banks - Foreign,15__0,15,3,0.0,7. p90_trade_value,17500.0,35000.0,O:BBVA241115C00010000,BBVA,C,10.0,2024-11-15,209,0,325,0.35,1729690284670000000,500,17500.0,2024-10-23,3000.0,30,True,Automatic Execution,Finance,Banks - Foreign,9.85,9.9,9.78,9.81,5,4.243038048686294,20,3,1,0,0,0
BBVA,Finance,Banks - Foreign,15__0,15,3,0.0,7. p90_trade_value,17500.0,35000.0,O:BBVA241115C00010000,BBVA,C,10.0,2024-11-15,209,0,325,0.35,1729690292640000000,500,17500.0,2024-10-23,3000.0,30,True,Automatic Execution,Finance,Banks - Foreign,9.85,9.9,9.78,9.81,6,4.243038048686294,20,3,1,0,0,0
BBVA,Finance,Banks - Foreign,15__0,15,3,0.0,7. p90_trade_value,17500.0,35000.0,O:BBVA241115C00010000,BBVA,C,10.0,2024-11-15,209,0,325,0.35,1729690298066000000,1000,35000.0,2024-10-23,3000.0,30,True,Automatic Execution,Finance,Banks - Foreign,9.85,9.9,9.78,9.81,3,4.544068044350276,20,2,1,0,0,0
BBVA,Finance,Banks - Foreign,15__0,15,3,0.0,8. p75_trade_value,10010.0,17430.0,O:BBVA241115C00010000,BBVA,C,10.0,2024-11-15,209,0,315,0.35,1729690298066000000,498,17430.0,2024-10-23,3000.0,30,True,Automatic Execution,Finance,Banks - Foreign,9.85,9.9,9.78,9.81,7,4.241297387109993,20,4,1,0,0,0
BBVA,Finance,Banks - Foreign,15__0,15,3,0.0,8. p75_trade_value,10010.0,17430.0,O:BBVA241115C00010000,BBVA,C,10.0,2024-11-15,209,0,322,0.35,1729690276773000000,292,10219.999999999998,2024-10-23,3000.0,30,True,Automatic Execution,Finance,Banks - Foreign,9.85,9.9,9.78,9.81,8,4.009450895798694,20,4,1,0,0,0
BBVA,Finance,Banks - Foreign,15__0,15,3,0.0,7. p90_trade_value,17500.0,35000.0,O:BBVA241115C00010000,BBVA,C,10.0,2024-11-15,209,0,322,0.35,1729690298066000000,500,17500.0,2024-10-23,3000.0,30,True,Automatic Execution,Finance,Banks - Foreign,9.85,9.9,9.78,9.81,4,4.243038048686294,20,2,1,0,0,0
BBVA,Finance,Banks - Foreign,15__0,15,3,0.0,8. p75_trade_value,10010.0,17430.0,O:BBVA241115C00010000,BBVA,C,10.0,2024-11-15,219,0,301,0.35,1729776624248000000,286,10010.0,2024-10-24,3000.0,30,True,Intermarket Sweep Order,Finance,Banks - Foreign,9.87,9.89,9.74,9.82,9,4.000434077479318,20,5,1,0,0,0
BBVA,Finance,Banks - Foreign,15__0,15,3,0.0,6. p95_trade_value,35385.0,35385.0,O:BBVA241115C00010000,BBVA,C,10.0,2024-11-15,209,0,302,0.35,1729776645542000000,1011,35385.0,2024-10-24,3000.0,30,True,Automatic Execution,Finance,Banks - Foreign,9.87,9.89,9.74,9.82,2,4.548819199941277,20,1,1,0,0,0
